"S1794-31082016000100001-col","","Nieto Rojas, Jorge Hernando","Revista Criminalidad; 58(1); 7-8","Revista Criminalidad","Espanhol","2016","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S1794-31082016000100001&lang=pt" 
"S0718-65682016000100002-chl","Gandhi: el político y su pensamiento","Pontara, Giuliano","Polis (Santiago); 15(43); 19-40","Polis (Santiago)","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-65682016000100002&lang=pt" 
"S0718-65682016000100019-chl","Revelando el potencial de una humanidad “otra” a través del pensamento indígena serrano","Lora León, Patricia","Polis (Santiago); 15(43); 393-409","Polis (Santiago)","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-65682016000100019&lang=pt" 
"S0718-65682016000100007-chl","Perdón y reconciliación: una perspectiva psicosocial desde la noviolencia","Villa Gómez, Juan David","Polis (Santiago); 15(43); 131-157","Polis (Santiago)","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-65682016000100007&lang=pt" 
"S1018-130X2016000200008-per","Actualidad y perspectivas del HLA en el trasplante renal","Chang Dávila, Domingo","Revista Medica Herediana; 27(2); 111-114","Revista Medica Herediana","Espanhol","2016","http://www.scielo.org.pe/scielo.php?script=sci_arttext&pid=S1018-130X2016000200008&lang=pt" 
"S1018-130X2016000200004-per","Factores asociados a hiponatremia adquirida en la comunidad","Pérez Sierra, Henry, Ramírez Zegarra, Rafael, Cieza Zevallos, Javier","Revista Medica Herediana; 27(2); 89-95","Revista Medica Herediana","Espanhol","2016","http://www.scielo.org.pe/scielo.php?script=sci_arttext&pid=S1018-130X2016000200004&lang=pt" 
"S1018-130X2016000200002-per","Asociación entre niveles de hormonas tiroideas y grosor de la íntima-media de la carótida interna en pacientes con insuficiencia renal crónica en hemodiálisis","Ramírez-Vela, Rosa María, Pinto-Valdivia, Miguel, Manrique-Hurtado, Helard, Cieza-Zevallos, Javier, Medina-Palomino, Félix","Revista Medica Herediana; 27(2); 75-82","Revista Medica Herediana","Espanhol","2016","http://www.scielo.org.pe/scielo.php?script=sci_arttext&pid=S1018-130X2016000200002&lang=pt" 
"S1018-130X2016000200012-per","Cáncer gástrico: Epigenética e inmunoterapia","Arrunategui-Correa, Víctor Raúl","Revista Medica Herediana; 27(2); 118-119","Revista Medica Herediana","Espanhol","2016","http://www.scielo.org.pe/scielo.php?script=sci_arttext&pid=S1018-130X2016000200012&lang=pt" 
"S1018-130X2016000200005-per","Enteroparasitosis en niños de una comunidad rural de Lima-Perú","Nakandakari, Mayron D, De la Rosa, Dyanne N, Beltrán-Fabián, María","Revista Medica Herediana; 27(2); 96-99","Revista Medica Herediana","Espanhol","2016","http://www.scielo.org.pe/scielo.php?script=sci_arttext&pid=S1018-130X2016000200005&lang=pt" 
"S1018-130X2016000200011-per","Publicaciones científicas: Más allá de la academia","Rey de Castro, Jorge","Revista Medica Herediana; 27(2); 117-117","Revista Medica Herediana","Espanhol","2016","http://www.scielo.org.pe/scielo.php?script=sci_arttext&pid=S1018-130X2016000200011&lang=pt" 
"S1018-130X2016000200010-per","Signo de Chilaiditi","Marroquin-Santa Cruz, Jhonatan A, Cano Alatrista, Willy, Cazorla Cornejo, Ernesto Roberto","Revista Medica Herediana; 27(2); 116-116","Revista Medica Herediana","Espanhol","2016","http://www.scielo.org.pe/scielo.php?script=sci_arttext&pid=S1018-130X2016000200010&lang=pt" 
"S1018-130X2016000200009-per","Criptococosis cutánea","Pamo Reyna, Oscar G, Carrillo Ñañez, Leonidas, Chian García, César","Revista Medica Herediana; 27(2); 115-115","Revista Medica Herediana","Espanhol","2016","http://www.scielo.org.pe/scielo.php?script=sci_arttext&pid=S1018-130X2016000200009&lang=pt" 
