"S1816-79502012000100010-sza","The effect of crop residue layers on evapotranspiration, growth and yield of irrigated sugarcane","Olivier, FC, Singels, A","Water SA; 38(1); 77-86","Water SA","Inglês","2012","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S1816-79502012000100010&lang=pt" 
"S1816-79502012000100011-sza","River water quality in the northern sugarcane-producing regions of South Africa and implications for irrigation: a scoping study","van der Laan, Michael, van Antwerpen, Rianto, Bristow, Keith L","Water SA; 38(1); 87-96","Water SA","Inglês","2012","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S1816-79502012000100011&lang=pt" 
"S1816-79502012000100012-sza","Nutrient limitation of phytoplankton in five impoundments on the Manyame River, Zimbabwe","Tendaupenyu, Pamela","Water SA; 38(1); 97-104","Water SA","Inglês","2012","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S1816-79502012000100012&lang=pt" 
"S1816-79502012000100013-sza","Promoting uptake and use of conservation science in South Africa by government","Funke, Nikki, Nienaber, Shanna","Water SA; 38(1); 105-114","Water SA","Inglês","2012","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S1816-79502012000100013&lang=pt" 
"S1816-79502012000100014-sza","The role of statutory and local rules in allocating water between large- and small-scale irrigators in an African river catchment","Komakech, Hans C, Condon, Madison, van der Zaag, Pieter","Water SA; 38(1); 115-126","Water SA","Inglês","2012","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S1816-79502012000100014&lang=pt" 
"S1816-79502012000100015-sza","The extent of on-site leakage in selected suburbs of Johannesburg","Lugoma, MFT, van Zyl, JE, Ilemobade, AA","Water SA; 38(1); 127-132","Water SA","Inglês","2012","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S1816-79502012000100015&lang=pt" 
"S1816-79502012000100016-sza","Swimming pools and intra-city climates: influences on residential water consumption in Cape Town","Siebrits, Raymond","Water SA; 38(1); 133-144","Water SA","Inglês","2012","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S1816-79502012000100016&lang=pt" 
"S1816-79502012000100017-sza","Effects of free-surface on design charts for open channels","Rahimpour, Majid","Water SA; 38(1); 145-148","Water SA","Inglês","2012","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S1816-79502012000100017&lang=pt" 
"S1816-79502012000100018-sza","On modifying the Arrhenius equation to compensate for temperature changes for reactions within biological systems","Sheridan, Craig, Petersen, Jochen, Rohwer, Johann","Water SA; 38(1); 149-151","Water SA","Inglês","2012","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S1816-79502012000100018&lang=pt" 
"S0256-95742012000100001-sza","The job chooses the (wo)man","Seggie, Janet","SAMJ: South African Medical Journal; 102(1); 04-05","SAMJ: South African Medical Journal","Inglês","2012","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0256-95742012000100001&lang=pt" 
"S0256-95742012000100002-sza","Blazing carrots/cracking whips - the HIV prevention answer?","","SAMJ: South African Medical Journal; 102(1); 06-06","SAMJ: South African Medical Journal","Inglês","2012","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0256-95742012000100002&lang=pt" 
