"S0717-73482008000400001-chl","Aspectos bioéticos en la investigación fármaco-clínica en Chile","O&#039;Ryan G, Miguel, Oyarzún G, Manuel","Revista chilena de enfermedades respiratorias; 24(4); 277-278","Revista chilena de enfermedades respiratorias","Espanhol","2008","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-73482008000400001&lang=pt" 
"S0717-73482008000400002-chl","Compromiso de la función pulmonar en pacientes con fíbrosis pulmonar idiopática","GUTIÉRREZ N, MONICA, SÁNCHEZ D, NICOLÁS, CUELLAR G, MARÍA CAROLINA, RODRÍGUEZ S, MARÍA ANGÉLICA, UNDURRAGA P, ALVARO","Revista chilena de enfermedades respiratorias; 24(4); 279-285","Revista chilena de enfermedades respiratorias","Espanhol","2008","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-73482008000400002&lang=pt" 
"S0717-73482008000400003-chl","Entrenamiento físico y educación como parte de la rehabilitación pulmonar en pacientes con EPOC","MARÍN D, KATHERINE, LAUDE P, REBECA, MORALES D, CECILIA","Revista chilena de enfermedades respiratorias; 24(4); 286-290","Revista chilena de enfermedades respiratorias","Espanhol","2008","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-73482008000400003&lang=pt" 
"S0717-73482008000400004-chl","Síndrome hepatopulmonar e hipertensión portopulmonar: Dos entidades a diferenciar","ZAGOLÍN B, MÓNICA, MEDEL F, JUAN NICOLÁS, VALERA M, JOSÉ","Revista chilena de enfermedades respiratorias; 24(4); 291-303","Revista chilena de enfermedades respiratorias","Espanhol","2008","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-73482008000400004&lang=pt" 
"S0717-73482008000400005-chl","Compromiso pleural en la leucemia de células plasmáticas: Reporte de un caso","YÁÑEZ V, JORGE, SALDÍAS H, VELIA, DÍAZ P, ORLANDO, SALDÍAS P, FERNANDO","Revista chilena de enfermedades respiratorias; 24(4); 304-308","Revista chilena de enfermedades respiratorias","Espanhol","2008","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-73482008000400005&lang=pt" 
"S0717-73482008000400006-chl","Hipertensión pulmonar idiopática en pediatría: Caso clínico y revisión de la literatura","HERRERA G, ANA MARÍA, ASTUDILLO M, CLAUDIA, PALOMINO M, MARÍA ANGÉLICA","Revista chilena de enfermedades respiratorias; 24(4); 309-314","Revista chilena de enfermedades respiratorias","Espanhol","2008","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-73482008000400006&lang=pt" 
"S0717-73482008000400007-chl","Dr. Elias Motles Weisberg (10 Noviembre 1914 - 25 Junio 2008)","","Revista chilena de enfermedades respiratorias; 24(4); 315-316","Revista chilena de enfermedades respiratorias","Espanhol","2008","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-73482008000400007&lang=pt" 
"S0717-73482008000400008-chl","Tuberculosis, lo que hay que saber","","Revista chilena de enfermedades respiratorias; 24(4); 317-322","Revista chilena de enfermedades respiratorias","Espanhol","2008","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-73482008000400008&lang=pt" 
"S0717-73482008000400009-chl","XLI CONGRESO CHILENO DE ENFERMEDADES RESPIRATORIAS: Programa","","Revista chilena de enfermedades respiratorias; 24(4); 332-346","Revista chilena de enfermedades respiratorias","Espanhol","2008","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-73482008000400009&lang=pt" 
"S0717-73482008000400010-chl","XLI CONGRESO CHILENO DE ENFERMEDADES RESPIRATORIAS: RESÚMENES DE COMUNICACIONES LIBRES CL-1 a CL-75","","Revista chilena de enfermedades respiratorias; 24(4); 347-370","Revista chilena de enfermedades respiratorias","Espanhol","2008","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-73482008000400010&lang=pt" 
"S0717-73482008000400011-chl","CUENTA DEL DIRECTORIO DE LA SOCIEDAD CHILENA DE ENFERMEDADES RESPIRATORIAS 2008","Schonffeldt Guerrero, Patricia","Revista chilena de enfermedades respiratorias; 24(4); 374-379","Revista chilena de enfermedades respiratorias","Espanhol","2008","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-73482008000400011&lang=pt" 
