"S1413-70542008000100015-scl","Produção da tangerineira &#039;ponkan&#039; após poda de recuperação","Mendonça, Vander, Ramos, José Darlan, Araújo Neto, Sebastião Elviro de, Rufini, José Carlos Moraes","Ciência e Agrotecnologia; 32(1); 103-109","Ciência e Agrotecnologia","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-70542008000100015&lang=pt" 
"S1413-70542008000100017-scl","Produção de mudas de alface com o uso de substrato preparado com coprólitos de minhoca","Souza, Suzana Rodrigues de, Fontinele, Yrle da Rocha, Saldanha, Cristina Szilagyi, Araújo Neto, Sebastião Elviro de, Kusdra, Jorge Ferreira","Ciência e Agrotecnologia; 32(1); 115-121","Ciência e Agrotecnologia","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-70542008000100017&lang=pt" 
"S1413-70542008000100018-scl","Produção de mudas de essências florestais em diferentes substratos e acompanhamento do desenvolvimento em campo","Oliveira, Rone Batista de, Lima, Julião Soares de Souza, Souza, Carlos Alberto Martinelli de, Silva, Samuel de Assis, Martins Filho, Sebastião","Ciência e Agrotecnologia; 32(1); 122-128","Ciência e Agrotecnologia","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-70542008000100018&lang=pt" 
"S1413-70542008000100028-scl","Caracterização físico-química e sensorial de hambúrguer vegetal elaborado à base de caju","Lima, Janice Ribeiro","Ciência e Agrotecnologia; 32(1); 191-195","Ciência e Agrotecnologia","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-70542008000100028&lang=pt" 
"S1413-70542008000100021-scl","Resposta da alface tipo americana a doses e épocas de aplicação de molibdênio em cultivo de inverno","Resende, Geraldo Milanez de, Yuri, Jony Eishi, Mota, José Hortêncio, Souza, Rovilson José de","Ciência e Agrotecnologia; 32(1); 143-148","Ciência e Agrotecnologia","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-70542008000100021&lang=pt" 
"S1413-70542008000100023-scl","Robustness of asymptotic and bootstrap tests for multivariate homogeneity of covariance matrices","Silva, Roberta Bessa Veloso, Ferreira, Daniel Furtado, Nogueira, Denismar Alves","Ciência e Agrotecnologia; 32(1); 157-166","Ciência e Agrotecnologia","Inglês","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-70542008000100023&lang=pt" 
"S1413-70542008000100025-scl","Tratamentos pré-germinativos em sementes de Arachis pintoi","Rossetto, Claudia Antonia Vieira, Alves, Elisabete Pacheco","Ciência e Agrotecnologia; 32(1); 174-179","Ciência e Agrotecnologia","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-70542008000100025&lang=pt" 
"S1413-70542008000100030-scl","Influência de diferentes temperaturas na manutenção da qualidade de Pequi minimamente processado","Damiani, Clarissa, Vilas Boas, Eduardo Valério de Barros, Pinto, Daniella Moreira, Rodrigues, Luiz José","Ciência e Agrotecnologia; 32(1); 203-212","Ciência e Agrotecnologia","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-70542008000100030&lang=pt" 
"S1413-70542008000100032-scl","Produção volumétrica de metano: dejetos de suínos","Souza, Cecília de Fátima, Campos, Josiane Aparecida, Santos, Claúdia Ribeiro dos, Bressan, Waleska Soares, Mogami, Cristina Akemi","Ciência e Agrotecnologia; 32(1); 219-224","Ciência e Agrotecnologia","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-70542008000100032&lang=pt" 
"S1413-70542008000100038-scl","Níveis de silicato de cálcio e magnésio na produção das gramídeas Marandu e Tanzânia cultivadas em um Neossolo Quartzarênico","Fortes, Caio Augustus, Pinto, José Cardoso, Furtini Neto, Antônio Eduardo, Morais, Augusto Ramalho de, Evangelista, Antônio Ricardo, Souza, Ronan Magalhães de","Ciência e Agrotecnologia; 32(1); 267-274","Ciência e Agrotecnologia","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-70542008000100038&lang=pt" 
"S1413-70542008000100036-scl","Characterization of cattle slaughtered at the public abattoir in Lavras-MG","Guimarães, Adriano de Souza, Souza, José Camisão de, Andrade, Ivo Francisco de, Freitas, Rilke Tadeu Fonseca de, Cirillo, Marcelo Ângelo","Ciência e Agrotecnologia; 32(1); 251-257","Ciência e Agrotecnologia","Inglês","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-70542008000100036&lang=pt" 
