"S0034-89102010000500009-scl","Validação da versão brasileira do Youth Risk Behavior Survey 2007","Guedes, Dartagnan Pinto, Lopes, Cynthia Correa","Revista de Saúde Pública; 44(5); 840-850","Revista de Saúde Pública","Inglês, Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-89102010000500009&lang=pt" 
"S0034-89102010000500006-scl","Expressão geográfica da epidemia de Aids em Campinas, São Paulo, de 1980 a 2005","Stephan, Celso, Henn, Carlos Alberto, Donalisio, Maria Rita","Revista de Saúde Pública; 44(5); 812-819","Revista de Saúde Pública","Inglês, Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-89102010000500006&lang=pt" 
"S0034-89102010000500004-scl","Efetividade de programa de suplementação alimentar no ganho ponderal de crianças","Augusto, Rosângela Aparecida, Souza, José Maria Pacheco de","Revista de Saúde Pública; 44(5); 793-801","Revista de Saúde Pública","Inglês, Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-89102010000500004&lang=pt" 
"S0034-89102010000500019-scl","Modelo preditivo de óbito a partir de dados do Sistema de Informações Hospitalares","Gomes, Andréa Silveira, Klück, Mariza Machado, Riboldi, João, Fachel, Jandyra Maria Guimarães","Revista de Saúde Pública; 44(5); 934-941","Revista de Saúde Pública","Inglês, Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-89102010000500019&lang=pt" 
"S0034-89102010000500012-scl","Intervenção comunitária para prevenção de acidentes de trânsito entre trabalhadores ciclistas","Bacchieri, Giancarlo, Barros, Aluísio J D, Santos, Janaína V dos, Gonçalves, Helen, Gigante, Denise P","Revista de Saúde Pública; 44(5); 867-875","Revista de Saúde Pública","Inglês, Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-89102010000500012&lang=pt" 
"S0034-89102010000500001-scl","The epidemiologic paradox of low birth weight in Brazil","Silva, Antônio Augusto Moura da, Silva, Leopoldo Muniz da, Barbieri, Marco Antonio, Bettiol, Heloísa, Carvalho, Luciana Mendes de, Ribeiro, Valdinar Sousa, Goldani, Marcelo Zubaran","Revista de Saúde Pública; 44(5); 767-775","Revista de Saúde Pública","Inglês","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-89102010000500001&lang=pt" 
"S0034-89102010000500011-scl","Riscos à saúde em áreas próximas a aterros de resíduos sólidos urbanos","Gouveia, Nelson, Prado, Rogerio Ruscitto do","Revista de Saúde Pública; 44(5); 859-866","Revista de Saúde Pública","Inglês, Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-89102010000500011&lang=pt" 
"S0034-89102010000500015-scl","Fatores associados à atividade física em adultos, Brasília, DF","Thomaz, Priscilla Marcondelli Dias, Costa, Teresa Helena Macedo da, Silva, Eduardo Freitas da, Hallal, Pedro Curi","Revista de Saúde Pública; 44(5); 894-900","Revista de Saúde Pública","Inglês, Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-89102010000500015&lang=pt" 
"S0034-89102010000500007-scl","Concepciones culturales del VIH/Sida de adolescentes de Bolivia, Chile y México","Torres López, Teresa Margarita, Reynaldos Quinteros, Carolina, Lozano González, Aldo Favio, Munguía Cortés, Jazmín Aranzazú","Revista de Saúde Pública; 44(5); 820-829","Revista de Saúde Pública","Inglês, Espanhol","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-89102010000500007&lang=pt" 
"S0034-89102010000500021-scl","Multiplicidade de vínculos de médicos no Estado do Ceará","Maciel, Regina Heloisa, Santos, João Bosco Feitosa dos, Sales, Telma Bessa, Alves, Marco Aurélio de Andrade, Luna, Ana Paula, Feitosa, Leonardo Bezerra","Revista de Saúde Pública; 44(5); 950-956","Revista de Saúde Pública","Inglês, Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-89102010000500021&lang=pt" 
"S0034-89102010000500002-scl","Aumento na sobrevida de crianças de grupos de peso baixo ao nascer em Santa Catarina","Pinheiro, Carlos Eduardo Andrade, Peres, Marco Aurélio, D&#039; Orsi, Eleonora","Revista de Saúde Pública; 44(5); 776-784","Revista de Saúde Pública","Inglês, Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-89102010000500002&lang=pt" 
