"S1020-49892014000800011-spa","Addressing violence following televised sports events: a need for reliable data","Rodríguez-Feria, Pablo, Cuervo, Luis Gabriel","Revista Panamericana de Salud Pública; 36(3); 206-207","Revista Panamericana de Salud Pública","Inglês","2014","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1020-49892014000800011&lang=pt" 
"S1726-46342014000300013-spa","Prevalencia de sobrepeso y obesidad en adolescentes de un distrito urbano de Lima, Perú 2012","Lozano-Rojas, Gaudi, Cabello-Morales, Emilio, Hernádez-Diaz, Herminio, Loza-Munarriz, Cesar","Revista Peruana de Medicina Experimental y Salud Pública; 31(3); 494-500","Revista Peruana de Medicina Experimental y Salud Pública","Espanhol","2014","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1726-46342014000300013&lang=pt" 
"S1020-49892014000800012-spa","Review of chemoprophylaxis in leprosy contacts","Cunha, Sergio Souza","Revista Panamericana de Salud Pública; 36(3); 208-208","Revista Panamericana de Salud Pública","Inglês","2014","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1020-49892014000800012&lang=pt" 
"S1020-49892014000800010-spa","Miasis nosocomiales en América Latina y el Caribe: ¿una realidad ignorada?","Sánchez-Sánchez, Rocío, Calderón-Arguedas, Ólger, Mora-Brenes, Nury, Troyo, Adriana","Revista Panamericana de Salud Pública; 36(3); 201-205","Revista Panamericana de Salud Pública","Espanhol","2014","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1020-49892014000800010&lang=pt" 
"S1020-49892014000800008-spa","Perspectivas sobre salud pública veterinaria, seguridad alimentaria y la iniciativa conjunta &quot;Una Salud&quot;","Cartín-Rojas, Andrés","Revista Panamericana de Salud Pública; 36(3); 193-196","Revista Panamericana de Salud Pública","Espanhol","2014","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1020-49892014000800008&lang=pt" 
"S1020-49892014000800009-spa","Internal travel and risk of dengue transmission in Colombia","Chaparro, Pablo E., de la Hoz, Fernando, Lozano Becerra, Juan C., Repetto, Silvia A., Alba Soto, Catalina D.","Revista Panamericana de Salud Pública; 36(3); 197-200","Revista Panamericana de Salud Pública","Inglês","2014","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1020-49892014000800009&lang=pt" 
"S1020-49892014000800006-spa","Risk factors for adolescent pregnancy in Bogotá, Colombia, 2010: a case-control study","Morón-Duarte, Lina Sofía, Latorre, Catalina, Tovar, José Rafael","Revista Panamericana de Salud Pública; 36(3); 179-184","Revista Panamericana de Salud Pública","Inglês","2014","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1020-49892014000800006&lang=pt" 
"S2071-081X2014000200006-bol","La Función de producción COBB - DOUGLAS","Bruno E, Vargas Biesuz","Fides et Ratio - Revista de Difusión cultural y científica de la Universidad La Salle en Bolivia; 8(8); 67-74","Fides et Ratio - Revista de Difusión cultural y científica de la Universidad La Salle en Bolivia","Espanhol","2014","http://www.scielo.org.bo/scielo.php?script=sci_arttext&pid=S2071-081X2014000200006&lang=pt" 
"S2071-081X2014000200004-bol","De las políticas penitenciarias invisibilizadas a un nuevo modelo de educación en el sistema carcelario","Larrea Alvarez, Rosario Martha","Fides et Ratio - Revista de Difusión cultural y científica de la Universidad La Salle en Bolivia; 8(8); 41-58","Fides et Ratio - Revista de Difusión cultural y científica de la Universidad La Salle en Bolivia","Espanhol","2014","http://www.scielo.org.bo/scielo.php?script=sci_arttext&pid=S2071-081X2014000200004&lang=pt" 
"S2071-081X2014000200005-bol","CONSTITUCIONALIZACION DE LA NEGOCIACIÓN COLECTIVA","Fernández Fagalde, Luis","Fides et Ratio - Revista de Difusión cultural y científica de la Universidad La Salle en Bolivia; 8(8); 59-65","Fides et Ratio - Revista de Difusión cultural y científica de la Universidad La Salle en Bolivia","Espanhol","2014","http://www.scielo.org.bo/scielo.php?script=sci_arttext&pid=S2071-081X2014000200005&lang=pt" 
"S1020-49892014000800001-spa","Movilidad poblacional y VIH/sida en Centroamérica y México","Leyva-Flores, René, Aracena-Genao, Belkis, Serván-Mori, Edson","Revista Panamericana de Salud Pública; 36(3); 143-149","Revista Panamericana de Salud Pública","Espanhol","2014","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1020-49892014000800001&lang=pt" 
