"S1728-59172008000100012-per","Breves notas sobre el Dr. Hugo Lumbreras Cruz (1924 - 1985)","Guerra Allison, Humberto","Acta Médica Peruana; 25(1); 52-55","Acta Médica Peruana","Espanhol","2008","http://www.scielo.org.pe/scielo.php?script=sci_arttext&pid=S1728-59172008000100012&lang=pt" 
"S0873-65292008000100001-prt","EDITORIAL","Guerreiro, Maria das Dores","Sociologia, Problemas e Práticas; (56); 7-8","Sociologia, Problemas e Práticas","Português","2008","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S0873-65292008000100001&lang=pt" 
"S0873-65292008000100002-prt","Indivíduo e misturas de géneros: Dissonâncias culturais e distinção de si","Lahire, Bernard","Sociologia, Problemas e Práticas; (56); 11-36","Sociologia, Problemas e Práticas","Português","2008","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S0873-65292008000100002&lang=pt" 
"S0873-65292008000100003-prt","Uma história dos subúrbios","Wenden, Catherine Wihtol de","Sociologia, Problemas e Práticas; (56); 37-59","Sociologia, Problemas e Práticas","Português","2008","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S0873-65292008000100003&lang=pt" 
"S0873-65292008000100004-prt","Global care crisis: Mother and child’s-eye view","Isaksen, Lise, Devi, Uma, Hochschild, Arlie","Sociologia, Problemas e Práticas; (56); 61-83","Sociologia, Problemas e Práticas","Inglês","2008","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S0873-65292008000100004&lang=pt" 
"S0873-65292008000100005-prt","Maternidade e amamentação: Biografia e relações de gênero intergeracionais","Kuschnir, Karina","Sociologia, Problemas e Práticas; (56); 85-103","Sociologia, Problemas e Práticas","Português","2008","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S0873-65292008000100005&lang=pt" 
"S0873-65292008000100006-prt","Excelência, relevância e a universidade: O missing middle do envolvimento socioeconómico","Perry, Beth, May, Tim","Sociologia, Problemas e Práticas; (56); 105-128","Sociologia, Problemas e Práticas","Português","2008","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S0873-65292008000100006&lang=pt" 
"S0873-65292008000100007-prt","Constitución, crisis y reconfiguración del valor moral del trabajo en el postfordismo","Vázquez, José Francisco Durán","Sociologia, Problemas e Práticas; (56); 129-148","Sociologia, Problemas e Práticas","Espanhol","2008","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S0873-65292008000100007&lang=pt" 
"S0716-54552008000100056-chl","Seminarios de 2008 de Historia del Derecho y de las Instituciones, de Derecho Romano y de Derecho Histórico Comparado en la Universitat Pompeu Fabra: Seminario permanente “Josep Maria Font Rius”","Zambrana Moral, Patricia, Peláez, Manuel J","Revista de estudios histórico-jurídicos; (30); 719-727","Revista de estudios histórico-jurídicos","Espanhol","2008","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0716-54552008000100056&lang=pt" 
"S1645-00862008000100001-prt","Editorial","Ribeiro, José L. Pais","Psicologia, Saúde &amp; Doenças; 9(1); 3-4","Psicologia, Saúde &amp; Doenças","Português","2008","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S1645-00862008000100001&lang=pt" 
"S0716-97602008000200001-chl","Small-molecule aggregation inhibitors reduce excess amyloid in a trisomy 16 mouse cortical cell line","LIMA, ANDRÉA C PAULA, ARRIAGADA, CHRISTIAN, TORO, RODRIGO, CÁRDENAS, ANA MARÍA, CAVIEDES, RAÚL, FERREIRA, SERGIO T, CAVIEDES, PABLO","Biological Research; 41(2); 129-136","Biological Research","Inglês","2008","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0716-97602008000200001&lang=pt" 
"S0716-97602008000200002-chl","Plant Science research productivity in Chile during the past 20 years","KRAUSKOPF, ERWIN","Biological Research; 41(2); 137-141","Biological Research","Inglês","2008","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0716-97602008000200002&lang=pt" 
"S0716-97602008000200003-chl","Abnormal Electrophysiological Activation in Schizophrenics during a Personal Traits Attribution Task","SILVA, JAIME R, TORRES, WALTER M, ORTIZ, MANUEL S","Biological Research; 41(2); 143-150","Biological Research","Inglês","2008","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0716-97602008000200003&lang=pt" 
"S0716-97602008000200004-chl","Antioxidant activity of 50% aqueous - ethanol extract from Acantholippia deserticola","MORALES, GLAUCO, PAREDES, ADRIÁN, SIERRA, PATRICIA, LOYOLA, LUIS A","Biological Research; 41(2); 151-155","Biological Research","Inglês","2008","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0716-97602008000200004&lang=pt" 
"S0716-97602008000200005-chl","Association of TNF promoter polymorphisms with type 1 diabetes in the South Croatian population","BORASKA, VESNA, ŠKRABI, VESELIN, IKEŠ ULI, VEDRANA, BEI, KRISTIJAN, KAPITANOVI, SANJA, ZEMUNIK, TATIJANA","Biological Research; 41(2); 157-163","Biological Research","Inglês","2008","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0716-97602008000200005&lang=pt" 
"S0716-97602008000200006-chl","Free Radical Scavenging Profile and Myeloperoxidase Inhibition of Extracts from Antidiabetic Plants: Bauhinia forficata and Cissus sicyoides","KHALIL, NAJEH M, PEPATO, MARIA T, BRUNETTI, IGUATEMY L","Biological Research; 41(2); 165-171","Biological Research","Inglês","2008","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0716-97602008000200006&lang=pt" 
"S0716-97602008000200007-chl","Occurrence of killer yeast strains in industrial and clinical yeast isolates","BAEZA, MARCELO E, SANHUEZA, MARIO A, CIFUENTES, VÍCTOR H","Biological Research; 41(2); 173-182","Biological Research","Inglês","2008","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0716-97602008000200007&lang=pt" 
"S0716-97602008000200008-chl","Methacholine and PDGF activate store-operated calcium entry in neuronal precursor cells via distinct calcium entry channels","CUDDON, PAUL, BOOTMAN, MARTIN D, RICHARDS, GILLIAN R, SMITH, ALISON J, SIMPSON, PETER B, RODERICK, H LLEWELYN","Biological Research; 41(2); 183-195","Biological Research","Inglês","2008","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0716-97602008000200008&lang=pt" 
"S0716-97602008000200009-chl","Differences in lipogenesis and lipolysis in obese and non-obese adult human adipocytes","CIFUENTES, MARIANA, ALBALA, CECILIA, ROJAS, CECILIA V","Biological Research; 41(2); 197-204","Biological Research","Inglês","2008","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0716-97602008000200009&lang=pt" 
"S0716-97602008000200010-chl","Distribution of linker histone variants during plant cell differentiation in the developmental zones of the maize root, dedifferentiation in callus culture after auxin treatment","ALATZAS, ANASTASIOS, SREBREVA, LJUBA, FOUNDOULI, ATHINA","Biological Research; 41(2); 205-215","Biological Research","Inglês","2008","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0716-97602008000200010&lang=pt" 
"S0716-97602008000200011-chl","Hepatocytes, rather than leukocytes reverse DNA damage in vivo induced by whole body y-irradiation of mice, as shown by the alkaline comet assay","PINCHEIRA, JUANA, CARRERA, PILAR, MARCELAIN, KATHERINE, DE LA TORRE, CONSUELO","Biological Research; 41(2); 217-225","Biological Research","Inglês","2008","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0716-97602008000200011&lang=pt" 
"S0716-97602008000200012-chl","Regional differences in veins wall viscosity, compliance. energetics and damping: analysis of the pressure-diameter relationship during cyclical overloads","ZÓCALO, YANINA, BIA, DANIEL, LLUBERAS, SEBASTIÁN, ARMENTANO, RICARDO L","Biological Research; 41(2); 227-233","Biological Research","Inglês","2008","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0716-97602008000200012&lang=pt" 
"S0874-20492008000100001-prt","Cultura Organizacional e Empresas Familiares da Marinha Grande - Estudo de Caso","Casimiro, Mafalda","Psicologia; 22(1); 5-33","Psicologia","Português","2008","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S0874-20492008000100001&lang=pt" 
"S0874-20492008000100002-prt","Gestão de Recursos Humanos em PME’s de elevada tecnologia","Veloso, Ana, Keating, José","Psicologia; 22(1); 35-58","Psicologia","Português","2008","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S0874-20492008000100002&lang=pt" 
"S0874-20492008000100003-prt","Definições sexuais de estudantes universitários","Alvarez, Maria-João, Nogueira, João","Psicologia; 22(1); 59-76","Psicologia","Português","2008","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S0874-20492008000100003&lang=pt" 
"S0874-20492008000100004-prt","Violência sexual no namoro: Relevância da prevenção","Caridade, Sónia, Machado, Carla","Psicologia; 22(1); 77-104","Psicologia","Português","2008","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S0874-20492008000100004&lang=pt" 
"S0874-20492008000100005-prt","Análise do fenómeno de base segura em contexto familiar: as relações criança/mãe e criança/pai","Monteiro, Lígia, Veríssimo, Manuela, Vaughn, Brian E., Santos, António J., Fernandes, Marília","Psicologia; 22(1); 104-125","Psicologia","Português","2008","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S0874-20492008000100005&lang=pt" 
"S0874-20492008000100006-prt","Vinculação aos pais, divórcio e conflito interparental em adolescentes","Moura, Octávio, Matos, Paula Mena","Psicologia; 22(1); 127-152","Psicologia","Português","2008","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S0874-20492008000100006&lang=pt" 
"S0874-20492008000100007-prt","Representações sociais e identidade em grupos de mulheres ciganas e rurais","Bonomo, Mariana, Trindade, Zeidi Araújo, Souza, Lídio de, Coutinho, Sabrine Mantuan dos Santos","Psicologia; 22(1); 153-181","Psicologia","Português","2008","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S0874-20492008000100007&lang=pt" 
"S1645-00862008000100002-prt","Qualidade de vida em doentes colecistectomizados por colecistite aguda: cirurgia clássica versus cirurgia laparoscópia","Castelo, Rita A.V. Bicha, Ribeiro, J. Pais, Castelo, H. Bicha","Psicologia, Saúde &amp; Doenças; 9(1); 5-14","Psicologia, Saúde &amp; Doenças","Português","2008","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S1645-00862008000100002&lang=pt" 
"S1645-00862008000100003-prt","Estudos psicométricos da versão portuguesa (de Portugal) do instrumento de avaliação da qualidade de vida na infecção VIH da Organização Mundial de Saúde (WHOQOL-HIV)","Canavarro, Maria Cristina, Pereira, , Simões, Mário, intassilgo, Ana Luísa, Ferreira, Andreia Pinto","Psicologia, Saúde &amp; Doenças; 9(1); 15-28","Psicologia, Saúde &amp; Doenças","Português","2008","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S1645-00862008000100003&lang=pt" 
"S1645-00862008000100004-prt","Contributo para a adaptação para a população portuguesa de uma escala de avaliação da qualidade de vida específica para doentes com obesidade: a ORWELL-97","Silva, Isabel L., Pais-Ribeiro, J.L., Cardoso, Helena","Psicologia, Saúde &amp; Doenças; 9(1); 29-48","Psicologia, Saúde &amp; Doenças","Português","2008","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S1645-00862008000100004&lang=pt" 
"S1645-00862008000100005-prt","Dyspepsia: Differences on quality of life and gender","Souza, Luciano D M, Tavares, Daniele C, Lima, Carolina C, Moraes, Inácia G S, Horta, Bernardo L, Pinheiro, Ricardo T, Silva, Ricardo A","Psicologia, Saúde &amp; Doenças; 9(1); 49-54","Psicologia, Saúde &amp; Doenças","Inglês","2008","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S1645-00862008000100005&lang=pt" 
"S1645-00862008000100007-prt","Impacto da doença crónica na qualidade de vida: comparação entre indivíduos da população geral e doentes com tumor do aparelho locomotor","Paredes, Tiago, Simões, Mário R., Canavarro, Maria Cristina, Serra, Adriano Vaz, Pereira, Marco, Quartilho, Manuel João, Rijo, Daniel, Gameiro, Sofia, Carona, Carlos","Psicologia, Saúde &amp; Doenças; 9(1); 73-87","Psicologia, Saúde &amp; Doenças","Português","2008","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S1645-00862008000100007&lang=pt" 
"S1645-00862008000100008-prt","Validation study of the portuguese version of the QLC-C30-V.3","Pais-Ribeiro, J., Pinto, C., Santos, C.","Psicologia, Saúde &amp; Doenças; 9(1); 89-102","Psicologia, Saúde &amp; Doenças","Inglês","2008","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S1645-00862008000100008&lang=pt" 
"S1645-00862008000100009-prt","Sintomatologia depressiva e qualidade de vida na população geral","Gameiro, Sofia, Carona, Carlos, Pereira, Marco, Canavarro, Maria Cristina, Simões, Mário, Rijo, Daniel, Quartilho, Manuel João, Paredes, Tiago, Serra, Adriano Vaz","Psicologia, Saúde &amp; Doenças; 9(1); 103-112","Psicologia, Saúde &amp; Doenças","Português","2008","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S1645-00862008000100009&lang=pt" 
"S1645-00862008000100010-prt","Qualidade de vida em mulheres que procuram atendimento ginecológico","Redivo, Luciana Balestrin, Werlang, Blanca Susana Guevara, Müller, Marisa Campio","Psicologia, Saúde &amp; Doenças; 9(1); 113-129","Psicologia, Saúde &amp; Doenças","Português","2008","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S1645-00862008000100010&lang=pt" 
"S1645-00862008000100011-prt","Pediatric oncology quality of life scale – POQOLS: adaptação de um instrumento para a população portuguesa","Silva, Marisa, Ribeiro, José Luís Pais","Psicologia, Saúde &amp; Doenças; 9(1); 131-141","Psicologia, Saúde &amp; Doenças","Português","2008","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S1645-00862008000100011&lang=pt" 
"S1645-00862008000100012-prt","Impacto do coping proactivo, do distress emocional e da auto-estima na funcionalidade e qualidade de vida de pessoas com esquizofrenia","Salgado, Diana, Rocha, Nuno, Marques, António","Psicologia, Saúde &amp; Doenças; 9(1); 143-154","Psicologia, Saúde &amp; Doenças","Português","2008","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S1645-00862008000100012&lang=pt" 
"S1645-00862008000100013-prt","Qualidade de vida em doentes submetidos a cirurgia vascular cardíaca","Ferreira, António José Santos, Nunes, Ana Isabel Marques, Rodrigues, Elisabete Fátima Pessoa, Camarneiro, Ana Paula Forte","Psicologia, Saúde &amp; Doenças; 9(1); 155-164","Psicologia, Saúde &amp; Doenças","Português","2008","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S1645-00862008000100013&lang=pt" 
