"S0104-11692008000400019-scl","Pharyngocutaneous fistulae after total laryngectomy: a systematic review","Santana, Mary Elizabeth de, Sawada, Namie Okino","Revista Latino-Americana de Enfermagem; 16(4); 772-778","Revista Latino-Americana de Enfermagem","Inglês, Português, Espanhol","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-11692008000400019&lang=pt" 
"S0104-11692008000400020-scl","Psychocultural meanings of urinary incontinence in women: a review","Higa, Rosângela, Lopes, Maria Helena Baena de Mores, Turato, Egberto Ribeiro","Revista Latino-Americana de Enfermagem; 16(4); 779-786","Revista Latino-Americana de Enfermagem","Inglês, Português, Espanhol","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-11692008000400020&lang=pt" 
"S0104-11692008000400004-scl","Hypertension among undergraduate students from Lubango, Angola","Simão, Manuel, Hayashida, Miyeko, Santos, Cláudia Benedita dos, Cesarino, Evandro José, Nogueira, Maria Suely","Revista Latino-Americana de Enfermagem; 16(4); 672-678","Revista Latino-Americana de Enfermagem","Inglês, Português, Espanhol","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-11692008000400004&lang=pt" 
"S0104-11692008000400014-scl","Bipolar affective disorder and medication therapy: identifying barriers","Miasso, Adriana Inocenti, Cassiani, Silvia Helena De Bortoli, Pedrão, Luiz Jorge","Revista Latino-Americana de Enfermagem; 16(4); 739-745","Revista Latino-Americana de Enfermagem","Inglês, Português, Espanhol","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-11692008000400014&lang=pt" 
"S1020-49892008000800002-spa","Los comités de ética clínica en México: la ambigua frontera entre la ética asistencial y la ética en investigación clínica","Valdez-Martínez, Edith, Lifshitz-Guinzberg, Alberto, Medesigo-Micete, José, Bedolla, Miguel","Revista Panamericana de Salud Pública; 24(2); 85-90","Revista Panamericana de Salud Pública","Espanhol","2008","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1020-49892008000800002&lang=pt" 
"S1020-49892008000800006-spa","Health care costs in the last four years of life for private health plan beneficiaries in Brazil","Ferraz, Marcos Bosi, Miranda, Isaura Cristina, Padovan, Jorge, Soárez, Patricia Coelho de, Ciconelli, Rozana","Revista Panamericana de Salud Pública; 24(2); 120-126","Revista Panamericana de Salud Pública","Inglês","2008","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1020-49892008000800006&lang=pt" 
"S1020-49892008000800008-spa","Intervenciones para mejorar los servicios de salud maternoinfantil y el estado nutricional de las madres y los niños: barreras y opciones","","Revista Panamericana de Salud Pública; 24(2); 136-138","Revista Panamericana de Salud Pública","Espanhol","2008","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1020-49892008000800008&lang=pt" 
"S1020-49892008000800010-spa","Letters","Nieves, J. Edwin, Stack, Kathleen M.","Revista Panamericana de Salud Pública; 24(2); 147-148","Revista Panamericana de Salud Pública","Inglês","2008","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1020-49892008000800010&lang=pt" 
"S0104-11692008000400003-scl","Doctoral education in nursing in Brazil","Rodrigues, Rosalina Aparecida Partezani, Erdmann, Alacoque Lorenzini, Silva, Isília Aparecida, Fernandes, Josicélia Dumet, Araújo, Thelma Leite, Vianna, Lucila Amaral Carneiro, Santos, Rosangela da Silva, Lopes, Marta Júlia Marques","Revista Latino-Americana de Enfermagem; 16(4); 665-671","Revista Latino-Americana de Enfermagem","Inglês, Português, Espanhol","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-11692008000400003&lang=pt" 
"S1020-49892008000800001-spa","Utilization of maternal health care services in the department of Matagalpa, Nicaragua","Lubbock, Lindsey Ann, Stephenson, Rob B.","Revista Panamericana de Salud Pública; 24(2); 75-84","Revista Panamericana de Salud Pública","Inglês","2008","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1020-49892008000800001&lang=pt" 
"S1020-49892008000800003-spa","Qualificação dos serviços farmacêuticos no Brasil: aspectos inconclusos da agenda do Sistema Único de Saúde","Vieira, Fabiola Sulpino","Revista Panamericana de Salud Pública; 24(2); 91-100","Revista Panamericana de Salud Pública","Português","2008","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1020-49892008000800003&lang=pt" 
