"S0102-33062015000300310-scl","Taxonomy of Sinningia Nees (Gesneriaceae) in Rio Grande do Sul, southern Brazil","Ferreira, Gabriel Emiliano, Chautems, Alain, Waechter, Jorge Luiz","Acta Botanica Brasilica; 29(3); 310-326","Acta Botanica Brasilica","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-33062015000300310&lang=pt" 
"S0001-37652015000401545-scl","Estimating of gross primary production in an Amazon-Cerrado transitional forest using MODIS and Landsat imagery","DANELICHEN, VICTOR H.M., BIUDES, MARCELO S., VELASQUE, MAÍSA C.S., MACHADO, NADJA G., GOMES, RAPHAEL S.R., VOURLITIS, GEORGE L., NOGUEIRA, JOSÉ S.","Anais da Academia Brasileira de Ciências; 87(3); 1545-1564","Anais da Academia Brasileira de Ciências","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0001-37652015000401545&lang=pt" 
"S0001-37652015000401751-scl","Linking environmental drivers with amphibian species diversity in ponds from subtropical grasslands","GONÇALVES, DARLENE S., CRIVELLARI, LUCAS B., CONTE, CARLOS EDUARDO","Anais da Academia Brasileira de Ciências; 87(3); 1751-1762","Anais da Academia Brasileira de Ciências","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0001-37652015000401751&lang=pt" 
"S0250-71612015000400006-chl","¿Hacia dónde crecerá la ciudad de San Luis Potosí (México) después de 2009?","Amuzurrutia-Valenzuela, Daniela, Aguirre-Salado, Carlos, Sánchez-Díaz, Guillermo","EURE (Santiago); 41(124); 113-117","EURE (Santiago)","Espanhol","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0250-71612015000400006&lang=pt" 
"S0250-71612015000400001-chl","Abordajes teóricos sobre las transformaciones sociales, económicas y territoriales en las ciudades latinoamericanas contemporáneas","Guevara, Tomás","EURE (Santiago); 41(124); 5-24","EURE (Santiago)","Espanhol","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0250-71612015000400001&lang=pt" 
"S1984-63982015000300809-scl","Emotional experiences of Mexican language learners: A qualitative study of their effects on motivation","López, Mariza G. Méndez","Revista Brasileira de Linguística Aplicada; 15(3); 809-837","Revista Brasileira de Linguística Aplicada","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1984-63982015000300809&lang=pt" 
"S1415-47142015000300566-scl","Hacia una nueva epistemología de la psiquiatría","Luque, Rogelio","Revista Latinoamericana de Psicopatologia Fundamental; 18(3); 566-571","Revista Latinoamericana de Psicopatologia Fundamental","Espanhol","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-47142015000300566&lang=pt" 
"S0004-28032015000300176-scl","LOW BONE MINERAL DENSITY IN BRAZILIAN PATIENTS AT DIAGNOSIS OF CELIAC DISEASE","SILVA, Joyce Timmermans Pires da, NISIHARA, Renato M, KOTZE, Luís Roberto, OLANDOSKI, Márcia, KOTZE, Lorete Maria da Silva","Arquivos de Gastroenterologia; 52(3); 176-179","Arquivos de Gastroenterologia","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-28032015000300176&lang=pt" 
"S0004-28032015000300250-scl","PLUMMER VINSON SYNDROME - is it common in males?","BAKSHI, Satvinder Singh","Arquivos de Gastroenterologia; 52(3); 250-252","Arquivos de Gastroenterologia","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-28032015000300250&lang=pt" 
"S1414-81452015000300460-scl","Cuidados paliativos na assistência de alta complexidade em oncologia: percepção de enfermeiros","Silva, Marcelle Miranda da, Santanda, Nathália Gabriella Meliano de, Santos, Monique Casartelli, Cirilo, Juliana Dias, Barrocas, Desirée Lessa Rodrigues, Moreira, Marléa Chagas","Escola Anna Nery; 19(3); 460-466","Escola Anna Nery","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-81452015000300460&lang=pt" 
"S1414-81452015000300505-scl","Percepção de pessoas obesas sobre seu corpo","Macedo, Tassia Teles Santana de, Portela, Pollyana Pereira, Palamira, Cátia Suely, Mussi, Fernanda Carneiro","Escola Anna Nery; 19(3); 505-510","Escola Anna Nery","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-81452015000300505&lang=pt" 
"S1415-47142015000300476-scl","La fonction des identifications “comme si” dans un cas de psychose masquée","Lippi, Silvia","Revista Latinoamericana de Psicopatologia Fundamental; 18(3); 476-489","Revista Latinoamericana de Psicopatologia Fundamental","Francês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-47142015000300476&lang=pt" 
