"S0100-72032011001100001-scl","A mulher e o uso de álcool","Mendes, Maria Célia, Cunha, José Renato Ferreira da, Nogueira, Antônio Alberto","Revista Brasileira de Ginecologia e Obstetrícia; 33(11); 323-327","Revista Brasileira de Ginecologia e Obstetrícia","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-72032011001100001&lang=pt" 
"S1726-569X2011000200001-chl","Temas actuales en bioética","Lolas Stepke, Fernando","Acta bioethica; 17(2); 163-164","Acta bioethica","Espanhol","2011","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S1726-569X2011000200001&lang=pt" 
"S1726-569X2011000200002-chl","Verdad científica, poder y obediencia","Cárcamo Quezada, César","Acta bioethica; 17(2); 165-169","Acta bioethica","Espanhol","2011","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S1726-569X2011000200002&lang=pt" 
"S1726-569X2011000200003-chl","O nascimento da bioética e a constituição do biopoder","Roque Junges, José","Acta bioethica; 17(2); 171-178","Acta bioethica","Português","2011","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S1726-569X2011000200003&lang=pt" 
"S1726-569X2011000200004-chl","Conciencia moral: ampliando su aplicación en salud. Aspectos teóricos y prácticos de los juicios de conciencia en Chile","Valderrama Sandoval, Antonieta, López Barreda, Rodrigo","Acta bioethica; 17(2); 179-188","Acta bioethica","Espanhol","2011","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S1726-569X2011000200004&lang=pt" 
"S1726-569X2011000200005-chl","Eugenesia: Un análisis histórico y una posible propuesta","Villela Cortés, Fabiola, Linares Salgado, Jorge E","Acta bioethica; 17(2); 189-197","Acta bioethica","Espanhol","2011","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S1726-569X2011000200005&lang=pt" 
"S1726-569X2011000200006-chl","¿Confidencialidad, anonimato?: las otras promesas de la investigación","Anguita M, Verónica, Sotomayor, M. Angélica","Acta bioethica; 17(2); 199-204","Acta bioethica","Espanhol","2011","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S1726-569X2011000200006&lang=pt" 
"S1726-569X2011000200007-chl","La ética médica a comienzos del siglo XX: &quot;La Montaña Mágica&quot; de Thomas Mann","Figueroa, Gustavo","Acta bioethica; 17(2); 205-214","Acta bioethica","Espanhol","2011","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S1726-569X2011000200007&lang=pt" 
"S1726-569X2011000200008-chl","Ethical evaluation of pharmaceutical marketing in Pakistan","Ahmad, M, Akhtar, N, Awan, M.H.A, Murtaza2, G","Acta bioethica; 17(2); 215-224","Acta bioethica","Inglês","2011","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S1726-569X2011000200008&lang=pt" 
"S1726-569X2011000200009-chl","Ethical health technology assessment in Latin America: lessons from Canada and Argentina","Martin, Carolina, Williams-Jones, Bryn, de Ortúzar, María Graciela","Acta bioethica; 17(2); 225-236","Acta bioethica","Inglês","2011","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S1726-569X2011000200009&lang=pt" 
"S1726-569X2011000200010-chl","La investigación de la industria farmacéutica: ¿condicionada por los intereses del mercado?","Páez Moreno, Ricardo","Acta bioethica; 17(2); 237-246","Acta bioethica","Espanhol","2011","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S1726-569X2011000200010&lang=pt" 
"S1726-569X2011000200011-chl","La relación entre el equipo de salud y la familia del niño muriente","Muñoz Salinas, Mara","Acta bioethica; 17(2); 247-256","Acta bioethica","Espanhol","2011","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S1726-569X2011000200011&lang=pt" 
"S1726-569X2011000200012-chl","Comités de ética de investigación en República Dominicana: Un análisis desde las pautas éticas internacionales para la investigación biomédica con seres humanos","Canario Guzmán, Julio Arturo","Acta bioethica; 17(2); 257-264","Acta bioethica","Espanhol","2011","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S1726-569X2011000200012&lang=pt" 
"S1726-569X2011000200013-chl","Actitud de los estudiantes en tres facultades de odontología en Santiago de Cali, Colombia, frente a pacientes con VIH","Acosta de Velásquez, Blanca Lucía, Pérez-Then, Eddy, Mueses Marín, Héctor Fabio, Pinzón Gómez, Elisa María, Shor-Posner, Gail","Acta bioethica; 17(2); 265-271","Acta bioethica","Espanhol","2011","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S1726-569X2011000200013&lang=pt" 
"S1726-569X2011000200014-chl","Report of an evaluation meeting: Ethics of biomedical and psychosocial research program, Interdisciplinary Center for Studies on Bioethics, University of Chile, Grant Fogarty International Center R25TWOO6056","Lolas Stepke, Fernando, Rodríguez Yunta, Eduardo","Acta bioethica; 17(2); 273-275","Acta bioethica","Inglês","2011","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S1726-569X2011000200014&lang=pt" 
"S1726-569X2011000200015-chl","","Lolas Stepke, Fernando","Acta bioethica; 17(2); 277-278","Acta bioethica","Espanhol","2011","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S1726-569X2011000200015&lang=pt" 
"S0101-33002011000300002-scl","O Brasil de Lula","Anderson, Perry","Novos Estudos - CEBRAP; (91); 23-52","Novos Estudos - CEBRAP","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-33002011000300002&lang=pt" 
"S0101-33002011000300003-scl","Fascismo e Berlusconismo","D&#039;Arcais, Paolo Flores","Novos Estudos - CEBRAP; (91); 55-73","Novos Estudos - CEBRAP","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-33002011000300003&lang=pt" 
"S0101-33002011000300004-scl","Trabalhar para estudar: sobre a pertinência da noção de transição escola-trabalho no Brasil","Comin, Alvaro A., Barbosa, Rogério Jerônimo","Novos Estudos - CEBRAP; (91); 75-95","Novos Estudos - CEBRAP","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-33002011000300004&lang=pt" 
"S0101-33002011000300006-scl","Negativo e ornamental: um poema de Carlito Azevedo em seus problemas","Simon, Iumna Maria, Dantas, Vinicius","Novos Estudos - CEBRAP; (91); 109-120","Novos Estudos - CEBRAP","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-33002011000300006&lang=pt" 
"S0101-33002011000300007-scl","O gosto dominante como gosto tradicional: preferências e aversões estéticas das classes altas de São Paulo","Pulici, Carolina","Novos Estudos - CEBRAP; (91); 123-139","Novos Estudos - CEBRAP","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-33002011000300007&lang=pt" 
"S0101-33002011000300009-scl","A revolta no Egito","Kandil, Hazem","Novos Estudos - CEBRAP; (91); 155-193","Novos Estudos - CEBRAP","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-33002011000300009&lang=pt" 
"S0101-33002011000300011-scl","O jurista como verdadeiro teórico do Estado","Batalha, Carlos Eduardo","Novos Estudos - CEBRAP; (91); 201-211","Novos Estudos - CEBRAP","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-33002011000300011&lang=pt" 
"S0120-53072011000300013-col","Depression and psychoactive substances consumption in Mexican college undergraduates","Guzmán Facundo, Francisco Rafael, Ramos Luna, Sanjuana De Jesús, Alonso Castillo, María Magdalena, Esparza Almanza, Santiaga Enriqueta, López García, Karla Selene, Ibarra González, Cinthya Patricia","Investigación y Educación en Enfermería; 29(3); 442-450","Investigación y Educación en Enfermería","Inglês","2011","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-53072011000300013&lang=pt" 
"S0120-53072011000300019-col","El estudio exploratorio: Mi aproximación al mundo de la investigación cualitativa","Muñoz Aguirre, Nicanor Alonso","Investigación y Educación en Enfermería; 29(3); 492-499","Investigación y Educación en Enfermería","Espanhol","2011","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-53072011000300019&lang=pt" 
