"S0103-90162008000400006-scl","Temperature and modified atmosphere affect the quality of okra","Finger, Fernando Luiz, Della-Justina, Maria Edith, Casali, Vicente Wagner Dias, Puiatti, Mário","Scientia Agricola; 65(4); 360-364","Scientia Agricola","Inglês","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-90162008000400006&lang=pt" 
"S0103-90162008000400005-scl","Total phenol concentrations in coffee tree leaves during fruit development","Salgado, Paula Rodrigues, Favarin, José Laércio, Leandro, Roseli Aparecida, Lima Filho, Oscar Fontão de","Scientia Agricola; 65(4); 354-359","Scientia Agricola","Inglês","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-90162008000400005&lang=pt" 
"S0103-90162008000400009-scl","Cytogenetic data for Paspalum notatum Flügge accessions","Dahmer, Nair, Schifino-Wittmann, Maria Teresa, Dall&#039;Agnol, Miguel, Castro, Biane de","Scientia Agricola; 65(4); 381-388","Scientia Agricola","Inglês","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-90162008000400009&lang=pt" 
"S0103-90162008000400016-scl","Modifications for the tukey test procedure and evaluation of the power and efficiency of multiple comparison procedures","Conagin, Armando, Barbin, Décio, Demétrio, Clarice Garcia Borges","Scientia Agricola; 65(4); 428-432","Scientia Agricola","Inglês","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-90162008000400016&lang=pt" 
"S0102-311X2008001400006-spa","Debate sobre o artigo de Sichieri &amp; Souza","Santos, Iná S.","Cadernos de Saúde Pública; 24(); s229-s229","Cadernos de Saúde Pública","Português","2008","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0102-311X2008001400006&lang=pt" 
"S0102-311X2008001400008-spa","As autoras respondem","Sichieri, Rosely, Souza, Rita Adriana de","Cadernos de Saúde Pública; 24(); s231-s234","Cadernos de Saúde Pública","Português","2008","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0102-311X2008001400008&lang=pt" 
"S0102-311X2008001400003-spa","Debate on the paper by Sichieri &amp; Souza","Hoffman, Daniel J.","Cadernos de Saúde Pública; 24(); 224-s225","Cadernos de Saúde Pública","Inglês","2008","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0102-311X2008001400003&lang=pt" 
"S0004-282X2008000500024-scl","Myocyte-specific enhancer binding factor 2C (MEF2C) expression in the dentate gyrus during development and after pilocarpine-induced status epilepticus: a preliminary report","Scorza, Carla Alessandra, Cavalheiro, Esper Abrão, Scorza, Fulvio Alexandre","Arquivos de Neuro-Psiquiatria; 66(3b); 731-735","Arquivos de Neuro-Psiquiatria","Inglês","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2008000500024&lang=pt" 
"S0004-282X2008000500025-scl","Neonatal exposure to citalopram, a serotonin selective reuptake inhibitor, programs a delay in the reflex ontogeny in rats","Deiró, Teresa Cristina Bomfim de Jesus, Carvalho, Judelita, Nascimento, Elizabeth do, Medeiros, Jaiza Maria Barreto, Cajuhi, Fabiana, Ferraz-Pereira, Kelli Nogueira, Manhães-de-Castro, Raul","Arquivos de Neuro-Psiquiatria; 66(3b); 736-740","Arquivos de Neuro-Psiquiatria","Inglês","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2008000500025&lang=pt" 
"S0004-282X2008000500026-scl","Clinical findings in Creutzfeldt-Jakob disease mimicking dementia with Lewy bodies","Marin, Luís Fabiano, Felício, André Carvalho, Bichuetti, Denis Bernardi, Santos, William Adolfo Celso dos, Borges, Lia Raquel Rodrigues, Buainain, Renata Parissi, Ferraz, Henrique Ballalai","Arquivos de Neuro-Psiquiatria; 66(3b); 741-743","Arquivos de Neuro-Psiquiatria","Inglês","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2008000500026&lang=pt" 
"S0004-282X2008000500027-scl","Bickerstaff &#039;s encephalitis, Guillain-Barré syndrome and idiopathic intracranial hypertension: are they related conditions?","Damasceno, Alfredo, França Jr, Marcondes C., Pimenta, Daniel S., Deus-Silva, Leonardo de, Nucci, Anamarli, Damasceno, Benito P.","Arquivos de Neuro-Psiquiatria; 66(3b); 744-746","Arquivos de Neuro-Psiquiatria","Inglês","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2008000500027&lang=pt" 
"S0004-282X2008000500030-scl","Aplasia cutis congenita of the scalp","Silva, Joacil C. da, Almeida, João Paulo C. de, Serra, Suzana, Faquini, Igor, Quinino, Saul, Magalhães, Francisco Nêuton de O., Azevedo-Filho, Hildo","Arquivos de Neuro-Psiquiatria; 66(3b); 752-754","Arquivos de Neuro-Psiquiatria","Inglês","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2008000500030&lang=pt" 
"S0004-282X2008000500034-scl","Internal carotid artery dissection presenting as cluster headache","Godeiro-Junior, Clecio, Kuster, Gustavo W., Felício, Andre C., Porto Jr, Pedro P., Pieri, Alexandre, Coelho, Fernando M.S.","Arquivos de Neuro-Psiquiatria; 66(3b); 763-764","Arquivos de Neuro-Psiquiatria","Inglês","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2008000500034&lang=pt" 
"S0004-282X2008000500037-scl","Methods to increase muscle tonus of upper airway to treat snoring: systematic review","Valbuza, Juliana Spelta, Oliveira, Márcio Moysés de, Conti, Cristiane Fiquene, Prado, Lucila Bizari F., Carvalho, Luciane Bizari Coin de, Prado, Gilmar Fernandes do","Arquivos de Neuro-Psiquiatria; 66(3b); 773-776","Arquivos de Neuro-Psiquiatria","Inglês","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2008000500037&lang=pt" 
"S0004-282X2008000500046-scl","Propedêutica neurológica fundamental","Machado, Luís dos Ramos","Arquivos de Neuro-Psiquiatria; 66(3b); 781-781","Arquivos de Neuro-Psiquiatria","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2008000500046&lang=pt" 
