"S1516-84842016000200158-scl","Involvement of cranial nerves in a patient with secondary central nervous system lymphoma","Azevedo, Roberta Dantas, Reis, Fabiano, Delamain, Marcia Torresan, Souza, Cármino Antônio de","Revista Brasileira de Hematologia e Hemoterapia; 38(2); 158-160","Revista Brasileira de Hematologia e Hemoterapia","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-84842016000200158&lang=pt" 
"S1806-37132016000300185-scl","Robotic pulmonary lobectomy for lung cancer treatment: program implementation and initial experience","Terra, Ricardo Mingarini, Araujo, Pedro Henrique Xavier Nabuco de, Lauricella, Leticia Leone, Campos, José Ribas Milanez de, Costa, Herbert Felix, Pego-Fernandes, Paulo Manuel","Jornal Brasileiro de Pneumologia; 42(3); 185-190","Jornal Brasileiro de Pneumologia","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1806-37132016000300185&lang=pt" 
"S1806-37132016000300179-scl","Risk factors for cardiovascular disease in patients with COPD: mild-to-moderate COPD versus severe-to-very severe COPD","Caram, Laura Miranda de Oliveira, Ferrari, Renata, Naves, Cristiane Roberta, Coelho, Liana Sousa, Vale, Simone Alves do, Tanni, Suzana Erico, Godoy, Irma","Jornal Brasileiro de Pneumologia; 42(3); 179-184","Jornal Brasileiro de Pneumologia","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1806-37132016000300179&lang=pt" 
"S1806-37132016000300203-scl","The value of antibody-coated bacteria in tracheal aspirates for the diagnosis of ventilator-associated pneumonia: a case-control study","Ranzani, Otavio Tavares, Forte, Daniel Neves, Forte, Antonio Carlos, Mimica, Igor, Forte, Wilma Carvalho Neves","Jornal Brasileiro de Pneumologia; 42(3); 203-210","Jornal Brasileiro de Pneumologia","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1806-37132016000300203&lang=pt" 
"S1806-37132016000300174-scl","Evaluating bronchodilator response in pediatric patients with post-infectious bronchiolitis obliterans: use of different criteria for identifying airway reversibility","Mattiello, Rita, Vidal, Paula Cristina, Sarria, Edgar Enrique, Pitrez, Paulo Márcio, Stein, Renato Tetelbom, Mocelin, Helena Teresinha, Fischer, Gilberto Bueno, Jones, Marcus Herbert, Pinto, Leonardo Araújo","Jornal Brasileiro de Pneumologia; 42(3); 174-178","Jornal Brasileiro de Pneumologia","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1806-37132016000300174&lang=pt" 
"S1516-84842016000200128-scl","l-Amino acid oxidase isolated from Calloselasma rhodostoma snake venom induces cytotoxicity and apoptosis in JAK2V617F-positive cell lines","Tavares, Cristiane, Maciel, Thaís, Burin, Sandra, Ambrósio, Luciana, Ghisla, Sandro, Sampaio, Suely, Castro, Fabíola","Revista Brasileira de Hematologia e Hemoterapia; 38(2); 128-134","Revista Brasileira de Hematologia e Hemoterapia","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-84842016000200128&lang=pt" 
"S0102-85292016000100011-scl","When Foreign Policy Meets Social Demands in Latin America","Lopes, Dawisson Belém, Faria, Carlos Aurélio Pimenta de","Contexto Internacional; 38(1); 11-53","Contexto Internacional","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-85292016000100011&lang=pt" 
"S0102-85292016000100433-scl","Latin American Perceptions of Regional Identity and Leadership in Comparative Perspective","Onuki, Janina, Mouron, Fernando, Urdinez, Francisco","Contexto Internacional; 38(1); 433-465","Contexto Internacional","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-85292016000100433&lang=pt" 
"S0102-85292016000100095-scl","Neoliberal Crisis, Social Demands, and Foreign Policy in Kirchnerist Argentina*","Busso, Anabella","Contexto Internacional; 38(1); 95-131","Contexto Internacional","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-85292016000100095&lang=pt" 
"S0102-85292016000100385-scl","Legitimising Emerging Power Diplomacy: an Analysis of Government and Media Discourses on Brazilian Foreign Policy under Lula","Mesquita, Rafael, Almeida Medeiros, Marcelo de","Contexto Internacional; 38(1); 385-432","Contexto Internacional","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-85292016000100385&lang=pt" 
"S0102-85292016000100349-scl","When Procedural Legitimacy Equals Nothing: Civil Society and Foreign Trade Policy in Brazil and Mexico","Vieira, Vinícius Rodrigues","Contexto Internacional; 38(1); 349-384","Contexto Internacional","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-85292016000100349&lang=pt" 
"S0102-85292016000100203-scl","The Mexican Experience of the NAPAPI Revision Process","Martínez, María Esther Coronado","Contexto Internacional; 38(1); 203-239","Contexto Internacional","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-85292016000100203&lang=pt" 
"S0102-85292016000100165-scl","From Chávez to Maduro: Continuity and Change in Venezuelan Foreign Policy","Romero, Carlos A., Mijares, Víctor M.","Contexto Internacional; 38(1); 165-201","Contexto Internacional","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-85292016000100165&lang=pt" 
"S0102-85292016000100055-scl","Foreign policy of the New Left: explaining Brazil&#039;s Southern partnerships","Pickup, Megan","Contexto Internacional; 38(1); 55-93","Contexto Internacional","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-85292016000100055&lang=pt" 
"S0102-85292016000100277-scl","Network Governance and the Making of Brazil&#039;s Foreign Policy Towards China in the 21st Century","Cardoso, Daniel","Contexto Internacional; 38(1); 277-312","Contexto Internacional","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-85292016000100277&lang=pt" 
"S0102-85292016000100467-scl","Presidents, Legislators, and Foreign Policy in Latin America","Ribeiro, Pedro Feliú, Pinheiro, Flávio","Contexto Internacional; 38(1); 467-501","Contexto Internacional","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-85292016000100467&lang=pt" 
