"S0103-05822009000100005-scl","Soropositividade para doença celíaca em crianças e adolescentes com baixa estatura","Gueiros, Ana Carla L. N., Silva, Giselia Alves P.","Revista Paulista de Pediatria; 27(1); 28-32","Revista Paulista de Pediatria","Inglês, Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-05822009000100005&lang=pt" 
"S0103-05822009000100006-scl","Percepção das mães sobre a importância das práticas alimentares no tratamento da constipação crônica funcional","Pereira, Vivian Palo, Medeiros, Lilian Cristiane S., Speridião, Patrícia da Graça L., Lisboa, Valéria Cristina A., Tahan, Soraia, Morais, Mauro Batista de","Revista Paulista de Pediatria; 27(1); 33-39","Revista Paulista de Pediatria","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-05822009000100006&lang=pt" 
"S0103-05822009000100007-scl","Novas curvas de crescimento da Organização Mundial da Saúde: comparação com valores de crescimento de crianças pré-escolares das cidades de Taubaté e Santo André, São Paulo","Leone, Claudio, Bertoli, Ciro João, Schoeps, Denise de Oliveira","Revista Paulista de Pediatria; 27(1); 40-47","Revista Paulista de Pediatria","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-05822009000100007&lang=pt" 
"S0103-05822009000100008-scl","Associação entre o estilo de vida dos pais e a composição corporal dos filhos adolescentes","Petroski, Edio Luiz, Pelegrini, Andreia","Revista Paulista de Pediatria; 27(1); 48-52","Revista Paulista de Pediatria","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-05822009000100008&lang=pt" 
"S0103-05822009000100010-scl","Consistência das informações de um estudo sobre o impacto da assistência nutricional no atendimento pré-natal","Saunders, Cláudia, Padilha, Patricia de Carvalho, Chagas, Cristiane Barbosa, Silva, Cristina Lúcia da, Accioly, Elizabeth, Ramalho, Andréa","Revista Paulista de Pediatria; 27(1); 60-66","Revista Paulista de Pediatria","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-05822009000100010&lang=pt" 
"S0103-05822009000100012-scl","Ocorrência de desvios posturais em escolares do ensino público fundamental de Jaguariúna, São Paulo","Santos, Camila Isabel S., Cunha, Alexandre Baccili N., Braga, Viviane Pereira, Saad, Ivete Alonso B., Ribeiro, Maria Ângela G. O., Conti, Patrícia Blau M., Oberg, Telma D.","Revista Paulista de Pediatria; 27(1); 74-80","Revista Paulista de Pediatria","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-05822009000100012&lang=pt" 
"S0103-05822009000100015-scl","Orientação nutricional de crianças e adolescentes e os novos padrões de consumo: propagandas, embalagens e rótulos","Pontes, Tatiana Elias, Costa, Thalita Feitosa, Marum, Annete Bressan R. F., Brasil, Anne Lise D., Taddei, José Augusto de A. C.","Revista Paulista de Pediatria; 27(1); 99-105","Revista Paulista de Pediatria","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-05822009000100015&lang=pt" 
"S0103-05822009000100017-scl","Distonia aguda relacionada ao uso de bromoprida em pacientes pediátricos","Barreira, Eliane Roseli, Magaldi, Ricardo Borges","Revista Paulista de Pediatria; 27(1); 110-114","Revista Paulista de Pediatria","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-05822009000100017&lang=pt" 
"S0103-05822009000100014-scl","Prevalência de anemia ferropriva no Brasil: uma revisão sistemática","Jordão, Regina Esteves, Bernardi, Júlia Laura D., Barros Filho, Antônio de Azevedo","Revista Paulista de Pediatria; 27(1); 90-98","Revista Paulista de Pediatria","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-05822009000100014&lang=pt" 
"S0103-05822009000100011-scl","Anemia em crianças de uma creche pública e as repercussões sobre o desenvolvimento de linguagem","Santos, Juliana Nunes, Rates, Silmar Paulo M., Lemos, Stela Maris A., Lamounier, Joel Alves","Revista Paulista de Pediatria; 27(1); 67-73","Revista Paulista de Pediatria","Inglês, Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-05822009000100011&lang=pt" 
"S1516-44462009000100006-scl","Internal validity, dimensionality and performance of the Body Shape Questionnaire in a group of Brazilian college students","Di Pietro, Monica, Silveira, Dartiu Xavier da","Revista Brasileira de Psiquiatria; 31(1); 21-24","Revista Brasileira de Psiquiatria","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-44462009000100006&lang=pt" 
"S1516-44462009000100007-scl","Cross- cultural validation of the Brazilian Portuguese version of the Social Phobia Inventory (SPIN): study of the items and internal consistency","Osório, Flávia de Lima, Crippa, José Alexandre S., Loureiro, Sonia Regina","Revista Brasileira de Psiquiatria; 31(1); 25-29","Revista Brasileira de Psiquiatria","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-44462009000100007&lang=pt" 
"S0103-05822009000100016-scl","Hipotireoidismo adquirido tratado como obesidade exógena: a importância do controle do crescimento","Zambon, Mariana Porto, Antonio, Maria Ângela R. G. M., Mendes, Roberto Teixeira, B. Filho, Antônio de Azevedo","Revista Paulista de Pediatria; 27(1); 106-109","Revista Paulista de Pediatria","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-05822009000100016&lang=pt" 
"S1516-35982009000300003-scl","Características morfológicas de plantas de alfafa relacionadas à aptidão ao pastejo","Perez, Naylor Bastiani, Dall&#039;Agnol, Miguel","Revista Brasileira de Zootecnia; 38(3); 418-421","Revista Brasileira de Zootecnia","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-35982009000300003&lang=pt" 
"S1516-35982009000300004-scl","Fracionamento de carboidratos e proteínas de silagens de capim-elefante com casca de café, farelo de cacau ou farelo de mandioca","Pires, Aureliano José Vieira, Carvalho, Gleidson Giordano Pinto de, Garcia, Rasmo, Carvalho Junior, José Nobre de, Ribeiro, Leandro Sampaio Oliveira, Chagas, Daiane Maria Trindade","Revista Brasileira de Zootecnia; 38(3); 422-427","Revista Brasileira de Zootecnia","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-35982009000300004&lang=pt" 
"S1516-35982009000300001-scl","Poder germinativo de sementes de capim-annoni-2 (Eragrostis plana Ness) recuperadas em fezes de bovinos","Lisboa, Celso Augusto Vargas, Medeiros, Renato Borges de, Azevedo, Eduardo Bohrer de, Patino, Harold Ospina, Carlotto, Silvane Barcelos, Garcia, Renata Porto Alegre","Revista Brasileira de Zootecnia; 38(3); 405-410","Revista Brasileira de Zootecnia","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-35982009000300001&lang=pt" 
"S1516-35982009000300002-scl","Características agronômicas e bromatológicas de híbridos de milho para produção de silagem","Paziani, Solidete de Fátima, Duarte, Aildson Pereira, Nussio, Luiz Gustavo, Gallo, Paulo Boller, Bittar, Carla Maris Machado, Zopollatto, Maity, Reco, Paulo César","Revista Brasileira de Zootecnia; 38(3); 411-417","Revista Brasileira de Zootecnia","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-35982009000300002&lang=pt" 
"S1516-35982009000300006-scl","Produção de matéria seca e valor nutritivo de pastagem de capim-elefante sob irrigação e adubação nitrogenada","Vitor, Cláudio Manoel Teixeira, Fonseca, Dilermando Miranda da, Cóser, Antônio Carlos, Martins, Carlos Eugênio, Nascimento Júnior, Domicio do, Ribeiro Júnior, José Ivo","Revista Brasileira de Zootecnia; 38(3); 435-442","Revista Brasileira de Zootecnia","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-35982009000300006&lang=pt" 
"S1516-35982009000300009-scl","Inovulação de embriões bovinos recém-colhidos em receptoras tratadas com rbST no dia do estro","Marques, Paulo Alexandre Fernandes, Costa, Eduardo Paulino da, Fernandes, Carlos Antônio de Carvalho, Paula, Tarcízio Antônio Rêgo de, Almeida Neto, José Rogério Moura de, Santos, Giancarlo Magalhães dos","Revista Brasileira de Zootecnia; 38(3); 462-466","Revista Brasileira de Zootecnia","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-35982009000300009&lang=pt" 
"S1516-35982009000300014-scl","Disponibilidade biológica e exigências de cálcio em eqüinos em crescimento recebendo dietas com diferentes níveis de cálcio","Furtado, Carlos Eduardo, Quadros, João Batista da Silva, Vitti, Dorinha Miriam Silber Schmidt, Bueno, Ives Cláudio da Silva, Dias, Raquel Souza, Roque, Ana Paula","Revista Brasileira de Zootecnia; 38(3); 493-499","Revista Brasileira de Zootecnia","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-35982009000300014&lang=pt" 
