"S0034-89101986000300009-spa","Identificação de Aedes (Stegomyia) Albopictus (Skuse) no Brasil","Forattini, Oswaldo Paulo","Revista de Saúde Pública; 20(3); 244-245","Revista de Saúde Pública","Inglês, Português","1986","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0034-89101986000300009&lang=pt" 
"S0034-89101986000300012-scl","","","Revista de Saúde Pública; 20(3); 259-266","Revista de Saúde Pública","Português","1986","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-89101986000300012&lang=pt" 
"S0034-89101986000300005-scl","Risco de morrer no primeiro ano de vida entre favelados e não favelados no município de Porto Alegre, RS (Brasil), em 1980","Fischmann, Airton, Guimarães, José Joaquim de Lima","Revista de Saúde Pública; 20(3); 219-226","Revista de Saúde Pública","Português","1986","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-89101986000300005&lang=pt" 
"S0034-89101986000300004-scl","Investigação epidemiológica de um surto de gastroenterite","Baldissera, Romeo Luiz, Meneghel, Stela Nazareth","Revista de Saúde Pública; 20(3); 212-218","Revista de Saúde Pública","Português","1986","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-89101986000300004&lang=pt" 
"S0034-89101986000300011-scl","&quot;Odds ratio&quot;: algumas considerações","Rumel, Davi","Revista de Saúde Pública; 20(3); 253-258","Revista de Saúde Pública","Português","1986","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-89101986000300011&lang=pt" 
"S0034-89101986000300010-scl","O jovem e seu projeto de vida","Pilon, André Francisco","Revista de Saúde Pública; 20(3); 246-252","Revista de Saúde Pública","Português","1986","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-89101986000300010&lang=pt" 
"S0034-89101986000300008-scl","Sobre o encontro de Biomphalaria glabrata (Say, 1818) em dois municípios do Estado de São Paulo, Brasil","Teles, Horácio Manuel Santana","Revista de Saúde Pública; 20(3); 242-243","Revista de Saúde Pública","Português","1986","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-89101986000300008&lang=pt" 
"S0034-89101986000300013-scl","","","Revista de Saúde Pública; 20(3); 267-268","Revista de Saúde Pública","Português","1986","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-89101986000300013&lang=pt" 
"S0034-89101986000300003-scl","Níveis de anticorpos para arbovírus em indivíduos da região de Ribeirão Preto, SP (Brasil)","Figueiredo, Luiz Tadeu Moraes, Rosa, Amélia P.A. Travassos da, Fiorillo, Adhemar Mário","Revista de Saúde Pública; 20(3); 204-211","Revista de Saúde Pública","Português","1986","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-89101986000300003&lang=pt" 
"S0034-89101986000300013-spa","","","Revista de Saúde Pública; 20(3); 267-268","Revista de Saúde Pública","Português","1986","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0034-89101986000300013&lang=pt" 
"S0034-89101986000300011-spa","&quot;Odds ratio&quot;: algumas considerações","Rumel, Davi","Revista de Saúde Pública; 20(3); 253-258","Revista de Saúde Pública","Português","1986","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0034-89101986000300011&lang=pt" 
"S0034-89101986000300008-spa","Sobre o encontro de Biomphalaria glabrata (Say, 1818) em dois municípios do Estado de São Paulo, Brasil","Teles, Horácio Manuel Santana","Revista de Saúde Pública; 20(3); 242-243","Revista de Saúde Pública","Português","1986","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0034-89101986000300008&lang=pt" 
"S0034-89101986000300012-spa","","","Revista de Saúde Pública; 20(3); 259-266","Revista de Saúde Pública","Português","1986","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0034-89101986000300012&lang=pt" 
"S0034-89101986000300010-spa","O jovem e seu projeto de vida","Pilon, André Francisco","Revista de Saúde Pública; 20(3); 246-252","Revista de Saúde Pública","Português","1986","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0034-89101986000300010&lang=pt" 
