"S0104-62762008000200003-scl","Opiniões políticas e sentimentos partidários dos eleitores brasileiros","Carreirão, Yan de Souza","Opinião Pública; 14(2); 319-351","Opinião Pública","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-62762008000200003&lang=pt" 
"S0104-62762008000200004-scl","Mulher para presidente do Brasil? Gênero e política na perspectiva do eleitor brasileiro","Bohn, Simone R.","Opinião Pública; 14(2); 352-379","Opinião Pública","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-62762008000200004&lang=pt" 
"S0104-62762008000200005-scl","Democracia formal, cultura política informal e capital social no Brasil","Baquero, Marcello","Opinião Pública; 14(2); 380-413","Opinião Pública","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-62762008000200005&lang=pt" 
"S0104-62762008000200008-scl","Organizações partidárias e seleção de candidatos no estado de São Paulo","Braga, Maria do Socorro Sousa","Opinião Pública; 14(2); 454-485","Opinião Pública","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-62762008000200008&lang=pt" 
"S0104-62762008000200009-scl","Elite empresarial: recrutamento e valores políticos (Paraná, 1995-2005)","Costa, Paulo Roberto Neves, Engler, Ícaro Gabriel da Fonseca","Opinião Pública; 14(2); 486-514","Opinião Pública","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-62762008000200009&lang=pt" 
"S0104-62762008000200001-scl","Dois Lulas: a geografia eleitoral da reeleição (explorando conceitos, métodos e técnicas de análise geoespacial)","Soares, Gláucio Ary Dillon, Terron, Sonia Luiza","Opinião Pública; 14(2); 269-301","Opinião Pública","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-62762008000200001&lang=pt" 
"S0100-879X2008001100001-scl","Breathing pattern and thoracoabdominal motion during exercise in chronic obstructive pulmonary disease","Alves, G.S., Britto, R.R., Campos, F.C., Vilaça, A.B.O., Moraes, K.S., Parreira, V.F.","Brazilian Journal of Medical and Biological Research; 41(11); 945-950","Brazilian Journal of Medical and Biological Research","Inglês","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-879X2008001100001&lang=pt" 
"S0100-204X2008001100009-scl","Relação da produção de sementes de castanha-do-Brasil com características morfométricas da copa e índices de competição","Tonini, Helio, Kaminski, Paulo Emilio, Costa, Patricia da","Pesquisa Agropecuária Brasileira; 43(11); 1509-1816","Pesquisa Agropecuária Brasileira","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-204X2008001100009&lang=pt" 
"S0100-204X2008001100023-scl","Produção de forragem e valor nutritivo do capim-elefante, irrigado durante a época seca","Cóser, Antônio Carlos, Martins, Carlos Eugênio, Deresz, Fermino, Freitas, Ary Ferreira de, Paciullo, Domingos Sávio Campos, Alencar, Carlos Augusto Brasileiro de, Vítor, Cláudio Manoel Teixeira","Pesquisa Agropecuária Brasileira; 43(11); 1625-1631","Pesquisa Agropecuária Brasileira","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-204X2008001100023&lang=pt" 
"S0100-72032008001100009-scl","Pré-maturação de oócitos bovinos com butirolactona I bloqueia reversivelmente a meiose sem aumentar a incidência de anomalias meióticas após a maturação in vitro","Ferreira, Elisa Melo","Revista Brasileira de Ginecologia e Obstetrícia; 30(11); 583-583","Revista Brasileira de Ginecologia e Obstetrícia","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-72032008001100009&lang=pt" 
"S0100-72032008001100010-scl","Do carcinoma cervical in situ ao invasor: o papel da expressão da p16INK4a na progressão e na recorrência","Anschau, Fernando","Revista Brasileira de Ginecologia e Obstetrícia; 30(11); 583-583","Revista Brasileira de Ginecologia e Obstetrícia","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-72032008001100010&lang=pt" 
"S0100-72032008001100001-scl","Qualidade de vida","Pinto-Neto, Aarão Mendes, Conde, Délio Marques","Revista Brasileira de Ginecologia e Obstetrícia; 30(11); 535-535","Revista Brasileira de Ginecologia e Obstetrícia","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-72032008001100001&lang=pt" 
"S0100-72032008001100002-scl","Efeito da tibolona sobre parâmetros doplervelocimétricos das artérias oftálmica e retiniana","Souza, Marco Aurélio Martins de, Geber, Selmo","Revista Brasileira de Ginecologia e Obstetrícia; 30(11); 537-543","Revista Brasileira de Ginecologia e Obstetrícia","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-72032008001100002&lang=pt" 
"S0100-72032008001100004-scl","Treinamento e critérios padronizados aprimoram o diagnóstico de lesões pré-malignas da mama","Salles, Marcio de Almeida, Gouvêa, Agostinho Pinto, Savi, Daniela, Figueiredo, Marco Aurélio, Tavares Neto, Ramão, Paula, Rodrigo Assis de, Gobbi, Helenice","Revista Brasileira de Ginecologia e Obstetrícia; 30(11); 550-555","Revista Brasileira de Ginecologia e Obstetrícia","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-72032008001100004&lang=pt" 
"S0100-72032008001100005-scl","Influência da adequabilidade da amostra sobre a detecção das lesões precursoras do câncer cervical","Amaral, Rita Goreti, Manrique, Edna Joana Cláudio, Guimarães, Janaína Valadares, Sousa, Paula José de, Mignoli, João Ricardo Queiroz, Xavier, Aparecida de Fátima, Oliveira, Analina","Revista Brasileira de Ginecologia e Obstetrícia; 30(11); 556-560","Revista Brasileira de Ginecologia e Obstetrícia","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-72032008001100005&lang=pt" 
"S0100-72032008001100006-scl","Interferência da idade sobre a qualidade seminal","Cavalcante, Marcelo Borges, Rocha, Marcelo de Pontes, Dias, Marjorie Luzia Custódio Mota, Dias, Oswaldo José Queiroz, Souza, Danielle Oliveira de Araújo, Roberto, Iara Gonçalves","Revista Brasileira de Ginecologia e Obstetrícia; 30(11); 561-565","Revista Brasileira de Ginecologia e Obstetrícia","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-72032008001100006&lang=pt" 
"S0103-20702008000200007-scl","Declínio do budismo &quot;amarelo&quot; no Brasil","Usarski, Frank","Tempo Social; 20(2); 133-153","Tempo Social","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-20702008000200007&lang=pt" 
