"S1517-97022006000200012-scl","As figuras de ligação nos relatos de formação: ligações formadoras, deformadoras e transformadoras","Josso, Marie Christine","Educação e Pesquisa; 32(2); 373-383","Educação e Pesquisa","Francês, Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-97022006000200012&lang=pt" 
"S1517-97022006000200013-scl","Histórias de vida e autobiografias na formação de professores e profissão docente (Brasil, 1985-2003)","Bueno, Belmira Oliveira, Chamlian, Helena Coharik, Sousa, Cynthia Pereira de, Catani, Denice Barbara","Educação e Pesquisa; 32(2); 385-410","Educação e Pesquisa","Inglês, Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-97022006000200013&lang=pt" 
"S1516-35982006000600024-scl","Valores energéticos de diferentes alimentos de origem animal para aves","Nunes, Ricardo Vianna, Rostagno, Horacio Santiago, Gomes, Paulo Cezar, Nunes, Christiane Garcia Vilela, Albino, Luiz Fernando Teixeira, Pozza, Paulo Cesar, Dionizio, Marli Arena, Araújo, Marcelle Santana de","Revista Brasileira de Zootecnia; 35(4); 1752-1757","Revista Brasileira de Zootecnia","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-35982006000600024&lang=pt" 
"S1516-35982006000600001-scl","Composição centesimal e perfil de ácidos graxos do camarão-d&#039;água-doce","Furuya, Wilson Massamitu, Hayashi, Carmino, Silva, Adriano Borges Martins da, Santos Júnior, Oscar de Oliveira, Souza, Nilson Evelázio de, Matsushita, Makoto, Visentainer, Jesuí Vergílio","Revista Brasileira de Zootecnia; 35(4); 1577-1580","Revista Brasileira de Zootecnia","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-35982006000600001&lang=pt" 
"S1516-35982006000600026-scl","Produção de novilhos superprecoces em pastagem de aveia e azevém submetida a diferentes alturas de manejo","Aguinaga, Angelo Antonio Queirolo, Carvalho, Paulo César de Faccio, Anghinoni, Ibanor, Santos, Davi Teixeira dos, Freitas, Fabiana Kellermann de, Lopes, Marilia Terra","Revista Brasileira de Zootecnia; 35(4); 1765-1773","Revista Brasileira de Zootecnia","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-35982006000600026&lang=pt" 
"S1516-35982006000600039-scl","Ingestão, digestibilidade das rações e parâmetros sangüíneos em cabras Saanen durante o pré-parto recebendo rações com diferentes níveis de energia","Zambom, Maximiliane Alavarse, Alcalde, Claudete Regina, Macedo, Francisco de Assis Fonseca de, Garcia, Jocilaine, Moraes, Gentil Vanini de, Sakuno, Marlene Leiko Doi, Borgh, Everton Luiz","Revista Brasileira de Zootecnia; 35(4); 1866-1871","Revista Brasileira de Zootecnia","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-35982006000600039&lang=pt" 
"S1516-35982006000600034-scl","Perfil de ácidos graxos e conteúdo de ácido linoléico conjugado no leite de vacas alimentadas com a combinação de óleo de soja e fontes de carboidratos na dieta","Eifert, Eduardo da Costa, Lana, Rogério de Paula, Lanna, Dante Pazzanese Duarte, Teixeira, Rafael Monteiro Araújo, Arcuri, Pedro Braga, Leão, Maria Ignez, Oliveira, Marcus Vinícius Morais de, Valadares Filho, Sebastião de Campos","Revista Brasileira de Zootecnia; 35(4); 1829-1837","Revista Brasileira de Zootecnia","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-35982006000600034&lang=pt" 
"S1516-35982006000600035-scl","Efeito do genótipo e do sexo sobre a composição química e o perfil de ácidos graxos da carne de cordeiros","Madruga, Marta Suely, Araújo, Waldinei Oliveira de, Sousa, Wandrick Hauss de, Cézar, Marcílio Fontes, Galvão, Mércia de Sousa, Cunha, Maria das Graças Gomes","Revista Brasileira de Zootecnia; 35(4); 1838-1844","Revista Brasileira de Zootecnia","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-35982006000600035&lang=pt" 
"S1516-35982006000600037-scl","Características de carcaça e análise do custo de sistemas de produção de cordeiras ½ Dorset Santa Inês","Santello, Graziela Aparecida, Macedo, Francisco de Assis Fonseca de, Mexia, Alexandre Agostinho, Sakaguti, Eduardo Shiguero, Dias, Fábio Jacobs, Pereira, Marcelo Farid","Revista Brasileira de Zootecnia; 35(4); 1852-1859","Revista Brasileira de Zootecnia","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-35982006000600037&lang=pt" 
"S1516-35982006000600038-scl","Casca de café em dietas para vacas em lactação: balanço de compostos nitrogenados e síntese de proteína microbiana","Souza, Alexandre Lima de, Garcia, Rasmo, Valadares, Rilene Ferreira Diniz, Pereira, Mara Lúcia Albuquerque, Cabral, Luciano da Silva, Valadares Filho, Sebastião de Campos","Revista Brasileira de Zootecnia; 35(4); 1860-1865","Revista Brasileira de Zootecnia","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-35982006000600038&lang=pt" 
"S0042-96862006000800011-spa","Using knowledge brokering to promote evidence-based policy-making: the need for support structures","van Kammen, Jessika, de Savigny, Don, Sewankambo, Nelson","Bulletin of the World Health Organization; 84(8); 608-612","Bulletin of the World Health Organization","Inglês","2006","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0042-96862006000800011&lang=pt" 
"S0042-96862006000800004-spa","Reaching Mexico&#039;s poorest","Braine, Theresa","Bulletin of the World Health Organization; 84(8); 592-593","Bulletin of the World Health Organization","Inglês","2006","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0042-96862006000800004&lang=pt" 
