"S1516-84842008000100024-scl","Estudo das alterações moleculares do gene ABO em doadores de sangue fenotipados como A3 e A3B","Domingues, Alexandre E.","Revista Brasileira de Hematologia e Hemoterapia; 30(1); 83-84","Revista Brasileira de Hematologia e Hemoterapia","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-84842008000100024&lang=pt" 
"S1516-84842008000100023-scl","Avaliação da técnica de PCR em tempo real no diagnóstico da infecção pelo HTLV-I","Arruda, Bruna C.","Revista Brasileira de Hematologia e Hemoterapia; 30(1); 81-82","Revista Brasileira de Hematologia e Hemoterapia","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-84842008000100023&lang=pt" 
"S1516-84842008000100020-scl","Púrpura trombocitopênica trombótica - remissão completa em paciente com mau prognóstico após tratamento com plasmaférese terapêutica e rituximabe","Almeida Neto, Cesar de, Mendonça, Mirianceli C., Braga, Marcelo C., Ghaname, Fabiana S., Gobette, Fernanda O. S., Pires, Verônica S. P., Ganme, Anis, Ghaname, Jorge N.","Revista Brasileira de Hematologia e Hemoterapia; 30(1); 71-74","Revista Brasileira de Hematologia e Hemoterapia","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-84842008000100020&lang=pt" 
"S1516-84842008000100022-scl","Cold agglutinin disease (CAD)with autoimmune haemolytic anaemia: a case report of a coronary artery disease patient","Barbosa, Leandro A., Rocha, Monica S., Maia, Agatha P. F., Leite, Erica T. S., Carrano, Angela P., Silva, Edimilson A.","Revista Brasileira de Hematologia e Hemoterapia; 30(1); 78-80","Revista Brasileira de Hematologia e Hemoterapia","Inglês","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-84842008000100022&lang=pt" 
"S1516-84842008000100006-scl","Rastreamento de hemoglobinas variantes e talassemias com associação de métodos de diagnóstico","Melo, Luciane M. S., Siqueira, Fátima A. M., Conte, Agnes C. F., Domingos, Claudia R. Bonini","Revista Brasileira de Hematologia e Hemoterapia; 30(1); 12-17","Revista Brasileira de Hematologia e Hemoterapia","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-84842008000100006&lang=pt" 
"S1516-84842008000100009-scl","Profilaxia da trombose venosa profunda em pós-operatório de cirurgias ortopédicas em um hospital de traumato-ortopedia","Barros-Sena, Marcio A., Genestra, Marcelo","Revista Brasileira de Hematologia e Hemoterapia; 30(1); 29-35","Revista Brasileira de Hematologia e Hemoterapia","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-84842008000100009&lang=pt" 
"S1516-84842008000100012-scl","A telomerase em células-tronco hematopoéticas","Perini, Silvana, Silla, Lúcia M. R., Andrade, Fabiana M.","Revista Brasileira de Hematologia e Hemoterapia; 30(1); 47-53","Revista Brasileira de Hematologia e Hemoterapia","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-84842008000100012&lang=pt" 
"S0213-91112008000100016-spa","La evolución de las desigualdades en salud en Cataluña","de la Puente Martorell, M. Luisa","Gaceta Sanitaria; 22(1); 79-79","Gaceta Sanitaria","Espanhol","2008","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0213-91112008000100016&lang=pt" 
"S0213-91112008000100019-esp","","Roma i Millán, Josep","Gaceta Sanitaria; 22(1); 83-84","Gaceta Sanitaria","Espanhol","2008","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0213-91112008000100019&lang=pt" 
"S0213-91112008000100003-spa","Gender influence in the quantity of drugs used in primary care","Sanfélix, José, Palop, Vicente, Pereiró, Inmaculada, Rubio, Elena, Gosalbes, Victoria, Martínez-Mir, Inocencia","Gaceta Sanitaria; 22(1); 11-19","Gaceta Sanitaria","Inglês","2008","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0213-91112008000100003&lang=pt" 
"S0035-001X2008000100001-mex","Experimental study of a Q-switched ytterbium-doped double-clad fiber laser","Anzueto-Sánchez, G, Martínez-Rios, A, Torres-Gómez, I, Selvas-Aguilar, R, Estudillo-Ayala, J.M","Revista mexicana de física; 54(1); 1-4","Revista mexicana de física","Inglês","2008","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0035-001X2008000100001&lang=pt" 
