"S0004-282X2012000400010-scl","Comorbidities associated with epilepsy and headaches","Ferreira, Thalles P., Coan, Ana Carolina, Guerreiro, Carlos A. M.","Arquivos de Neuro-Psiquiatria; 70(4); 274-277","Arquivos de Neuro-Psiquiatria","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2012000400010&lang=pt" 
"S0004-282X2012000400019-scl","Sudden death in a patient with a third ventricle colloid cyst","Silva, Danilo, Matis, Georgios, Chrysou, Olga, Carvalho Junior, Eduardo V. de, Costa, Leonardo, Kitamura, Matheus, Birbilis, Theodossios, Azevedo Filho, Hildo","Arquivos de Neuro-Psiquiatria; 70(4); 311-311","Arquivos de Neuro-Psiquiatria","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2012000400019&lang=pt" 
"S0004-282X2012000400011-scl","Frontal assessment battery in a Brazilian sample of healthy controls: normative data","Beato, Rogério, Amaral-Carvalho, Viviane, Guimarães, Henrique Cerqueira, Tumas, Vitor, Souza, Carolina Pinto, Oliveira, Guiomar Nascimento de, Caramelli, Paulo","Arquivos de Neuro-Psiquiatria; 70(4); 278-280","Arquivos de Neuro-Psiquiatria","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2012000400011&lang=pt" 
"S0103-73072012000100003-scl","Escuelas y barrios cercados: entre la contención social y la contención educativa","Giovine, Renata","Pro-Posições; 23(1); 27-42","Pro-Posições","Espanhol","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-73072012000100003&lang=pt" 
"S0103-73072012000100004-scl","Imigrantes da Bolívia na escola em São Paulo: fronteiras do direito à educação","Magalhães, Giovanna Modé, Schilling, Flávia","Pro-Posições; 23(1); 43-64","Pro-Posições","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-73072012000100004&lang=pt" 
"S0103-73072012000100008-scl","Parcerias entre o setor público e o privado em escolas estaduais paulistas e o trabalho do professor: alguns dados para reflexão","Marin, Alda Junqueira, Penna, Marieta Gouvêa de Oliveira","Pro-Posições; 23(1); 113-128","Pro-Posições","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-73072012000100008&lang=pt" 
"S0103-73072012000100009-scl","Quantidade e qualidade na pesquisa em educação, na perspectiva da dialética marxista","Ferraro, Alceu Ravanello","Pro-Posições; 23(1); 129-146","Pro-Posições","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-73072012000100009&lang=pt" 
"S0103-73072012000100010-scl","Teses e dissertações sobre gênero e desempenho escolar no Brasil (1993 - 2007): um estado da arte","Carvalho, Marília Pinto de","Pro-Posições; 23(1); 147-162","Pro-Posições","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-73072012000100010&lang=pt" 
"S0103-73072012000100011-scl","Tendências e tensões de sociabilidade de estudantes dos Palop em duas universidades brasileiras","Silva, Kelly, Morais, Sara Santos","Pro-Posições; 23(1); 163-182","Pro-Posições","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-73072012000100011&lang=pt" 
"S0103-73072012000100012-scl","O limiar da experiência estética: contribuições para pensar um percurso de subjetivação","Pereira, Marcos Villela","Pro-Posições; 23(1); 183-198","Pro-Posições","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-73072012000100012&lang=pt" 
"S1415-65552012000200001-scl","","Kimura, Herbert","Revista de Administração Contemporânea; 16(2); -","Revista de Administração Contemporânea","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-65552012000200001&lang=pt" 
