"S0103-18132011000100002-scl","Fundamentos éticos da esfera discursiva da imprensa no Brasil: um jogo de epígrafes e memórias","Magalhães, Anderson Salvaterra","Trabalhos em Linguística Aplicada; 50(1); 27-43","Trabalhos em Linguística Aplicada","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-18132011000100002&lang=pt" 
"S0103-18132011000100003-scl","Reconhecer-se como brasileiro ao conhecer a heterogeneidade linguístico-cultural hispano-americana","Lima, Lucielena Mendonça de","Trabalhos em Linguística Aplicada; 50(1); 45-53","Trabalhos em Linguística Aplicada","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-18132011000100003&lang=pt" 
"S0103-18132011000100004-scl","Teorizando a prática ou praticando a teoria? Os deslocamentos identitários de duas professoras de inglês em um grupo de pesquisa-ação","Reis, Valdeni da Silva, Silva, Lucienne de Castro, Torres, Ana Márcia Melo Soares","Trabalhos em Linguística Aplicada; 50(1); 55-74","Trabalhos em Linguística Aplicada","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-18132011000100004&lang=pt" 
"S0103-18132011000100005-scl","O livro didático importado de inglês e o ensino da escrita","Ferreira, Marília Mendes","Trabalhos em Linguística Aplicada; 50(1); 75-95","Trabalhos em Linguística Aplicada","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-18132011000100005&lang=pt" 
"S0103-18132011000100006-scl","Discurso sobre literaturas de língua inglesa: uma análise baseada em ferramentas da linguística de Corpus","Menezes, Danielle de Almdeira","Trabalhos em Linguística Aplicada; 50(1); 97-118","Trabalhos em Linguística Aplicada","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-18132011000100006&lang=pt" 
"S0103-18132011000100010-scl","O interlocutor nas propostas de produção textual no livro didático","Menegassi, Renilson José","Trabalhos em Linguística Aplicada; 50(1); 169-187","Trabalhos em Linguística Aplicada","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-18132011000100010&lang=pt" 
"S0103-18132011000100011-scl","Mobilização de práticas letradas na produção de palestras: uma análise de redações de vestibular","Silva, Elizabeth Maria da, Araújo, Denise Lino de","Trabalhos em Linguística Aplicada; 50(1); 189-204","Trabalhos em Linguística Aplicada","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-18132011000100011&lang=pt" 
"S0103-18132011000100012-scl","A tradução no ensino de línguas: vocabulário, gramática, pragmática ou consciência cultural?","Bohunovsky, Ruth","Trabalhos em Linguística Aplicada; 50(1); 205-217","Trabalhos em Linguística Aplicada","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-18132011000100012&lang=pt" 
"S0102-695X2011000300030-scl","Triterpenes from the flowers of Gochnatia polymorpha subsp. floccosa","Silva, Luana B., Strapasson, Regiane L. B., Riva, Dilamara, Salvador, Marcos J., Stefanello, Maria Élida A.","Revista Brasileira de Farmacognosia; 21(3); 556-559","Revista Brasileira de Farmacognosia","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-695X2011000300030&lang=pt" 
"S0102-695X2011000300032-scl","Extraction with supercritical fluid and comparison of chemical composition from adults and young leaves of Zanthoxylum tingoassuiba","Santana, Lourenço L.B., Silva, Cinara V., Almeida, Lafaiete C., Costa, Tadeu A. C., Velozo, Eudes S.","Revista Brasileira de Farmacognosia; 21(3); 564-567","Revista Brasileira de Farmacognosia","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-695X2011000300032&lang=pt" 
"S0037-86822011000300006-scl","Dynamic behavior of sylvatic yellow fever in Brazil (1954-2008)","Câmara, Fernando Portela, Gomes, Ana Luisa Bessa Bacellar, Carvalho, Luiz Max Fagundes de, Castello, Luiz Gustavo Veloso","Revista da Sociedade Brasileira de Medicina Tropical; 44(3); 297-299","Revista da Sociedade Brasileira de Medicina Tropical","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0037-86822011000300006&lang=pt" 
