"S0103-50532005000600029-scl","Solid state oxidation of phenols to quinones with sodium perborate on wet montmorillonite K10","Hashemi, Mohammed M., Eftekhari-Sis, Bagher, Khalili, Behzad, Karimi-Jaberi, Zahed","Journal of the Brazilian Chemical Society; 16(5); 1082-1084","Journal of the Brazilian Chemical Society","Inglês","2005","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-50532005000600029&lang=pt" 
"S0103-50532005000600004-scl","A solid-phase microextraction method for the chromatographic determination of organophosphorus pesticides in fish, water, potatoes, guava and coffee","Capobiango, Helena L. V., Cardeal, Zenilda L.","Journal of the Brazilian Chemical Society; 16(5); 907-914","Journal of the Brazilian Chemical Society","Inglês","2005","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-50532005000600004&lang=pt" 
"S0103-50532005000600005-scl","Effects of kraft pulping on the interfacial properties of Eucalyptus pulp fibres","Fardim, Pedro, Durán, Nelson","Journal of the Brazilian Chemical Society; 16(5); 915-921","Journal of the Brazilian Chemical Society","Inglês","2005","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-50532005000600005&lang=pt" 
"S0103-50532005000600007-scl","Flow system for pre-concentration and spectrophotometric determination of reactive mercury","Yonehara, Fernando S., Pasquini, Celio, Rohwedder, Jarbas J. R.","Journal of the Brazilian Chemical Society; 16(5); 928-935","Journal of the Brazilian Chemical Society","Inglês","2005","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-50532005000600007&lang=pt" 
"S0103-50532005000600008-scl","Sorption of atrazine, propazine, deethylatrazine, deisopropylatrazine and hydroxyatrazine onto organovermiculite","Abate, Gilberto, Masini, Jorge Cesar","Journal of the Brazilian Chemical Society; 16(5); 936-943","Journal of the Brazilian Chemical Society","Inglês","2005","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-50532005000600008&lang=pt" 
"S0103-50532005000600012-scl","Synthesis and spectroscopic characterization of tin(II) and tin(IV) complexes containing 2,3,5,6-tetrakis(alpha-pyridyl)pyrazine as a bridging ligand","Bitzer, Rodrigo S., Teles, Wagner M., Abras, Anuar, Ardisson, José Domingos, Filgueiras, Carlos A. L.","Journal of the Brazilian Chemical Society; 16(5); 963-968","Journal of the Brazilian Chemical Society","Inglês","2005","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-50532005000600012&lang=pt" 
"S0103-50532005000600013-scl","Adsorption kinetics and dilatational rheological studies for the soluble and anchored forms of alkaline phosphatase at the air/water interface","Caseli, Luciano, Masui, Douglas C., Furriel, Rosa Prazeres M., Leone, Francisco Assis, Zaniquelli, Maria Elisabete D.","Journal of the Brazilian Chemical Society; 16(5); 969-977","Journal of the Brazilian Chemical Society","Inglês","2005","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-50532005000600013&lang=pt" 
"S0103-50532005000600015-scl","Sorption and desorption of Cd(II) at the clay particle-water interface and its relevance to the distribution of metal ions in natural systems","Westrup, José L., Fritzen, Maurícia B., Souza, Aloísio J., Bedendo, Gizelle C., Nome, Faruk, Fiedler, Haidi D.","Journal of the Brazilian Chemical Society; 16(5); 982-987","Journal of the Brazilian Chemical Society","Inglês","2005","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-50532005000600015&lang=pt" 
"S0103-50532005000600018-scl","Optimized and validated spectrophotometric methods for the determination of lisinopril in pharmaceutical formulations using ninhydrin and ascorbic acid","Rahman, Nafisur, Singh, Manisha, Hoda, Md. Nasrul","Journal of the Brazilian Chemical Society; 16(5); 1001-1009","Journal of the Brazilian Chemical Society","Inglês","2005","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-50532005000600018&lang=pt" 
"S0103-50532005000600019-scl","A linear solvation energy relationship to predict vapor pressure from molecular structure","Quina, Frank H., Carroll, Felix A., Cheuy, Daniel M.","Journal of the Brazilian Chemical Society; 16(5); 1010-1016","Journal of the Brazilian Chemical Society","Inglês","2005","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-50532005000600019&lang=pt" 
"S0103-50532005000600020-scl","Secondary organic compounds in atmospheric aerosols: speciation and formation mechanisms","Alves, Célia A., Pio, Casimiro A.","Journal of the Brazilian Chemical Society; 16(5); 1017-1029","Journal of the Brazilian Chemical Society","Inglês","2005","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-50532005000600020&lang=pt" 
"S0103-50532005000600022-scl","Development of a Supercritical Fluid Extraction method for simultaneous determination of organophosphorus, organohalogen, organonitrogen and pyretroids pesticides in fruit and vegetables and its comparison with a conventional method by GC-ECD and GC-MS","Rissato, Sandra Regina, Galhiane, Mário Sérgio, Souza, Antonio G. de, Apon, Bernhard M.","Journal of the Brazilian Chemical Society; 16(5); 1038-1047","Journal of the Brazilian Chemical Society","Inglês","2005","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-50532005000600022&lang=pt" 
"S0103-50532005000600024-scl","Multi-wavelength spectrophotometric determination of propofol acidity constant in different acetonitrile-water mixtures","Pissinis, Diego, Sereno, Leónides E., Marioli, Juan M.","Journal of the Brazilian Chemical Society; 16(5); 1054-1060","Journal of the Brazilian Chemical Society","Inglês","2005","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-50532005000600024&lang=pt" 
"S0103-50532005000600025-scl","Synthesis of 4-amino-6-methyl-1,2,4-triazin-5-one-3-thione and its application in construction of a highly copper(II) ion-selective electrochemical sensor","Zamani, Hassan Ali, Rajabzadeh, Ghadier, Firouz, Ali, Ariaii-Rad, Ali Asghar","Journal of the Brazilian Chemical Society; 16(5); 1061-1067","Journal of the Brazilian Chemical Society","Inglês","2005","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-50532005000600025&lang=pt" 
