"S0104-026X2014000200021-scl","Masculinidades e ressignificações","Corseuil, Anelise R.","Revista Estudos Feministas; 22(2); 689-691","Revista Estudos Feministas","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-026X2014000200021&lang=pt" 
"S0104-026X2014000200020-scl","Pedagogías maternales: educación y control en la Argentina del siglo XX","Hernández Cordero, Ana Lucía","Revista Estudos Feministas; 22(2); 687-689","Revista Estudos Feministas","Espanhol","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-026X2014000200020&lang=pt" 
"S0104-026X2014000200022-scl","Reflexões acerca da descriminalização do aborto","Melo, Brunilla Thaís Queiroz de","Revista Estudos Feministas; 22(2); 691-693","Revista Estudos Feministas","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-026X2014000200022&lang=pt" 
"S0104-026X2014000200025-scl","A invenção das categorias travesti e transexual no discurso científico","Oliveira, Melissa Barbieri de, Grossi, Miriam Pillar","Revista Estudos Feministas; 22(2); 699-701","Revista Estudos Feministas","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-026X2014000200025&lang=pt" 
"S0104-026X2014000200024-scl","Visibilizando quem cuida, suas experiências e percursos de vida","Alves, Joana Margarida Pimentel Mateus","Revista Estudos Feministas; 22(2); 696-699","Revista Estudos Feministas","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-026X2014000200024&lang=pt" 
"S0104-026X2014000200009-scl","Rose Marie Muraro: uma mulher impossível","Zucco, Luciana, Lisboa, Teresa Kleba","Revista Estudos Feministas; 22(2); 563-564","Revista Estudos Feministas","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-026X2014000200009&lang=pt" 
"S0104-026X2014000200003-scl","Carole Pateman y la crítica feminista a la teoría clásica de la democracia (Locke y Rousseau)","del Águila, Alicia","Revista Estudos Feministas; 22(2); 449-464","Revista Estudos Feministas","Espanhol","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-026X2014000200003&lang=pt" 
"S0104-026X2014000200002-scl","Uma mulher de vanguarda: trajetória social de Eglê Malheiros","Rosa, Maristela da, Dallabrida, Norberto","Revista Estudos Feministas; 22(2); 429-447","Revista Estudos Feministas","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-026X2014000200002&lang=pt" 
"S0104-026X2014000200019-scl","Um recente movimento político-religioso: feminismo islâmico","Lima, Cila","Revista Estudos Feministas; 22(2); 675-686","Revista Estudos Feministas","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-026X2014000200019&lang=pt" 
"S0104-026X2014000200017-scl","Crónicas performativas como prácticas de resistencia","Lucero, María Elena","Revista Estudos Feministas; 22(2); 657-665","Revista Estudos Feministas","Espanhol","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-026X2014000200017&lang=pt" 
"S0104-026X2014000200016-scl","Aportes del feminismo a la lucha socioambiental","Weinstock, Ana Mariel","Revista Estudos Feministas; 22(2); 647-655","Revista Estudos Feministas","Espanhol","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-026X2014000200016&lang=pt" 
"S0104-026X2014000200018-scl","Fortunas y adversidades del revisionismo: cine queer y Contracorriente","Lugo Bertrán, Dorian","Revista Estudos Feministas; 22(2); 667-674","Revista Estudos Feministas","Espanhol","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-026X2014000200018&lang=pt" 
"S0104-026X2014000200011-scl","","Bidaseca, Karina","Revista Estudos Feministas; 22(2); 585-591","Revista Estudos Feministas","Espanhol","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-026X2014000200011&lang=pt" 
"S2175-33692014000200008-scl","A centralidade e o multiplicador do emprego: um estudo sobre a Região Metropolitana de Curitiba","Strassburg, Udo, Lima, Jandir Ferrera de, Oliveira, Nilton Marques de","urbe. Revista Brasileira de Gestão Urbana; 6(2); 218-235","urbe. Revista Brasileira de Gestão Urbana","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2175-33692014000200008&lang=pt" 
"S1983-80422014000200006-scl","Diretivas antecipadas de vontade: benefícios, obstáculos e limites","Nunes, Maria Inês, Anjos, Márcio Fabri dos","Revista Bioética; 22(2); 241-251","Revista Bioética","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1983-80422014000200006&lang=pt" 
"S1983-80422014000200011-scl","A verdade do estupro nos serviços de aborto legal no Brasil","Diniz, Debora, Dios, Vanessa Canabarro, Mastrella, Miryam, Madeiro, Alberto Pereira","Revista Bioética; 22(2); 291-298","Revista Bioética","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1983-80422014000200011&lang=pt" 
