"S0104-12902011000400007-scl","Formação dos profissionais de saúde para o SUS: significado e cuidado","Batista, Karina Barros Calife, Gonçalves, Otília Simões Janeiro","Saúde e Sociedade; 20(4); 884-899","Saúde e Sociedade","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-12902011000400007&lang=pt" 
"S0104-12902011000400020-scl","Paulo Elias","Capucci, Paulo Fernando","Saúde e Sociedade; 20(4); 1046-1046","Saúde e Sociedade","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-12902011000400020&lang=pt" 
"S0254-16372011000200008-ven","BRUJAS, ¡Fascinante!","Vanegas Reynales, Yolanda","Argos; 28(55); 169-171","Argos","Espanhol","2011","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S0254-16372011000200008&lang=pt" 
"S0254-16372011000200001-ven","","Castillo, Hernán","Argos; 28(55); 143-144","Argos","Espanhol","2011","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S0254-16372011000200001&lang=pt" 
"S0254-16372011000200003-ven","Incidencia de la aplicación de la Ley orgánica de procesos electorales en los resultados de las elecciones de diputados en septiembre de 2010","Álvarez Dominguez, Gonzalo, Álvarez Vanegas, Luis Daniel","Argos; 28(55); 48-69","Argos","Espanhol","2011","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S0254-16372011000200003&lang=pt" 
"S0254-16372011000200002-ven","El caso de Chile durante el gobierno de Michelle Bachelet: Participación ciudadana para el fortalecimiento de la democracia","Checa, Laureano, Lagos Lira, Claudia, Cabalin, Cristian","Argos; 28(55); 13-47","Argos","Espanhol","2011","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S0254-16372011000200002&lang=pt" 
"S0254-16372011000200005-ven","La Docencia Universitaria hoy: Metas, técnicas y desafíos","Martínez Miguélez, Miguel","Argos; 28(55); 108-124","Argos","Espanhol","2011","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S0254-16372011000200005&lang=pt" 
"S0254-16372011000200004-ven","El grado de participación y decisión de los afiliados en los partidos políticos: un estudio comparativo entre el Partido Popular y el Partido Socialista Obrero Español","Sánchez Medero, Gema","Argos; 28(55); 70-107","Argos","Espanhol","2011","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S0254-16372011000200004&lang=pt" 
"S0254-16372011000200007-ven","El clítico se en español y las clases de evento","Medina, Raimundo, Matera, Masiel","Argos; 28(55); 137-168","Argos","Espanhol","2011","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S0254-16372011000200007&lang=pt" 
"S0254-16372011000200006-ven","México-Estados Unidos: ¿Hacia una nueva diplomacia?","Castillo Apitz, Marisela","Argos; 28(55); 125-136","Argos","Espanhol","2011","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S0254-16372011000200006&lang=pt" 
"S1413-81232011001300026-scl","Behavior and major barriers faced by non-injectable drug users with HBV/HCV seeking treatment for hepatitis and drug addiction in Rio de Janeiro, Brazil","Malta, Monica, Cavalcanti, Sabine, Gliksman, Louis, Adlaf, Edward, Hacker, Mariana de Andrea Vilas-Boas, Bertoni, Neilane, Massard, Elize, Bastos, Francisco Inácio","Ciência &amp; Saúde Coletiva; 16(12); 4777-4786","Ciência &amp; Saúde Coletiva","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-81232011001300026&lang=pt" 
"S1413-81232011001300002-scl","Um balanço da reforma psiquiátrica brasileira: instituições, atores e políticas","Pitta, Ana Maria Fernandes","Ciência &amp; Saúde Coletiva; 16(12); 4579-4589","Ciência &amp; Saúde Coletiva","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-81232011001300002&lang=pt" 
"S1413-81232011001300009-scl","Reforma psiquiátrica, federalismo e descentralização da saúde pública no Brasil","Costa, Nilson do Rosário, Siqueira, Sandra Venâncio, Uhr, Deborah, Silva, Paulo Fagundes da, Molinaro, Alex Alexandre","Ciência &amp; Saúde Coletiva; 16(12); 4603-4614","Ciência &amp; Saúde Coletiva","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-81232011001300009&lang=pt" 
"S1413-81232011001300011-scl","Políticas e inovação em atenção à saúde mental: limites ao descolamento do desempenho do SUS","Ribeiro, José Mendes, Inglez-Dias, Aline","Ciência &amp; Saúde Coletiva; 16(12); 4623-4634","Ciência &amp; Saúde Coletiva","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-81232011001300011&lang=pt" 
"S1413-81232011001300012-scl","Adaptação da &quot;Critical Time Intervention&quot; para o contexto brasileiro e sua implementação junto a usuários dos centros de atenção psicossocial do município do Rio de Janeiro","Cavalcanti, Maria Tavares, Carvalho, Maria Cecília de Araújo, Valência, Elie, Dahl, Catarina Magalhães, Souza, Flávia Mitkiewicz de","Ciência &amp; Saúde Coletiva; 16(12); 4635-4642","Ciência &amp; Saúde Coletiva","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-81232011001300012&lang=pt" 
