"S2222-34362009000300002-sza","The economic consequences of a fuel levy reform in South Africa","Mabugu, Ramos, Chitiga, Margaret, Amusa, Hammed","South African Journal of Economic and Management Sciences; 12(3); 280-296","South African Journal of Economic and Management Sciences","Inglês","2009","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S2222-34362009000300002&lang=pt" 
"S2222-34362009000300008-sza","Revised 004-8 considering the Harmonic Sequence &quot;Paradox&quot;","Vivian, Robert William","South African Journal of Economic and Management Sciences; 12(3); 385-391","South African Journal of Economic and Management Sciences","Inglês","2009","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S2222-34362009000300008&lang=pt" 
"S1445-73772009000200005-sza","Phenomenologically researching the lecturer-student teacher relationship: Some challenges encountered","Giles, David","Indo-Pacific Journal of Phenomenology; 9(2); 1-11","Indo-Pacific Journal of Phenomenology","Inglês","2009","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S1445-73772009000200005&lang=pt" 
"S1445-73772009000200003-sza","Cloaked in the light: Language, consciousness, and the problem of description","Pulte, Christopher","Indo-Pacific Journal of Phenomenology; 9(2); 1-11","Indo-Pacific Journal of Phenomenology","Inglês","2009","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S1445-73772009000200003&lang=pt" 
"S1445-73772009000200006-sza","Differentials of light of consciousness: An interpretative phenomenological analysis of the experience of Vihangam Yogis","Prakash, Ravi, Sarkhel, Sujit, Rastogi, Priyanka, Haq, Mohammed Zia Ul, Choudharay, Pranav Prakash, Verma, Vijay","Indo-Pacific Journal of Phenomenology; 9(2); 1-14","Indo-Pacific Journal of Phenomenology","Inglês","2009","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S1445-73772009000200006&lang=pt" 
"S1445-73772009000200004-sza","A hermeneutic phenomenological approach to understanding stress-coping as an existential phenomenon lived by healthy adolescents","Guimond-Plourde, Renée","Indo-Pacific Journal of Phenomenology; 9(2); 1-13","Indo-Pacific Journal of Phenomenology","Inglês","2009","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S1445-73772009000200004&lang=pt" 
"S1445-73772009000200002-sza","Empirical phenomenology: A qualitative research approach (The Cologne Seminars)","Aspers, Patrik","Indo-Pacific Journal of Phenomenology; 9(2); 1-12","Indo-Pacific Journal of Phenomenology","Inglês","2009","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S1445-73772009000200002&lang=pt" 
"S1445-73772009000200010-sza","On being a juror: A phenomenological self-study","Fortune, Luann D.","Indo-Pacific Journal of Phenomenology; 9(2); 1-9","Indo-Pacific Journal of Phenomenology","Inglês","2009","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S1445-73772009000200010&lang=pt" 
"S1445-73772009000200007-sza","Ten tips for a great marriage according to Friedrich Nietzsche","Nettleton, Skye","Indo-Pacific Journal of Phenomenology; 9(2); 1-9","Indo-Pacific Journal of Phenomenology","Inglês","2009","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S1445-73772009000200007&lang=pt" 
"S1445-73772009000200001-sza","Editorial","Stones, Christopher R.","Indo-Pacific Journal of Phenomenology; 9(2); 1-4","Indo-Pacific Journal of Phenomenology","Inglês","2009","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S1445-73772009000200001&lang=pt" 
"S1445-73772009000200009-sza","Thinking, relating and choosing: Resolving the issue of faith, ethics and the existential responsibility of the individual","Soggie, Neil Alan","Indo-Pacific Journal of Phenomenology; 9(2); 1-5","Indo-Pacific Journal of Phenomenology","Inglês","2009","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S1445-73772009000200009&lang=pt" 
"S1445-73772009000200008-sza","Experiencing the marital bed","Thompson, Michele","Indo-Pacific Journal of Phenomenology; 9(2); 1-7","Indo-Pacific Journal of Phenomenology","Inglês","2009","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S1445-73772009000200008&lang=pt" 
"S1017-04992009000200004-sza","Towards a postcolonial Pentecostal historiography: Ramblings from the south","Chetty, Irvin G","Studia Historiae Ecclesiasticae; 35(2); 1-16","Studia Historiae Ecclesiasticae","Inglês","2009","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S1017-04992009000200004&lang=pt" 
"S1017-04992009000200005-sza","War zeal, nationalism and unity in Christ: Evangelical missions in Germany during World War I","Spohn, Elmar, Sauer, Christof","Studia Historiae Ecclesiasticae; 35(2); 1-8","Studia Historiae Ecclesiasticae","Inglês","2009","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S1017-04992009000200005&lang=pt" 
