"S0365-66912005000800001-esp","Terapia antiangiogénica","Arias-Barquet, L","Archivos de la Sociedad Española de Oftalmología; 80(8); 435-436","Archivos de la Sociedad Española de Oftalmología","Espanhol","2005","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0365-66912005000800001&lang=pt" 
"S0101-81082005000200001-scl","Psiquiatria no século 21: integrando conceitos","Shansis, Flávio, Zaslavsky, Jacó","Revista de Psiquiatria do Rio Grande do Sul; 27(2); 121-122","Revista de Psiquiatria do Rio Grande do Sul","Inglês, Português","2005","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-81082005000200001&lang=pt" 
"S0101-81082005000200011-scl","A lamotrigina pode induzir virada maníaca?","Cheniaux, Elie, Dias, Allan, Lessa, José Luiz M., Versiani, Marcio","Revista de Psiquiatria do Rio Grande do Sul; 27(2); 206-209","Revista de Psiquiatria do Rio Grande do Sul","Inglês, Português","2005","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-81082005000200011&lang=pt" 
"S0101-81082005000200014-scl","Transtornos depressivos","Fleck, Marcelo Pio de Almeida","Revista de Psiquiatria do Rio Grande do Sul; 27(2); 220-221","Revista de Psiquiatria do Rio Grande do Sul","Inglês, Português","2005","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-81082005000200014&lang=pt" 
"S0101-81082005000200006-scl","Avaliação de burnout em uma amostra de policiais civis","Silveira, Núbia de Mesquita, Vasconcellos, Silvio José Lemos, Cruz, Leila Poitevin, Kiles, Renata Ferreira, Silva, Thaís Pinheiro, Castilhos, Daniela Gonçalves, Gauer, Gabriel José Chittó","Revista de Psiquiatria do Rio Grande do Sul; 27(2); 159-163","Revista de Psiquiatria do Rio Grande do Sul","Inglês, Português","2005","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-81082005000200006&lang=pt" 
"S0101-81082005000200002-scl","Quero ser John Malkovich e o pacto com o diabo de Se eu fosse você: destinos da identificação projetiva excessiva","Rosa, Antonio Marques da","Revista de Psiquiatria do Rio Grande do Sul; 27(2); 123-130","Revista de Psiquiatria do Rio Grande do Sul","Inglês, Português","2005","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-81082005000200002&lang=pt" 
"S0101-81082005000200005-scl","Adaptação transcultural para o português do instrumento Peritraumatic Dissociative Experiences Questionnaire, Versão Auto-Aplicativa","Fiszman, Adriana, Marques, Carla, Berger, William, Volchan, Eliane, Oliveira, Laura Alice Santos, Coutinho, Evandro Silva Freire, Mendlowicz, Mauro, Figueira, Ivan","Revista de Psiquiatria do Rio Grande do Sul; 27(2); 151-158","Revista de Psiquiatria do Rio Grande do Sul","Inglês, Português","2005","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-81082005000200005&lang=pt" 
"S0101-81082005000200009-scl","Transferência erótica: uma breve revisão","Isolan, Luciano Rassier","Revista de Psiquiatria do Rio Grande do Sul; 27(2); 188-195","Revista de Psiquiatria do Rio Grande do Sul","Inglês, Português","2005","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-81082005000200009&lang=pt" 
"S0101-81082005000200013-scl","Espiritualidade e qualidade de vida","Souza, José Carlos, Soares, Adelzira Sousa","Revista de Psiquiatria do Rio Grande do Sul; 27(2); 218-219","Revista de Psiquiatria do Rio Grande do Sul","Inglês, Português","2005","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-81082005000200013&lang=pt" 
"S0101-81082005000200004-scl","Um estudo comparativo entre características de personalidade de universitários fumantes, ex-fumantes e não-fumantes","Rondina, Regina de Cássia, Gorayeb, Ricardo, Botelho, Clóvis, Silva, Ageo Mário Cândido da","Revista de Psiquiatria do Rio Grande do Sul; 27(2); 140-150","Revista de Psiquiatria do Rio Grande do Sul","Inglês, Português","2005","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-81082005000200004&lang=pt" 
"S0101-81082005000200007-scl","Efeitos da depressão materna no desenvolvimento neurobiológico e psicológico da criança","Motta, Maria da Graça, Lucion, Aldo Bolten, Manfro, Gisele Gus","Revista de Psiquiatria do Rio Grande do Sul; 27(2); 165-176","Revista de Psiquiatria do Rio Grande do Sul","Inglês, Português","2005","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-81082005000200007&lang=pt" 
