"S0103-17592012000600006-scl","Modelo de transformador com tap variável adequado para estudos de estabilidade de tensão","Ferreira, Carlos Aparecido, Prada, Ricardo","Sba: Controle &amp; Automação Sociedade Brasileira de Automatica; 23(6); 726-736","Sba: Controle &amp; Automação Sociedade Brasileira de Automatica","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-17592012000600006&lang=pt" 
"S0103-17592012000600007-scl","Restabelecimento de sistemas de distribuição utilizando fluxo de potência ótimo","Borges, Thiago T., Garcia, Paulo A. N., Carneiro Jr, Sandoval, Pereira, José L. R.","Sba: Controle &amp; Automação Sociedade Brasileira de Automatica; 23(6); 737-748","Sba: Controle &amp; Automação Sociedade Brasileira de Automatica","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-17592012000600007&lang=pt" 
"S0103-17592012000600009-scl","Modelagem de ramos de impedância nula no problema de fluxo de potência ótimo","Rosas, Gracita B., Lourenço, Elizete M., Fernandes, Thelma S.P.","Sba: Controle &amp; Automação Sociedade Brasileira de Automatica; 23(6); 766-781","Sba: Controle &amp; Automação Sociedade Brasileira de Automatica","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-17592012000600009&lang=pt" 
"S0103-17592012000600010-scl","Método da superposição modificado como uma nova proposta para atribuição de responsabilidades sobre as distorções harmônicas","Santos, Ivan Nunes, Oliveira, José Carlos de, Macedo Jr., José Rubens","Sba: Controle &amp; Automação Sociedade Brasileira de Automatica; 23(6); 782-796","Sba: Controle &amp; Automação Sociedade Brasileira de Automatica","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-17592012000600010&lang=pt" 
"S1984-29612012000400003-scl","Cryptosporidium spp. infection in mares and foals of the northwest region of São Paulo State, Brazil","Inácio, Sandra Valéria, Brito, Roberta Lomonte Lemos de, Zucatto, Anaiza Simão, Coelho, Willian Marinho Dourado, Aquino, Monally Conceição Costa de, Aguirre, André de Abreu Rangel, Perri, Silvia Helena Venturoli, Meireles, Marcelo Vasconcelos, Bresciani, Katia Denise Saraiva","Revista Brasileira de Parasitologia Veterinária; 21(4); 355-358","Revista Brasileira de Parasitologia Veterinária","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1984-29612012000400003&lang=pt" 
"S1807-59322012001200005-scl","Differential expression of hypoxia-inducible factor 1α in non-small cell lung cancer and small cell lung cancer","Karetsi, Eleni, Ioannou, Maria G., Kerenidi, Theodora, Minas, Markos, Molyvdas, Paschalis A., Gourgoulianis, Konstantinos I., Paraskeva, Efrosyni","Clinics; 67(12); 1373-1378","Clinics","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1807-59322012001200005&lang=pt" 
"S0074-02762012000900006-scl","Leprosy, a neglected disease that causes a wide variety of clinical conditions in tropical countries","Foss, Norma Tiraboschi, Motta, Ana Carolina Fragoso","Memórias do Instituto Oswaldo Cruz; 107(); 28-33","Memórias do Instituto Oswaldo Cruz","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0074-02762012000900006&lang=pt" 
"S0074-02762012000900025-scl","Mycobacterial laminin-binding histone-like protein mediates collagen-dependent cytoadherence","Dias, André Alves, Raze, Dominique, Lima, Cristiana Soares de, Marques, Maria Angela de Melo, Drobecq, Hervé, Debrie, Anne-Sophie, Ribeiro-Guimarães, Michelle Lopes, Biet, Franck, Pessolani, Maria Cristina Vidal","Memórias do Instituto Oswaldo Cruz; 107(); 174-182","Memórias do Instituto Oswaldo Cruz","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0074-02762012000900025&lang=pt" 
"S0074-02762012000900014-scl","Identification of serological biomarkers of infection, disease progression and treatment efficacy for leprosy","Spencer, John S, Duthie, Malcolm S, Geluk, Annemieke, Balagon, Marivic F, Kim, Hee Jin, Wheat, William H, Chatterjee, Delphi, Jackson, Mary, Li, Wei, Kurihara, Jade N, Maghanoy, Armi, Mallari, Irene, Saunderson, Paul, Brennan, Patrick J, Dockrell, Hazel M","Memórias do Instituto Oswaldo Cruz; 107(); 79-89","Memórias do Instituto Oswaldo Cruz","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0074-02762012000900014&lang=pt" 
"S0074-02762012000900018-scl","Mycobacterium leprae virulence-associated peptides are indicators of exposure to M. leprae in Brazil, Ethiopia and Nepal","Bobosha, Kidist, Tang, Sheila Tuyet, van der Ploeg-van Schip, Jolien J, Bekele, Yonas, Martins, Marcia VSB, Lund, Ole, Franken, Kees LMC, Khadge, Saraswoti, Pontes, Maria Araci de Andrade, Gonçalves, Heitor de Sá, Hussien, Jemal, Thapa, Pratibha, Kunwar, Chhatra B, Hagge, Deanna A, Aseffa, Abraham, Pessolani, Maria Cristina Vidal, Pereira, Geraldo MB, Ottenhoff, Tom HM, Geluk, Annemieke","Memórias do Instituto Oswaldo Cruz; 107(); 112-123","Memórias do Instituto Oswaldo Cruz","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0074-02762012000900018&lang=pt" 
"S1807-59322012001200016-scl","Antioxidant enzyme activity and malondialdehyde levels can be modulated by Piper betle, tocotrienol rich fraction and Chlorella vulgaris in aging C57BL/6 mice","Aliahmat, Nor Syahida, Noor, Mohd Razman Mohd, Yusof, Wan Junizam Wan, Makpol, Suzana, Ngah, Wan Zurinah Wan, Yusof, Yasmin Anum Mohd","Clinics; 67(12); 1447-1454","Clinics","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1807-59322012001200016&lang=pt" 
"S1851-82652012000400006-arg","Notas sobre infancia y teoría: un enfoque latinoamericano","Bustelo Graffigna, Eduardo","Salud colectiva; 8(3); 287-298","Salud colectiva","Espanhol","2012","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1851-82652012000400006&lang=pt" 
