"S1517-45222015000100222-scl","Flexibilização do Trabalho e Mobilidade Geográfica nas Forças Armadas","Monteiro, Rosa, Oliveira, Sónia, Daniel, Fernanda","Sociologias; 17(38); 222-253","Sociologias","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-45222015000100222&lang=pt" 
"S1517-45222015000100156-scl","Teorias da democracia e a práxis política e social brasileira: limites e possibilidades","Monteiro, Lorena Madruga, Moura, Joana Tereza Vaz de, Lacerda, Alan Daniel Freire","Sociologias; 17(38); 156-191","Sociologias","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-45222015000100156&lang=pt" 
"S1517-45222015000100192-scl","A desnecessidade do trabalho entre pescadores artesanais","Ramalho, Cristiano Wellington Norberto","Sociologias; 17(38); 192-220","Sociologias","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-45222015000100192&lang=pt" 
"S1517-45222015000100254-scl","Socialismo e democracia: Bobbio e os marxistas italianos","Cortizo, María del Carmen","Sociologias; 17(38); 254-279","Sociologias","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-45222015000100254&lang=pt" 
"S2175-33692015000100021-scl","Análise da acessibilidade a hospitais: Estudo de caso para as cidades de São Carlos (SP) e Rio Claro (SP)","Garcia, Patrícia Baldini de Medeiros, Raia Jr, Archimedes Azevedo","urbe. Revista Brasileira de Gestão Urbana; 7(1); 21-47","urbe. Revista Brasileira de Gestão Urbana","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2175-33692015000100021&lang=pt" 
"S2175-33692015000100074-scl","Gestão ambiental de parques urbanos: o caso do Parque Ecológico do Município de Belém Gunnar Vingren","Cardoso, Silvia Laura Costa, Vasconcellos Sobrinho, Mário, Vasconcellos, Ana Maria de Albuquerque","urbe. Revista Brasileira de Gestão Urbana; 7(1); 74-90","urbe. Revista Brasileira de Gestão Urbana","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2175-33692015000100074&lang=pt" 
"S2175-33692015000100091-scl","Novas perspectivas na gestão do saneamento: apresentação de um modelo de destinação final de resíduos sólidos urbanos","Marchi, Cristina Maria Dacach Fernandez","urbe. Revista Brasileira de Gestão Urbana; 7(1); 91-105","urbe. Revista Brasileira de Gestão Urbana","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2175-33692015000100091&lang=pt" 
"S2175-33692015000100062-scl","Planejamento ambiental e ocupação do solo urbano em Presidente Prudente (SP)","Honda, Sibila Corral de Arêa Leão, Vieira, Marcela do Carmo, Albano, Mayara Pissutti, Maria, Yeda Ruiz","urbe. Revista Brasileira de Gestão Urbana; 7(1); 62-73","urbe. Revista Brasileira de Gestão Urbana","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2175-33692015000100062&lang=pt" 
"S2175-33692015000100106-scl","Empresários urbanos e produção do espaço residencial: condomínios-clube na Zona Sul de Natal (RN)","Araújo, Felipe Fernandes de","urbe. Revista Brasileira de Gestão Urbana; 7(1); 106-121","urbe. Revista Brasileira de Gestão Urbana","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2175-33692015000100106&lang=pt" 
"S2175-33692015000100122-scl","Participação política e gestão urbana sob o Estatuto da Cidade","Goulart, Jefferson Oliveira, Terci, Eliana Tadeu, Otero, Estevam Vanale","urbe. Revista Brasileira de Gestão Urbana; 7(1); 122-135","urbe. Revista Brasileira de Gestão Urbana","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2175-33692015000100122&lang=pt" 
"S2341-45452015000200003-prt","Hepatitis B Virus Inactive Carriers: Which Follow-up Strategy?","Magalhães, Maria João, Pedroto, Isabel","GE-Portuguese Journal of Gastroenterology; 22(2); 47-51","GE-Portuguese Journal of Gastroenterology","Inglês","2015","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S2341-45452015000200003&lang=pt" 
