"S0038-23532009000100009-sza","Observing the present and considering the past to ponder the future","Brown, Roderick","South African Journal of Science; 105(1-2); 13-14","South African Journal of Science","Inglês","2009","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0038-23532009000100009&lang=pt" 
"S0038-23532009000100010-sza","How innovative is South Africa?","Blankley, William, Moses, Cheryl","South African Journal of Science; 105(1-2); 15-18","South African Journal of Science","Inglês","2009","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0038-23532009000100010&lang=pt" 
"S0038-23532009000100011-sza","Coping with drought: do science and policy agree?","Seymour, Colleen, Desmet, Philip","South African Journal of Science; 105(1-2); 18-19","South African Journal of Science","Inglês","2009","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0038-23532009000100011&lang=pt" 
"S0038-23532009000100012-sza","A.P. Fairall (1943-2008)","Woudt, Patrick","South African Journal of Science; 105(1-2); 20-20","South African Journal of Science","Inglês","2009","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0038-23532009000100012&lang=pt" 
"S0038-23532009000100013-sza","The man behind the CAT scanner","Cherry, Robin","South African Journal of Science; 105(1-2); 21-21","South African Journal of Science","Inglês","2009","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0038-23532009000100013&lang=pt" 
"S0038-23532009000100014-sza","Bad science is dangerous for your health","Gevers, Wieland","South African Journal of Science; 105(1-2); 22-22","South African Journal of Science","Inglês","2009","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0038-23532009000100014&lang=pt" 
"S0038-23532009000100015-sza","Interviewing a master human biologist","Morris, Alan G.","South African Journal of Science; 105(1-2); 22-23","South African Journal of Science","Inglês","2009","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0038-23532009000100015&lang=pt" 
"S0038-23532009000100016-sza","When to stay, when to go: trade-offs for southern African arid-zone birds in times of drought","Dean, W.R.J., Barnard, P., Anderson, M.D.","South African Journal of Science; 105(1-2); 24-28","South African Journal of Science","Inglês","2009","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0038-23532009000100016&lang=pt" 
"S0038-23532009000100017-sza","Drought, change and resilience in South Africa&#039;s arid and semi-arid rangelands","Vetter, Susanne","South African Journal of Science; 105(1-2); 29-33","South African Journal of Science","Inglês","2009","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0038-23532009000100017&lang=pt" 
"S0038-23532009000100018-sza","Human response and adaptation to drought in the arid zone: lessons from southern Africa","O&#039;Farrell, P.J., Anderson, P.M.L., Milton, S.J., Dean, W.R.J.","South African Journal of Science; 105(1-2); 34-39","South African Journal of Science","Inglês","2009","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0038-23532009000100018&lang=pt" 
"S0038-23532009000100019-sza","Water resources in the Klein Karoo: the challenge of sustainable development in a water-scarce area","Le Maitre, David, Colvin, Christine, Maherry, Ashton","South African Journal of Science; 105(1-2); 39-48","South African Journal of Science","Inglês","2009","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0038-23532009000100019&lang=pt" 
