"S0103-84782007000300018-scl","Toxidez pelos ácidos propiônico e butírico em plântulas de arroz","Schmidt, Fabiana, Bortolon, Leandro, Souza, Rogério Oliveira de","Ciência Rural; 37(3); 720-726","Ciência Rural","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782007000300018&lang=pt" 
"S0103-84782007000300021-scl","Exercise intensity, but not electrolyte reposition, alters plasmatic cortisol and glucose levels of horses submitted to 30 and 60km distance endurance rides","Teixeira-Neto, Antônio Raphael, Ferraz, Guilherme de Camargo, D&#039;Angelis, Flora Helena de Freitas, Lacerda-Neto, José Corrêa de, Queiroz-Neto, Antonio de","Ciência Rural; 37(3); 740-743","Ciência Rural","Inglês","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782007000300021&lang=pt" 
"S0103-84782007000300053-scl","Ácidos tartárico e málico no mosto de uva em Bento Gonçalves-RS","Rizzon, Luiz Antenor, Sganzerla, Vânia Maria Ambrosi","Ciência Rural; 37(3); 911-914","Ciência Rural","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782007000300053&lang=pt" 
"S0103-84782007000300052-scl","Leishmaniose visceral em um canino de Cruz Alta, Rio Grande do Sul, Brasil","Krauspenhar, Cristina, Beck, Cristiane, Sperotto, Vitor, Silva, Aline Alves da, Bastos, Rodrigo, Rodrigues, Lauro","Ciência Rural; 37(3); 907-910","Ciência Rural","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782007000300052&lang=pt" 
"S0103-84782007000300051-scl","Técnica de centrífugo-flutuação com sulfato de zinco no diagnóstico de helmintos gastrintestinais de gatos domésticos","Souza-Dantas, Letícia Mattos de, Bastos, Otílio Pereira Machado, Brener, Beatriz, Salomão, Márcia, Guerrero, Jorge, Labarthe, Norma Vollmer","Ciência Rural; 37(3); 904-906","Ciência Rural","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782007000300051&lang=pt" 
"S0103-84782007000300028-scl","Líquido sinovial da articulação femuropatelar após desmotomia patelar medial experimental em eqüinos","Martins, Edivaldo Aparecido Nunes, Silva, Luís Cláudio Lopes Correia da, Baccarin, Raquel Yvonne Arantes","Ciência Rural; 37(3); 784-788","Ciência Rural","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782007000300028&lang=pt" 
"S0103-84782007000300050-scl","Temnocefalídeo em tartaruga de água doce, Hydromedusa tectifera, da região central do Rio Grande do Sul","Soares, João Fábio, Oliveira, Camila Belmonte, Silva, Aleksandro Schafer da, Souza, Carini Pascoal, Monteiro, Silvia Gonzalez","Ciência Rural; 37(3); 901-903","Ciência Rural","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782007000300050&lang=pt" 
"S0103-84782007000300034-scl","Ganho de peso, características da carcaça e componentes não-carcaça de cordeiros da raça Texel terminados em diferentes sistemas alimentares","Carvalho, Sérgio, Brochier, Mariana Augusta, Pivato, Josane, Teixeira, Regina Cánovas, Kieling, Roberto","Ciência Rural; 37(3); 821-827","Ciência Rural","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782007000300034&lang=pt" 
"S0103-84782007000300033-scl","Perfil de ácidos graxos da gordura intramuscular da carne de vacas de descarte de diferentes grupos genéticos terminadas em confinamento, abatidas com distintos pesos","Kuss, Fernando, Restle, João, Kosloski, Gilberto Vilmar, Deschamps, Francisco, Moletta, José Luis, Santos, Angélica Pereira dos, Fiamoncini, Jarlei","Ciência Rural; 37(3); 815-820","Ciência Rural","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782007000300033&lang=pt" 
"S0103-84782007000300042-scl","Ocorrência de Ascia monuste orseis (Lepidoptera: Pieridae) danificando mudas de Crataeva tapia","Pratissoli, Dirceu, Polanczyk, Ricardo Antonio, Dalvi, Leandro Pin, Cocheto, Julieder Goronci, Melo, Debora Ferreira","Ciência Rural; 37(3); 874-875","Ciência Rural","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782007000300042&lang=pt" 
"S0103-84782007000300049-scl","Infecção via oral por Trypanosoma evansi em animais de laboratório","Silva, Aleksandro Schafer da, Ceolin, Lilian Varini, Oliveira, Camila Belmonte, Monteiro, Silvia Gonzalez, Doyle, Rovaina Laureano","Ciência Rural; 37(3); 897-900","Ciência Rural","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782007000300049&lang=pt" 
