"S0213-91112015000400001-esp","¿Es posible una atención primaria &quot;amigable para las/los jóvenes&quot; en España?","Goicolea, Isabel, Aguiló, Elena, Madrid, Juan","Gaceta Sanitaria; 29(4); 241-243","Gaceta Sanitaria","Espanhol","2015","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0213-91112015000400001&lang=pt" 
"S0213-91112015000400004-esp","Exceso de mortalidad relacionado con la gripe en España en el invierno de 2012","León-Gómez, Inmaculada, Delgado-Sanz, Concepción, Jiménez-Jorge, Silvia, Flores, Víctor, Simón, Fernando, Gómez-Barroso, Diana, Larrauri, Amparo, Mateo Ontañón, Salvador de","Gaceta Sanitaria; 29(4); 258-265","Gaceta Sanitaria","Espanhol","2015","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0213-91112015000400004&lang=pt" 
"S0213-91112015000400009-esp","Implicaciones del consumo de sustancias psicoactivas sobre la salud de hombres privados de libertad","Caravaca-Sánchez, Francisco, Sánchez-Alcaraz Martínez, Cristóbal, Osuna, Eduardo, Falcón Romero, María, Luna, Aurelio","Gaceta Sanitaria; 29(4); 292-295","Gaceta Sanitaria","Espanhol","2015","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0213-91112015000400009&lang=pt" 
"S0213-91112015000400007-esp","Hospital costs associated with nosocomial infections in a pediatric intensive care unit","Morillo-García, Áurea, Aldana-Espinal, Josefa M., Olry de Labry-Lima, Antonio, Valencia-Martín, Raquel, López-Márquez, Reyes, Loscertales-Abril, Mercedes, Conde-Herrera, Manuel","Gaceta Sanitaria; 29(4); 282-287","Gaceta Sanitaria","Inglês","2015","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0213-91112015000400007&lang=pt" 
"S0213-91112015000400006-esp","Eficiencia técnica de los hospitales públicos y de las empresas públicas hospitalarias de Andalucía","Herrero Tabanera, Luis, Martín Martín, José Jesús, López del Amo González, M.ª del Puerto","Gaceta Sanitaria; 29(4); 274-281","Gaceta Sanitaria","Espanhol","2015","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0213-91112015000400006&lang=pt" 
"S0213-91112015000400003-esp","Explicaciones de las prácticas sexuales de riesgo en hombres que tienen sexo con hombres","Jacques Aviñó, Constanza, García de Olalla, Patricia, Díez, Elia, Martín, Silvia, Caylà, Joan A.","Gaceta Sanitaria; 29(4); 252-257","Gaceta Sanitaria","Espanhol","2015","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0213-91112015000400003&lang=pt" 
"S0213-91112015000400002-esp","Percepción y experiencias en el acceso y el uso de los servicios sanitarios en población inmigrante","Bas-Sarmiento, Pilar, Fernández-Gutiérrez, Martina, Albar-Marín, M.ª Jesús, García-Ramírez, Manuel","Gaceta Sanitaria; 29(4); 244-251","Gaceta Sanitaria","Espanhol","2015","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0213-91112015000400002&lang=pt" 
"S0213-91112015000400013-esp","Population-based multicase-control study in common tumors in Spain (MCC-Spain): rationale and study design","Castaño-Vinyals, Gemma, Aragonés, Nuria, Pérez-Gómez, Beatriz, Martín, Vicente, Llorca, Javier, Moreno, Victor, Altzibar, Jone M., Ardanaz, Eva, Sanjosé, Sílvia de, Jiménez-Moleón, José Juan, Tardón, Adonina, Alguacil, Juan, Peiró, Rosana, Marcos-Gragera, Rafael, Navarro, Carmen, Pollán, Marina, Kogevinas, Manolis","Gaceta Sanitaria; 29(4); 308-315","Gaceta Sanitaria","Inglês","2015","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0213-91112015000400013&lang=pt" 
"S0213-91112015000400008-esp","Prevalence of Chagas disease in the Bolivian population of Majorca (Spain)","Favila Escobio, Pedro, Ribas, Joana, Morillo, Marta G., Rodríguez-Ramírez, Ginna, Vicens-Ferrer, Jeronima, Esteva, Magdalena","Gaceta Sanitaria; 29(4); 288-291","Gaceta Sanitaria","Inglês","2015","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0213-91112015000400008&lang=pt" 
"S0213-91112015000400010-esp","Conocimiento y percepción de la nocividad del cigarrillo electrónico en población adulta de Barcelona","Martínez-Sánchez, José M., Fu, Marcela, Ballbè, Montse, Martín-Sánchez, Juan Carlos, Saltó, Esteve, Fernández, Esteve","Gaceta Sanitaria; 29(4); 296-299","Gaceta Sanitaria","Espanhol","2015","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0213-91112015000400010&lang=pt" 
"S0213-91112015000400018-esp","Análisis de la intervención de precios de los medicamentos en España y Europa: panorama de la regulación y los estudios empíricos","Oliva, Juan","Gaceta Sanitaria; 29(4); 321-321","Gaceta Sanitaria","Espanhol","2015","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0213-91112015000400018&lang=pt" 
"S0213-91112015000400015-esp","Enfermedad por virus Ébola y seguridad de las/los estudiantes de enfermería: experiencia de cooperación institucional en una práctica formativa de simulación","Flores Vizcaya-Moreno, M., Núñez del Castillo, M. Mercedes, Pérez-Cañaveras, Rosa M., Hernández Ortuño, Antonio, Jurado Moyano, José Luis","Gaceta Sanitaria; 29(4); 317-318","Gaceta Sanitaria","Espanhol","2015","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0213-91112015000400015&lang=pt" 
"S1726-67182015000200009-cub","Anestesia analgesia multimodal en el superobeso","López González, Rosendo, Dávila Cabo de Villa, Evangelina, Oliver Fajardo, Daniel, Cabrera González, Brianny","Revista Cubana de Anestesiología y Reanimación; 14(2); -","Revista Cubana de Anestesiología y Reanimación","Espanhol","2015","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1726-67182015000200009&lang=pt" 
"S1815-58982015000200011-cub","María Abigail Rial Pérez. Profesora de profesores","Prieto Lescaille, Ilsa Martha, Espinosa Ocallaghan, Maritza","Arquitectura y Urbanismo; 36(2); 146-151","Arquitectura y Urbanismo","Espanhol","2015","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1815-58982015000200011&lang=pt" 
