"S1646-107X2009000200004-prt","Assimetrias laterais no movimento de chute e rendimento no futebol e no futsal","Barbieri, F.A., Gobbi, L.T.B.","Motricidade; 5(2); 33-47","Motricidade","Português","2009","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S1646-107X2009000200004&lang=pt" 
"S1646-107X2009000200005-prt","Revisão para psicólogos da segunda causa mais comum de demência neurodegenerativa em idosos","Bertelli, R., Bianchi, J.J.P., Cruz, E.C.","Motricidade; 5(2); 49-62","Motricidade","Português","2009","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S1646-107X2009000200005&lang=pt" 
"S1646-107X2009000200006-prt","Caracterização dos níveis de negativismo, activação, autoconfiança e orientações motivacionais de alpinistas","Rodrigues, A.D., Lázaro, J.P., Fernandes, H.M., Vasconcelos-Raposo, J.","Motricidade; 5(2); 63-86","Motricidade","Português","2009","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S1646-107X2009000200006&lang=pt" 
"S1139-76322009000100009-esp","A los niños que tienen convulsiones febriles ¿hay que administrarles anticonvulsivantes cuando tienen fiebre?","Aparicio, M., Sánchez-Andrade, R., González Rodríguez, M.P.","Pediatría Atención Primaria; 11(41); 145-154","Pediatría Atención Primaria","Espanhol","2009","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1139-76322009000100009&lang=pt" 
"S1139-76322009000100011-esp","Desconocimiento de las enfermedades de transmisión sexual en los adolescentes","Gorrotxategi Gorrotxategi, P.","Pediatría Atención Primaria; 11(41); 171-174","Pediatría Atención Primaria","Espanhol","2009","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1139-76322009000100011&lang=pt" 
"S1139-76322009000100003-esp","Estudio sobre los factores de riesgo de caries y evaluación de un test indicador del pH y revelado de la placa y la capacidad tampón de la saliva","Blasco Sansano, R., Castellar Ponce, M.D., Llorca Salort, N., Valero Rosique, J., García Espinosa, S.","Pediatría Atención Primaria; 11(41); 33-47","Pediatría Atención Primaria","Espanhol","2009","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1139-76322009000100003&lang=pt" 
"S1139-76322009000100002-esp","Situación de la Pediatría de Atención Primaria en Galicia","Bamonde Rodríguez, L., Valls Durán, T., Amigo Ferreriro, M.E., Díaz Sánchez, A., Díaz-Cardama Sousa, I., Garnelo Suárez, L., Grandio Pardo, J., Maiz Cal, C., Meiriño García, A., Pérez Cobeta, R., Pereira García, P., Pumarega Vergara, M.","Pediatría Atención Primaria; 11(41); 17-31","Pediatría Atención Primaria","Espanhol","2009","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1139-76322009000100002&lang=pt" 
"S1139-76322009000100004-esp","Consejo breve para la prevención del tabaquismo en escolares de 2.º a 4.º de Educación Secundaria Obligatoria de Zaragoza","Galbe, J., Traver, P., Navarra, B., Martínez, A., Galve, Z., Aliaga, Y., Duplá, M., Jiménez, V., Torres, S., Cazorla, A., Ibarrondo, I., Magallón, R., Oliván, B., Charlez, C., Peralta, P., Moreno, M., Alastuey, M., Escosa, L., Planas, E.","Pediatría Atención Primaria; 11(41); 49-63","Pediatría Atención Primaria","Espanhol","2009","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1139-76322009000100004&lang=pt" 
"S1139-76322009000100006-esp","Taquicardia paroxística supraventricular en lactantes: A propósito de un caso","Ortiz Sanjuán, F.M., Pastor Bataller, S., Mas Lázaro, C., Tomás Aguirre, B., Calabuig Fresquet, A., Salort Jiménez, I.","Pediatría Atención Primaria; 11(41); 89-95","Pediatría Atención Primaria","Espanhol","2009","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1139-76322009000100006&lang=pt" 
"S1139-76322009000100001-esp","2009: viejos y nuevos retos","","Pediatría Atención Primaria; 11(41); 11-16","Pediatría Atención Primaria","Espanhol","2009","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1139-76322009000100001&lang=pt" 
"S0102-695X2009000200026-scl","Urban ethnobotany in Petrópolis and Nova Friburgo (Rio de Janeiro, Brazil)","Leitão, Fernanda, Fonseca-Kruel, Viviane Stern da, Silva, Inês Machline, Reinert, Fernanda","Revista Brasileira de Farmacognosia; 19(1b); 333-342","Revista Brasileira de Farmacognosia","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-695X2009000200026&lang=pt" 
