"S0042-96862008000800030-spa","Integrating cervical cancer prevention in HIV/AIDS treatment and care programmes","Mwanahamuntu, Mulindi H, Sahasrabuddhe, Vikrant V, Stringer, Jeffrey SA, Parham, Groesbeck P","Bulletin of the World Health Organization; 86(8); D-E","Bulletin of the World Health Organization","Inglês","2008","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0042-96862008000800030&lang=pt" 
"S0042-96862008000800026-spa","Accessible public-health education: a potential growth area?","Sanders, David, Guwatudde, David, Alexander, Lucy","Bulletin of the World Health Organization; 86(8); A-B","Bulletin of the World Health Organization","Inglês","2008","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0042-96862008000800026&lang=pt" 
"S0042-96862008000800022-spa","The Declaration of Helsinki and public health","Williams, John R","Bulletin of the World Health Organization; 86(8); 650-652","Bulletin of the World Health Organization","Inglês","2008","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0042-96862008000800022&lang=pt" 
"S0042-96862008000800021-spa","Access to medicines versus access to treatment: the case of type 1 diabetes","Beran, David, McCabe, Ariane, Yudkin, John S","Bulletin of the World Health Organization; 86(8); 648-649","Bulletin of the World Health Organization","Inglês","2008","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0042-96862008000800021&lang=pt" 
"S0042-96862008000800010-spa","Using human rights to improve maternal and neonatal health: history, connections and a proposed practical approach","Gruskin, Sofia, Cottingham, Jane, Hilber, Adriane Martin, Kismodi, Eszter, Lincetto, Ornella, Roseman, Mindy Jane","Bulletin of the World Health Organization; 86(8); 589-593","Bulletin of the World Health Organization","Inglês","2008","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0042-96862008000800010&lang=pt" 
"S0042-96862008000800003-spa","The importance of public-health ethics","Krebs, John","Bulletin of the World Health Organization; 86(8); 579-579","Bulletin of the World Health Organization","Inglês","2008","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0042-96862008000800003&lang=pt" 
"S0042-96862008000800005-spa","Clinical trials in India: ethical concerns","","Bulletin of the World Health Organization; 86(8); 581-582","Bulletin of the World Health Organization","Inglês","2008","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0042-96862008000800005&lang=pt" 
"S0042-96862008000800009-spa","Recent news from WHO","","Bulletin of the World Health Organization; 86(8); 588-588","Bulletin of the World Health Organization","Inglês","2008","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0042-96862008000800009&lang=pt" 
"S0042-96862008000800020-spa","The burden of surgical conditions and access to surgical care in low- and middle-income countries","Ozgediz, Doruk, Jamison, Dean, Cherian, Meena, McQueen, Kelly","Bulletin of the World Health Organization; 86(8); 646-647","Bulletin of the World Health Organization","Inglês","2008","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0042-96862008000800020&lang=pt" 
"S0042-96862008000800029-spa","Country ownership and vertical programmes in health, health information and health research","Kennedy, Andrew, IJsselmuiden, Carel","Bulletin of the World Health Organization; 86(8); C-D","Bulletin of the World Health Organization","Inglês","2008","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0042-96862008000800029&lang=pt" 
"S0042-96862008000800025-spa","Cambridge textbook of bioethics","Dingwall, Robert","Bulletin of the World Health Organization; 86(8); 655-655","Bulletin of the World Health Organization","Inglês","2008","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0042-96862008000800025&lang=pt" 
"S0042-96862008000800024-spa","Ethics and infectious disease","Upshur, Ross","Bulletin of the World Health Organization; 86(8); 654-654","Bulletin of the World Health Organization","Inglês","2008","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0042-96862008000800024&lang=pt" 
"S0042-96862008000800023-spa","Just health: meeting health needs fairly","Rid, Annette","Bulletin of the World Health Organization; 86(8); 653-653","Bulletin of the World Health Organization","Inglês","2008","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0042-96862008000800023&lang=pt" 
"S0042-96862008000800028-spa","Author reply to: estimation of global visual impairment due to uncorrected refractive error","Mariotti, Silvio, Resnikoff, Serge, Pascolini, Donatella","Bulletin of the World Health Organization; 86(8); C-C","Bulletin of the World Health Organization","Inglês","2008","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0042-96862008000800028&lang=pt" 
"S0042-96862008000800031-spa","Evaluation of the WHO Assessment Instrument for Mental Health Systems","Saxena, Shekhar, Lora, Antonio, van Ommeren, Mark, Barrett, Thomas, Morris, Jodi, Saraceno, Benedetto","Bulletin of the World Health Organization; 86(8); E-E","Bulletin of the World Health Organization","Inglês","2008","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0042-96862008000800031&lang=pt" 
"S0042-96862008000800019-spa","Emerging norms for the control of emerging epidemics","McDougall, Christopher W, Upshur, Ross EG, Wilson, Kumanan","Bulletin of the World Health Organization; 86(8); 643-645","Bulletin of the World Health Organization","Inglês","2008","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0042-96862008000800019&lang=pt" 
"S0042-96862008000800008-spa","From rhetoric to reality","","Bulletin of the World Health Organization; 86(8); 587-588","Bulletin of the World Health Organization","Inglês","2008","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0042-96862008000800008&lang=pt" 
"S0042-96862008000800007-spa","Iranian health houses open the door to primary care","","Bulletin of the World Health Organization; 86(8); 585-586","Bulletin of the World Health Organization","Inglês","2008","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0042-96862008000800007&lang=pt" 
"S0042-96862008000800006-spa","Overcoming migrants&#039; barriers to health","","Bulletin of the World Health Organization; 86(8); 583-584","Bulletin of the World Health Organization","Inglês","2008","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0042-96862008000800006&lang=pt" 
"S0042-96862008000800001-spa","WHO 60th anniversary commemorative volume","","Bulletin of the World Health Organization; 86(8); 577-577","Bulletin of the World Health Organization","Inglês","2008","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0042-96862008000800001&lang=pt" 
"S0042-96862008000800011-spa","Herbal medicine research and global health: an ethical analysis","Tilburt, Jon C, Kaptchuk, Ted J","Bulletin of the World Health Organization; 86(8); 594-599","Bulletin of the World Health Organization","Inglês","2008","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0042-96862008000800011&lang=pt" 
"S0042-96862008000800013-spa","Integrating ethics, health policy and health systems in low- and middle-income countries: case studies from Malaysia and Pakistan","Hyder, Adnan A, Merritt, Maria, Ali, Joseph, Tran, Nhan T, Subramaniam, Kulanthayan, Akhtar, Tasleem","Bulletin of the World Health Organization; 86(8); 606-611","Bulletin of the World Health Organization","Inglês","2008","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0042-96862008000800013&lang=pt" 
"S0042-96862008000800015-spa","Ethical analysis to improve decision-making on health technologies","Saarni, Samuli I, Hofmann, Bjørn, Lampe, Kristian, Lühmann, Dagmar, Mäkelä, Marjukka, Velasco-Garrido, Marcial, Autti-Rämö, Ilona","Bulletin of the World Health Organization; 86(8); 617-623","Bulletin of the World Health Organization","Inglês","2008","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0042-96862008000800015&lang=pt" 
"S0042-96862008000800016-spa","A personalist approach to public-health ethics","Petrini, Carlo, Gainotti, Sabina","Bulletin of the World Health Organization; 86(8); 624-629","Bulletin of the World Health Organization","Inglês","2008","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0042-96862008000800016&lang=pt" 
"S0034-76122008000400001-scl","Palavras da diretora","Zouain, Deborah Moraes","Revista de Administração Pública; 42(4); 653-654","Revista de Administração Pública","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-76122008000400001&lang=pt" 
"S0034-76122008000400004-scl","A resiliência de profissionais angolanos","Vergara, Sylvia Constant","Revista de Administração Pública; 42(4); 701-718","Revista de Administração Pública","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-76122008000400004&lang=pt" 
"S0034-76122008000400007-scl","Governabilidade (II)","Monteiro, Jorge Vianna","Revista de Administração Pública; 42(4); 767-777","Revista de Administração Pública","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-76122008000400007&lang=pt" 
