"S0100-84042004000400004-scl","Lectotypifications in Ditassa R.Br. (Apocynaceae: Asclepiadoideae)","Konno, Tatiana U.P., Wanderley, Maria das Graças L.","Brazilian Journal of Botany; 27(4); 639-640","Brazilian Journal of Botany","Inglês","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-84042004000400004&lang=pt" 
"S0100-84042004000400018-scl","Polinização de Cambessedesia hilariana (Kunth) DC. (Melastomataceae): sucesso reprodutivo versus diversidade, comportamento e freqüência de visitas de abelhas","Fracasso, Carla M., Sazima, Marlies","Brazilian Journal of Botany; 27(4); 797-804","Brazilian Journal of Botany","Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-84042004000400018&lang=pt" 
"S0100-84042004000400017-scl","Fenologia reprodutiva e produção de sementes em Araucaria angustifolia (Bert.) O. Kuntze","Mantovani, Adelar, Morellato, L. Patrícia C., Reis, Maurício S. dos","Brazilian Journal of Botany; 27(4); 787-796","Brazilian Journal of Botany","Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-84042004000400017&lang=pt" 
"S0100-84042004000400015-scl","Morfoanatomia e ontogênese do pericarpo de Schizolobium parahyba (Vell.) Blake (Fabaceae, Caesalpinioideae)","Pietrobom, Rita de Cássia Violin, Oliveira, Denise Maria Trombert","Brazilian Journal of Botany; 27(4); 767-779","Brazilian Journal of Botany","Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-84042004000400015&lang=pt" 
"S0100-84042004000400014-scl","Saranthe klotzschiana (Koer.) Eichl. (Marantaceae) e seu mecanismo explosivo de polinização","Locatelli, Evelise, Machado, Isabel C., Medeiros, Petrúcio","Brazilian Journal of Botany; 27(4); 757-765","Brazilian Journal of Botany","Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-84042004000400014&lang=pt" 
"S0100-84042004000400001-scl","Duas novas espécies de Calliandra Benth.: (Leguminosae - Mimosoideae) da Chapada Diamantina, Bahia, Brasil","Souza, Élvia R., Queiroz, Luciano P.","Brazilian Journal of Botany; 27(4); 615-619","Brazilian Journal of Botany","Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-84042004000400001&lang=pt" 
"S0100-84042004000400011-scl","Fenologia de espécies do dossel e do sub-bosque de duas Florestas de Restinga na Ilha do Mel, sul do Brasil","Marques, Márcia C.M., Oliveira, Paulo Eugênio A.M.","Brazilian Journal of Botany; 27(4); 713-723","Brazilian Journal of Botany","Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-84042004000400011&lang=pt" 
"S0100-84042004000400010-scl","Phenology, litterfall, growth, and root biomass in a tidal floodplain forest in the Amazon estuary","Cattanio, José H., Anderson, Anthony B., Rombold, John S., Nepstad, Daniel C.","Brazilian Journal of Botany; 27(4); 703-712","Brazilian Journal of Botany","Inglês","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-84042004000400010&lang=pt" 
"S0100-84042004000400009-scl","Diversity and structure of the tree community of a fragment of tropical secondary forest of the brazilian Atlantic Forest domain 15 and 40 years after logging","Oliveira Filho, Ary T., Carvalho, Douglas A., Vilela, Enivanis A., Curi, Nilton, Fontes, Marco Aurélio L.","Brazilian Journal of Botany; 27(4); 685-701","Brazilian Journal of Botany","Inglês","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-84042004000400009&lang=pt" 
"S0100-84042004000400008-scl","Fitossociologia de remanescentes de floresta estacional decidual em Corumbá, Estado do Mato Grosso do Sul, Brasil","Salis, Suzana Maria, Silva, Marta Pereira da, Mattos, Patrícia Póvoa de, Silva, João S. Vila da, Pott, Vali Joana, Pott, Arnildo","Brazilian Journal of Botany; 27(4); 671-684","Brazilian Journal of Botany","Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-84042004000400008&lang=pt" 
"S0100-84042004000400006-scl","Palinotaxonomia das espécies de Passiflora L. subg. Decaloba (DC.) Rchb. (Passifloraceae) no Sudeste do Brasil","Milward-de-Azevedo, Michaele A., Gonçalves-Esteves, Vania, Baumgratz, José Fernando A.","Brazilian Journal of Botany; 27(4); 655-665","Brazilian Journal of Botany","Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-84042004000400006&lang=pt" 
