"S1028-47962007000100002-cub","Revista Cubana de Plantas Medicinales (1998-2006)","Rodríguez Luis, Yraida","Revista Cubana de Plantas Medicinales; 12(1); -","Revista Cubana de Plantas Medicinales","Espanhol","2007","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1028-47962007000100002&lang=pt" 
"S1028-47962007000100003-cub","Índice de autores (1998-2006)","Rodríguez Luis, Yraida","Revista Cubana de Plantas Medicinales; 12(1); -","Revista Cubana de Plantas Medicinales","Espanhol","2007","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1028-47962007000100003&lang=pt" 
"S1677-04202007000100003-scl","Photoacclimation in three species of freshwater red algae","Bautista, Anna I.N., Necchi Jr., Orlando","Brazilian Journal of Plant Physiology; 19(1); 23-34","Brazilian Journal of Plant Physiology","Inglês","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1677-04202007000100003&lang=pt" 
"S1677-04202007000100004-scl","Activation of phospholipase PLA2 actvity in Ricinus communis leaves in response to mechanical wounding","Domingues, Sarah J.S., Souza, Thiago F. de, Soares, Alexandra M.S., Jacinto, Tânia, Machado, Olga L.T.","Brazilian Journal of Plant Physiology; 19(1); 35-42","Brazilian Journal of Plant Physiology","Inglês","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1677-04202007000100004&lang=pt" 
"S1677-04202007000100005-scl","Relationship between gibberellic acid and growth parameters in developing seed and pod of pigeon pea","Chudasama, Rita S., Thaker, Vrinda S.","Brazilian Journal of Plant Physiology; 19(1); 43-51","Brazilian Journal of Plant Physiology","Inglês","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1677-04202007000100005&lang=pt" 
"S1677-04202007000100006-scl","Changes in the antioxidative enzyme activities and lipid peroxidation in wheat seedlings exposed to cadmium and lead stress","Dey, Surjendu K., Dey, Jayashree, Patra, Sanjukta, Pothal, Debasmita","Brazilian Journal of Plant Physiology; 19(1); 53-60","Brazilian Journal of Plant Physiology","Inglês","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1677-04202007000100006&lang=pt" 
"S1677-04202007000100007-scl","Alterations in leaf anatomy and physiology caused by the red mite (Oligonychus ilicis) in plants of Coffea arabica","Fahl, Joel I., Queiroz-Voltan, Rachel B., Carelli, Maria Luiza C., Schiavinato, Marlene A., Prado, Ana K. S., Souza, Júlio C.","Brazilian Journal of Plant Physiology; 19(1); 61-68","Brazilian Journal of Plant Physiology","Inglês","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1677-04202007000100007&lang=pt" 
"S1677-04202007000100001-scl","Structure, organization, and functions of cellulose synthase complexes in higher plants","Festucci-Buselli, Reginaldo A., Otoni, Wagner C., Joshi, Chandrashekhar P.","Brazilian Journal of Plant Physiology; 19(1); 1-13","Brazilian Journal of Plant Physiology","Inglês","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1677-04202007000100001&lang=pt" 
"S0103-507X2007000100019-scl","Agradecimentos","Friedman, Gilberto","Revista Brasileira de Terapia Intensiva; 19(1); 132-132","Revista Brasileira de Terapia Intensiva","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-507X2007000100019&lang=pt" 
"S0103-507X2007000100004-scl","Implementação, avaliação e comparação dos protocolos de desmame com Tubo-T e Pressão Suporte associada à pressão expiratória final positiva em pacientes submetidos à ventilação mecânica por mais de 48 horas em unidade de terapia intensiva","Colombo, Tatiane, Boldrini, Aline Fiorillo, Juliano, Silvia Renata Rezek, Juliano, Maria Cecília Rezek, Houly, João Geraldo Simões, Gebara, Otavio Celso Eluf, Cividanes, Gil Vicente L., Catão, Elaine C.","Revista Brasileira de Terapia Intensiva; 19(1); 31-37","Revista Brasileira de Terapia Intensiva","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-507X2007000100004&lang=pt" 
"S0103-507X2007000100011-scl","Entrevista familiar e consentimento","Rech, Tatiana H., Rodrigues Filho, Édison Moraes","Revista Brasileira de Terapia Intensiva; 19(1); 85-89","Revista Brasileira de Terapia Intensiva","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-507X2007000100011&lang=pt" 
"S0103-507X2007000100012-scl","Terapia nutricional em Unidade de Terapia Intensiva","Ferreira, Iára Kallyanna Cavalcante","Revista Brasileira de Terapia Intensiva; 19(1); 90-97","Revista Brasileira de Terapia Intensiva","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-507X2007000100012&lang=pt" 
"S0103-507X2007000100013-scl","Traumatismo cranioencefálico grave em crianças e adolescentes","Carvalho, Luís Fernando Andrade de, Affonseca, Carolina de Araújo, Guerra, Sérgio Diniz, Ferreira, Alexandre Rodrigues, Goulart, Eugênio Marcos Andrade","Revista Brasileira de Terapia Intensiva; 19(1); 98-106","Revista Brasileira de Terapia Intensiva","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-507X2007000100013&lang=pt" 
"S0103-507X2007000100018-scl","Hiper-infecção por Strongyloides Stercoralis: relato de caso","Benincasa, Cristian Chassot, Azevedo, Felipe Olson, Canabarro, Marcelo Silveira, Valentim, Helen Martins, Silva, Vinícius Duval da, Superti, Silvana Vargas, Dias, Fernando Suparregui","Revista Brasileira de Terapia Intensiva; 19(1); 128-131","Revista Brasileira de Terapia Intensiva","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-507X2007000100018&lang=pt" 
"S0103-507X2007000100016-scl","Pneumonia aspirativa associada a alterações da deglutição: relato de caso","Toufen Junior, Carlos, Camargo, Fernanda Pereira de, Carvalho, Carlos Roberto Ribeiro","Revista Brasileira de Terapia Intensiva; 19(1); 118-122","Revista Brasileira de Terapia Intensiva","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-507X2007000100016&lang=pt" 
