"S0100-40422003000500014-scl","Híbridos inorgânico-orgânicos derivados da reação de filossicatos com organossilanos","Fonseca, Maria Gardênnia da, Airoldi, Claudio","Química Nova; 26(5); 699-707","Química Nova","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-40422003000500014&lang=pt" 
"S0100-40422003000500015-scl","Contaminação ambiental por compostos organoestânicos","Godoi, Ana Flavia Locateli, Favoreto, Rodrigo, Santiago-Silva, Mary","Química Nova; 26(5); 708-716","Química Nova","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-40422003000500015&lang=pt" 
"S0100-40422003000500018-scl","Química verde, os desafios da química do novo milênio","Prado, Alexandre G. S.","Química Nova; 26(5); 738-744","Química Nova","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-40422003000500018&lang=pt" 
"S0100-40422003000500019-scl","A química dos ésteres de fosfato","Domingos, Josiel B., Longhinotti, Elisane, Machado, Vanderlei Gageiro, Nome, Faruk","Química Nova; 26(5); 745-753","Química Nova","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-40422003000500019&lang=pt" 
"S0100-40422003000500002-scl","Determinação de compostos de massa molecular alta em folhas de plantas da Amazônia","Siqueira, Denilson Soares de, Pereira, Alberto dos Santos, Aquino Neto, Francisco Radler de, Cabral, José Augusto, Ferreira, Carlos Alberto Cid, Simoneit, Bernd R. T., Elias, Vladimir O.","Química Nova; 26(5); 633-640","Química Nova","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-40422003000500002&lang=pt" 
"S0100-40422003000500017-scl","Caracterização e estabilidade físico-química de sistemas poliméricos nanoparticulados para administração de fármacos","Schaffazick, Scheila Rezende, Guterres, Sílvia Stanisçuaski, Freitas, Liane de Lucca, Pohlmann, Adriana Raffin","Química Nova; 26(5); 726-737","Química Nova","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-40422003000500017&lang=pt" 
"S0100-40422003000500010-scl","Filmes de titânio-silício preparados por &quot;spin&quot; e &quot;dip-coating&quot;","Nassar, Eduardo J., Ciuffi, Katia J., Gonçalves, Rogéria R., Messaddeq, Younes, Ribeiro, Sidney J. L.","Química Nova; 26(5); 674-677","Química Nova","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-40422003000500010&lang=pt" 
"S0100-40422003000500009-scl","Aplicação da CLAE para determinação do ácido 10-Hidróxi-2-decenóico (10-HDA) em geléia real pura e adicionada a mel brasileiro","Koshio, Shinnosuke, Almeida-Muradian, Ligia Bicudo de","Química Nova; 26(5); 670-673","Química Nova","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-40422003000500009&lang=pt" 
"S0100-40422003000500008-scl","Novos materiais à base de nanofibras de carbono como suporte de catalisador na decomposição da hidrazina","Vieira, Ricardo, Pham-Huu, Cuong, Keller, Nicolas, Ledoux, Marc J.","Química Nova; 26(5); 665-669","Química Nova","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-40422003000500008&lang=pt" 
"S0100-40422003000500011-scl","Distribuição de compostos organoclorados nas águas e sedimentos da bacia do rio Piracicaba/SP - Brasil","Del Grande, Marcelo, Rezende, Maria Olímpia Oliveira, Rocha, Odete","Química Nova; 26(5); 678-686","Química Nova","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-40422003000500011&lang=pt" 
"S0100-40422003000500012-scl","Fluidos supercríticos em química analítica. II. Cromatografia com fluido supercrítico: instrumentação","Carrilho, Emanuel, Tavares, Maria Cecília H., Lanças, Fernando M.","Química Nova; 26(5); 687-693","Química Nova","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-40422003000500012&lang=pt" 
