"S1982-25532014000100018-scl","A chave azul: ação do leitor em textos fantásticos","Manna, Nuno","Galáxia (São Paulo); 14(27); 214-226","Galáxia (São Paulo)","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1982-25532014000100018&lang=pt" 
"S1982-25532014000100019-scl","Elementos sonoros da linguagem radiofônica: a sugestão de sentido ao ouvinte-modelo","Vianna, Graziela Valadares Gomes de Mello","Galáxia (São Paulo); 14(27); 227-240","Galáxia (São Paulo)","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1982-25532014000100019&lang=pt" 
"S1982-25532014000100006-scl","O amor virtual como instância de empreendedorismo e de reificação","Castro, Julio Cesar Lemes de","Galáxia (São Paulo); 14(27); 72-84","Galáxia (São Paulo)","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1982-25532014000100006&lang=pt" 
"S1982-25532014000100003-scl","A contribuição da semiótica estrutural para o design de um hipermercado","Floch, Jean-Marie","Galáxia (São Paulo); 14(27); 21-47","Galáxia (São Paulo)","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1982-25532014000100003&lang=pt" 
"S1982-25532014000100004-scl","Eugen Hadamovsky e a teoria da propaganda totalitária na Alemanha nazista","Rüdiger, Francisco","Galáxia (São Paulo); 14(27); 48-60","Galáxia (São Paulo)","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1982-25532014000100004&lang=pt" 
"S0101-73302014000200002-scl","O Legado da ditadura para a educação brasileira","Cunha, Luiz Antônio","Educação &amp; Sociedade; 35(127); 357-377","Educação &amp; Sociedade","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-73302014000200002&lang=pt" 
"S0101-73302014000200004-scl","Educação, cidadania e agenciamentos formativos nas políticas culturais brasileiras","Silva, Rodrigo Manoel Dias da","Educação &amp; Sociedade; 35(127); 397-415","Educação &amp; Sociedade","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-73302014000200004&lang=pt" 
"S0101-73302014000200005-scl","Tendências das desigualdades de acesso ao ensino superior no Brasil: 1982-2010","Mont&#039;Alvão Neto, Arnaldo Lopo","Educação &amp; Sociedade; 35(127); 417-441","Educação &amp; Sociedade","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-73302014000200005&lang=pt" 
"S0101-73302014000200006-scl","Pensamento e sociedade: contribuições ao debate sobre a experiência do Enem","Ribeiro, Cintya Regina","Educação &amp; Sociedade; 35(127); 443-460","Educação &amp; Sociedade","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-73302014000200006&lang=pt" 
"S0101-73302014000200007-scl","Descolonizando as pesquisas com crianças e três obstáculos","Abramowicz, Anete, Rodrigues, Tatiane Consentino","Educação &amp; Sociedade; 35(127); 461-474","Educação &amp; Sociedade","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-73302014000200007&lang=pt" 
"S0101-73302014000200008-scl","A educação progressiva como alternativa: as vozes dos educadores","Branco, Maria Luísa","Educação &amp; Sociedade; 35(127); 475-489","Educação &amp; Sociedade","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-73302014000200008&lang=pt" 
"S0101-73302014000200014-scl","Exigências de produtividade na escola e no trabalho e o consumo de metilfenidato","Carvalho, Tales Renato Ferreira, Brant, Luiz Carlos, Melo, Marilene Barros de","Educação &amp; Sociedade; 35(127); 587-604","Educação &amp; Sociedade","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-73302014000200014&lang=pt" 
"S0101-73302014000200013-scl","Educación basada en competencias: hacia una pedagogía sin dicotomías","Alarcón Leiva, Jorge, Hill, Brianna, Frites, Claudio","Educação &amp; Sociedade; 35(127); 569-586","Educação &amp; Sociedade","Espanhol","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-73302014000200013&lang=pt" 
"S0101-73302014000200012-scl","A formação de educadores na educação não formal pública","Fuhrmann, Nadia, Paulo, Fernanda dos Santos","Educação &amp; Sociedade; 35(127); 551-566","Educação &amp; Sociedade","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-73302014000200012&lang=pt" 
