"S1516-05722016000100168-scl","Técnicas de conservação pós-colheita para o manjericão","TEIXEIRA, D.A., GOMES, J.A.O., BONFIM, F.P.G., PARDO, P.I., MAYOBRE, M.T.","Revista Brasileira de Plantas Medicinais; 18(1); 168-171","Revista Brasileira de Plantas Medicinais","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-05722016000100168&lang=pt" 
"S1516-05722016000100180-scl","Prospecção fitoquímica e avaliação do potencial antioxidante de Cnidoscolus phyllacanthus (müll. Arg.) Pax &amp; k.hoffm. Oriundo de apodi – RN","MORAIS, N.R.L., OLIVEIRA NETO, F.B., MELO, A.R., BERTINI, L.M., SILVA, F.F.M., ALVES, L.A.","Revista Brasileira de Plantas Medicinais; 18(1); 180-185","Revista Brasileira de Plantas Medicinais","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-05722016000100180&lang=pt" 
"S1516-05722016000100125-scl","Etnobotânica de plantas medicinais em duas comunidades do município de Picuí, Paraíba, Brasil","COSTA, J.C., MARINHO, M.G.V.","Revista Brasileira de Plantas Medicinais; 18(1); 125-134","Revista Brasileira de Plantas Medicinais","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-05722016000100125&lang=pt" 
"S1516-05722016000100186-scl","Emergência e desenvolvimento inicial de sementes de Dimorphandra mollis Benth. em campo","SOUZA, M.F., MARTINS, E.R., FERNANDES, L.A., NERE, P.S.","Revista Brasileira de Plantas Medicinais; 18(1); 186-190","Revista Brasileira de Plantas Medicinais","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-05722016000100186&lang=pt" 
"S1517-70762016000100009-scl","Experimental determination of the level of damage suffered by rigid PVC pipes under quasi-static impact load","Christian, Fokam Bopda, Bienvenu, Kenmeugne, Khalifa, Mansouri, Theodore, Tchotang, Medard, Fogue, Lucien, Meva&#039;a","Matéria (Rio de Janeiro); 21(1); 83-91","Matéria (Rio de Janeiro)","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-70762016000100009&lang=pt" 
"S1517-70762016000100017-scl","Estudo da sinterização de uma liga Fe-22,5Cr-5,5Ni obtida pela mistura de pós elementares","Neves, Ederson Bitencourt das, Biehl, Luciano Volcanoglo, Osorio, Alice Gonçalves, Schneider, Tarique Hernandez","Matéria (Rio de Janeiro); 21(1); 185-195","Matéria (Rio de Janeiro)","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-70762016000100017&lang=pt" 
"S1517-70762016000100005-scl","Análise não linear de chapas através de uma formulação do método dos elementos de contorno com convergência quadrática","Dóro, Vinicio da Cunha, Fernandes, Gabriela Rezende","Matéria (Rio de Janeiro); 21(1); 27-48","Matéria (Rio de Janeiro)","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-70762016000100005&lang=pt" 
"S1517-70762016000100002-scl","Tensile properties and color and mass variations of GFPR composites under alkaline and ultraviolet exposures","Cordeiro, Guilherme Chagas, Vieira, Janine Domingos, Có, Carolina Mattedi","Matéria (Rio de Janeiro); 21(1); 1-10","Matéria (Rio de Janeiro)","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-70762016000100002&lang=pt" 
"S1517-70762016000100018-scl","Análise da superfície e osseointegração de implantes dentários com superfícies biomiméticas contedo Ca, Mg e F","Maximo, Felipe Silveira, Elias, Carlos Nelson, Fernandes, Daniel Jogaib, Monteiro, Fabio de Oliveira, Cavalcanti, Jaqueline","Matéria (Rio de Janeiro); 21(1); 196-203","Matéria (Rio de Janeiro)","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-70762016000100018&lang=pt" 
"S1517-70762016000100021-scl","Influência do aporte térmico sobre a morfologia da austenita e na quantidade das fases em chapas soldadas de aço inoxidável duplex SAF2205","Fonseca, Camila Soares, Pinheiro, Ivete Peixoto, Silva, Sidney Nicodemos da","Matéria (Rio de Janeiro); 21(1); 227-234","Matéria (Rio de Janeiro)","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-70762016000100021&lang=pt" 
"S0104-77602016000100093-scl","ANÁLISE ECOFISIOLÓGICA DE GENIPA AMERICANA L. EM BANCO DE SEMENTES INDUZIDO","Salla, Francesca, José, Anderson Cleiton, Faria, José Márcio Rocha","CERNE; 22(1); 93-100","CERNE","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-77602016000100093&lang=pt" 
"S0104-77602016000100121-scl","DEFICIÊNCIA DE MACRO E MICRONUTRIENTES EM MUDAS MADURAS DE KHAYA IVORENSIS ESTUDADAS EM VIVEIRO","Corcioli, Graciella, Borges, Jácomo Divino, Jesus, Roberta Paula de","CERNE; 22(1); 121-128","CERNE","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-77602016000100121&lang=pt" 
"S0104-77602016000100059-scl","MICRO/NANOFIBRILAS CELULÓSICAS DE  EUCALYPTUS EM FIBROCIMENTOS EXTRUDADOS","Fonseca, Camila Soares, Silva, Thaís Ferreira da, Silva, Matheus Felipe, Oliveira, Isabela Rodrigues de Campos, Mendes, Rafael Farinassi, Hein, Paulo Ricardo Gherardi, Mendes, Lourival Marin, Tonoli, Gustavo Henrique Denzin","CERNE; 22(1); 59-68","CERNE","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-77602016000100059&lang=pt" 
"S0104-77602016000100043-scl","PHYSICAL, MORPHOLOGICAL PROPERTIES AND RAMAN SPECTROSCOPY OF CHESTNUT BLIGHT DISEASED CASTANEA SATIVA MILL. WOOD","Gunduz, Gokhan, Oral, Mehmet Ali, Akyuz, Mehmet, Aydemir, Deniz, Yaman, Barbaros, Asik, Nejla, Bulbul, Ali Savas, Allahverdiyev, Surhay","CERNE; 22(1); 43-58","CERNE","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-77602016000100043&lang=pt" 
"S0104-77602016000100085-scl","CLASSIFICAÇÃO FISIOLÓGICA DE SEMENTES FLORESTAIS QUANTO À TOLERÂNCIA À DESSECAÇÃO E AO COMPORTAMENTO NO ARMAZENAMENTO","Mayrinck, Rafaella Carvalho, Vaz, Tatiana Arantes Afonso, Davide, Antonio Claudio","CERNE; 22(1); 85-92","CERNE","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-77602016000100085&lang=pt" 
