"S1516-44462013000100010-scl","The panic disorder respiratory ratio: a dimensional approach to the respiratory subtype","Freire, Rafael Christophe, Nascimento, Isabella, Valença, Alexandre Martins, Lopes, Fabiana Leão, Mezzasalma, Marco André, Melo Neto, Valfrido Leão de, Zin, Walter Araujo, Nardi, Antonio Egidio","Revista Brasileira de Psiquiatria; 35(1); 57-62","Revista Brasileira de Psiquiatria","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-44462013000100010&lang=pt" 
"S0021-25712013000100010-spa","Medical humanities in healthcare education in Italy: a literature review","Fieschi, Laura, Matarese, Maria, Vellone, Ercole, Alvaro, Rosaria, De Marinis, Maria Grazia","Annali dell&#039;Istituto Superiore di Sanità; 49(1); 56-64","Annali dell&#039;Istituto Superiore di Sanità","Inglês","2013","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0021-25712013000100010&lang=pt" 
"S0021-25712013000100011-spa","Blood thiamine, zinc, selenium, lead and oxidative stress in a population of male and female alcoholics: clinical evidence and gender differences","Mancinelli, Rosanna, Barlocci, Eleonora, Ciprotti, Maria, Senofonte, Oreste, Fidente, Rosanna Maria, Draisci, Rosa, Attilia, Maria Luisa, Vitali, Mario, Fiore, Marco, Ceccanti, Mauro","Annali dell&#039;Istituto Superiore di Sanità; 49(1); 65-72","Annali dell&#039;Istituto Superiore di Sanità","Inglês","2013","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0021-25712013000100011&lang=pt" 
"S0021-25712013000100012-spa","Advancing the science of cancer cost measurement: challenges and opportunities","Francisci, Silvia, Yabroff, K. Robin, Gigli, Anna, Mariotto, Angela, Mezzetti, Maura, Lipscomb, Joseph","Annali dell&#039;Istituto Superiore di Sanità; 49(1); 73-78","Annali dell&#039;Istituto Superiore di Sanità","Inglês","2013","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0021-25712013000100012&lang=pt" 
"S0021-25712013000100015-spa","Medical progress, psychological factors and global care of the patient: lessons from the treatment of childhood leukemia","Digilio, Girolamo, Digilio, Marina","Annali dell&#039;Istituto Superiore di Sanità; 49(1); 92-96","Annali dell&#039;Istituto Superiore di Sanità","Inglês","2013","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0021-25712013000100015&lang=pt" 
"S0101-41612013000100003-scl","Análise das disparidades de bem-estar entre os estados do Brasil","Penna, Christiano, Linhares, Fabrício, Carvalho, Eveline, Trompieri Neto, Nicolino","Estudos Econômicos (São Paulo); 43(1); 51-78","Estudos Econômicos (São Paulo)","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-41612013000100003&lang=pt" 
"S0101-41612013000100004-scl","Mudanças na estrutura do comércio exterior brasileiro: uma análise sob a ótica da teoria de Heckscher-Ohlin","Hidalgo, Álvaro Barrantes, Feistel, Paulo Ricardo","Estudos Econômicos (São Paulo); 43(1); 79-108","Estudos Econômicos (São Paulo)","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-41612013000100004&lang=pt" 
"S0104-77602013000100010-scl","Desinfestação superficial de explantes isolados de ramos semilenhosos e herbáceos de Eugenia involucrata DC. (Myrtaceae)","Golle, Diego Pascoal, Reiniger, Lia Rejane Silveira, Bellé, Rogério Antônio, Curti, Aline Ritter","CERNE; 19(1); 77-82","CERNE","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-77602013000100010&lang=pt" 
"S0104-77602013000100003-scl","Hygroscopicity of wood from Eucalyptus grandis and Pinus taeda subjected to thermal treatment","Modes, Karina Soares, Santini, Elio José, Vivian, Magnos Alan","CERNE; 19(1); 19-25","CERNE","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-77602013000100003&lang=pt" 
"S0104-77602013000100006-scl","Variações na qualidade de toras de Toona ciliata M. Roem. com dezoito anos de idade","Nassur, Otávio Augusto Carvalho, Rosado, Lucas Rodrigues, Rosado, Sebastião Carlos da Silva, Carvalho, Pablo Marcílio de","CERNE; 19(1); 43-49","CERNE","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-77602013000100006&lang=pt" 
"S0104-77602013000100008-scl","Influência da temperatura no rendimento dos produtos da carbonização de Eucalyptus microcorys","Vieira, Renato da Silva, Lima, José Tarcísio, Monteiro, Thiago Campos, Selvatti, Thaisa de Sousa, Baraúna, Edy Eime Pereira, Napoli, Alfredo","CERNE; 19(1); 59-64","CERNE","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-77602013000100008&lang=pt" 
