"S0104-12902013000300015-scl","Cuidados de saúde e território: um debate em torno de uma abordagem integrada","Santinha, Gonçalo","Saúde e Sociedade; 22(3); 815-829","Saúde e Sociedade","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-12902013000300015&lang=pt" 
"S0104-12902013000300018-scl","Gestão da humanização das práticas de saúde: o caso do Hospital das Clínicas da Faculdade de Medicina da Universidade de São Paulo","Rios, Izabel Cristina, Battistella, Linamara Rizzo","Saúde e Sociedade; 22(3); 853-865","Saúde e Sociedade","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-12902013000300018&lang=pt" 
"S0104-12902013000300019-scl","Prestar cuidados de enfermagem a pessoas idosas: experiências e impactos","Sousa, Liliana, Ribeiro, António Pedro","Saúde e Sociedade; 22(3); 866-877","Saúde e Sociedade","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-12902013000300019&lang=pt" 
"S0104-12902013000300021-scl","Causa mortis e taxas de mortalidade: aspectos históricos a partir de registros de óbitos, 1916-1929","Machado, Neli Teresinha Galarce, Gheno, Diego Antônio","Saúde e Sociedade; 22(3); 892-902","Saúde e Sociedade","Inglês, Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-12902013000300021&lang=pt" 
"S0104-12902013000300022-scl","Intenções reprodutivas de mulheres que vivenciam regime de alta fecundidade em um grande centro urbano","Soares, Vânia Muniz Néquer, Schor, Néia, Morell, Maria Graciela Gonzalez de, Souza, Kleyde Ventura de, Diniz, Simone Carmem Grilo","Saúde e Sociedade; 22(3); 903-915","Saúde e Sociedade","Inglês, Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-12902013000300022&lang=pt" 
"S0104-12902013000300023-scl","Opiniões, conhecimento e atitudes de profissionais da saúde sobre o aborto induzido: uma revisão das pesquisas brasileiras publicadas entre 2001 e 2011","Cacique, Denis Barbosa, Passini Junior, Renato, Osis, Maria José Martins Duarte","Saúde e Sociedade; 22(3); 916-936","Saúde e Sociedade","Inglês, Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-12902013000300023&lang=pt" 
"S0104-12902013000300024-scl","A produção acadêmica em fisioterapia: um estudo de teses a partir dos pressupostos epistemológicos de Fleck","Chesani, Fabíola Hermes","Saúde e Sociedade; 22(3); 949-961","Saúde e Sociedade","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-12902013000300024&lang=pt" 
"S0104-12902013000300025-scl","Narrativas sobre o início das práticas fonoaudiológicas na cidade de Salvador, Bahia, Brasil","Nunes, Rina Tereza D&#039;Angelo, Maia, Suzana Magalhães","Saúde e Sociedade; 22(3); 962-971","Saúde e Sociedade","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-12902013000300025&lang=pt" 
"S0104-12902013000300004-scl","Desenvolvimento sustentável e saúde do trabalhador nos estudos de impacto ambiental de refinarias no Brasil","Silva, José Marcos da, Santos, Mariana Olívia Santana dos, Augusto, Lia Giraldo da Silva, Gurgel, Idê Gomes Dantas","Saúde e Sociedade; 22(3); 687-700","Saúde e Sociedade","Inglês, Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-12902013000300004&lang=pt" 
"S0104-12902013000300005-scl","Stress ocupacional e avaliação cognitiva: um estudo com forças de segurança","Esteves, Anabela, Gomes, A. Rui","Saúde e Sociedade; 22(3); 701-713","Saúde e Sociedade","Inglês, Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-12902013000300005&lang=pt" 
"S0104-12902013000300006-scl","As LER/DORT no contexto do encontro simbólico entre pacientes e médicos peritos do INSS/SP","Siqueira, Anna Carolina Arena, Couto, Márcia Thereza","Saúde e Sociedade; 22(3); 714-726","Saúde e Sociedade","Inglês, Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-12902013000300006&lang=pt" 
"S0104-12902013000300007-scl","Prevención de riesgos laborales y su relación con el género de los trabajadores","Llorca Rubio, José Luis, Gil-Monte, Pedro R.","Saúde e Sociedade; 22(3); 727-735","Saúde e Sociedade","Inglês, Espanhol","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-12902013000300007&lang=pt" 
"S0104-12902013000300008-scl","Reabilitação profissional para trabalhadores com deficiência: reflexões a partir do estado da arte","Ziliotto, Denise Macedo, Berti, Ariete Regina","Saúde e Sociedade; 22(3); 736-750","Saúde e Sociedade","Inglês, Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-12902013000300008&lang=pt" 
