"S0188-49992009000400002-mex","Adsorción de arsénico en zeolita natural pretratada con óxidos de magnesio","MEJÍA-ZAMUDIO, Flérida, VALENZUELA-GARCÍA, Jesús L., AGUAYO-SALINAS, Salvador, MEZA-FIGUEROA, Diana","Revista internacional de contaminación ambiental; 25(4); 217-227","Revista internacional de contaminación ambiental","Espanhol","2009","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0188-49992009000400002&lang=pt" 
"S0188-49992009000400003-mex","Evaluación del proceso de microfiltración en un efluente residual de una industria alimenticia para su reuso","MURO, Claudia, ESCOBAR, Jesús, ZAVALA, Rosa Elvira, ESPARZA, Mario, CASTELLANOS, Jesús, GÓMEZ, Rosa María, GARCÍA, Magdalena","Revista internacional de contaminación ambiental; 25(4); 229-238","Revista internacional de contaminación ambiental","Espanhol","2009","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0188-49992009000400003&lang=pt" 
"S0188-49992009000400004-mex","Degradación del AEDT y los complejos Cu(II)-AEDT y Cr(III)-AEDT mediante los procesos Fenton y Foto-Fenton asistido con radiación solar en soluciones acuosas","DELFÍN PAZOS, Araceli, PINEDA ARELLANO, Carlos Antonio, SILVA MARTÍNEZ, Susana","Revista internacional de contaminación ambiental; 25(4); 239-246","Revista internacional de contaminación ambiental","Espanhol","2009","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0188-49992009000400004&lang=pt" 
"S0188-49992009000400005-mex","Calidad microbiológica del acuífero de Zacatepec, Morelos, México","RAMÍREZ, Elizabeth, ROBLES, Esperanza, SAINZ, Ma. Guadalupe, AYALA, Reynaldo, CAMPOY, Emelia","Revista internacional de contaminación ambiental; 25(4); 247-255","Revista internacional de contaminación ambiental","Espanhol","2009","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0188-49992009000400005&lang=pt" 
"S0188-49992009000400006-mex","El género fúngico Trichoderma y su relación con los contaminantes orgánicos e inorgánicos","ARGUMEDO-DELIRA, Rosalba, ALARCÓN, Alejandro, FERRERA-CERRATO, Ronald, PEÑA-CABRIALES, Juan José","Revista internacional de contaminación ambiental; 25(4); 257-269","Revista internacional de contaminación ambiental","Espanhol","2009","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0188-49992009000400006&lang=pt" 
"S0188-49992009000400007-mex","Repensando NARSTO: conclusiones y recomendaciones del Panel de Revisión Externo","Henry, Carol J., Barton, Jane C., García-Reynoso, Agustín, Kinsman, John, Piché, Edgard W., Poirot, Richard","Revista internacional de contaminación ambiental; 25(4); 271-272","Revista internacional de contaminación ambiental","Espanhol","2009","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0188-49992009000400007&lang=pt" 
"S1726-569X2009000200001-chl","SALUD, SALUD MENTAL, BIOÉTICA: INTERFACES DIGNAS DE ANÁLISIS","Lolas Stepke, Fernando","Acta bioethica; 15(2); 137-138","Acta bioethica","Espanhol","2009","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S1726-569X2009000200001&lang=pt" 
"S1726-569X2009000200002-chl","SALUD MENTAL Y BIOÉTICA: RELACIÓN SIMBIÓTICA","Frontera Roura, Ernesto A","Acta bioethica; 15(2); 139-147","Acta bioethica","Espanhol","2009","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S1726-569X2009000200002&lang=pt" 
"S1726-569X2009000200003-chl","THE AXIOLOGICAL DIMENSION IN PSYCHIATRIC DIAGNOSIS","Lolas Stepke, Fernando","Acta bioethica; 15(2); 148-150","Acta bioethica","Inglês","2009","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S1726-569X2009000200003&lang=pt" 
"S1726-569X2009000200004-chl","APUNTES SOBRE LA CONFIGURACIÓN ACTUAL DEL ETHOS MÉDICO","Risco, Luis","Acta bioethica; 15(2); 151-156","Acta bioethica","Espanhol","2009","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S1726-569X2009000200004&lang=pt" 
"S1726-569X2009000200005-chl","GESTIÓN CLÍNICA Y CONFLICTO DE INTERESES","Ortiz Pommier, Armando","Acta bioethica; 15(2); 157-164","Acta bioethica","Espanhol","2009","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S1726-569X2009000200005&lang=pt" 
