"S1794-99982011000200011-col","O texto narrativo na clinica psicanalítica do sintoma de aprendizagem da linguagem: uma análise estrutural","Grohs, Gláucia, Sperb, Tania Mara","Diversitas: Perspectivas en Psicología; 7(2); 335-349","Diversitas: Perspectivas en Psicología","Português","2011","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S1794-99982011000200011&lang=pt" 
"S1982-56762011000600002-scl","Powdery scab effect on the potato Solanum tuberosum ssp. andigena growth and yield","Gilchrist, Elizabeth, Soler, Juliana, Merz, Ueli, Reynaldi, Sebastian","Tropical Plant Pathology; 36(6); 350-355","Tropical Plant Pathology","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1982-56762011000600002&lang=pt" 
"S1982-56762011000600006-scl","Identificación y caracterización biológica del Barley yellow striate mosaic virus (BYSMV): nueva enfermedad del trigo en Argentina","Dumón, Analía D., Argüello-Caro, Evangelina B., Alemandri, María V., Bainotti, Carlos, Mattio, María F., Rodríguez, Sandra M., del Vas, Mariana, Truol, Graciela","Tropical Plant Pathology; 36(6); 374-382","Tropical Plant Pathology","Espanhol","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1982-56762011000600006&lang=pt" 
"S1982-56762011000600013-scl","Quitosana e adjuvantes para o controle preventivo do mofo azul da macieira","Canaver, Bruno S., Di Piero, Robson M.","Tropical Plant Pathology; 36(6); 419-423","Tropical Plant Pathology","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1982-56762011000600013&lang=pt" 
"S0717-71942011000200001-chl","MALÓN, RACIÓN Y NACIÓN EN LAS PAMPAS: EL FACTOR JUAN MANUEL DE ROSAS (1820-1880)","Foerster, Rolf, Vezub, Julio","Historia (Santiago); 44(2); 259-286","Historia (Santiago)","Espanhol","2011","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-71942011000200001&lang=pt" 
"S0717-71942011000200002-chl","HA TRAÍDO HASTA NOSOTROS DESDE TERRITORIO ENEMIGO, EL ALUD DE LA GUERRA: CONFISCACIÓN DE MAQUINARIAS Y APROPIACIÓN DE BIENES CULTURALES DURANTE LA OCUPACIÓN DE LIMA, 1881-1883","Godoy Orellana, Milton","Historia (Santiago); 44(2); 287-327","Historia (Santiago)","Espanhol","2011","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-71942011000200002&lang=pt" 
"S0717-71942011000200003-chl","NARRATIVAS HAGIOGRÁFICAS Y REPRESENTACIONES DEMONOLÓGICAS: EL DEMONIO EN LOS CLAUSTROS DEL PERÚ VIRREINAL. SIGLO XVII","Millar Carvacho, René","Historia (Santiago); 44(2); 329-367","Historia (Santiago)","Espanhol","2011","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-71942011000200003&lang=pt" 
"S0717-71942011000200004-chl","GANADERÍA Y EMPRESARIOS GANADEROS DE LA ARAUCANÍA, 1900-1960","Pinto Rodríguez, Jorge","Historia (Santiago); 44(2); 369-400","Historia (Santiago)","Espanhol","2011","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-71942011000200004&lang=pt" 
"S0717-71942011000200005-chl","¿LA TENDENCIA DE LA MASA AL REPOSO?: EL RÉGIMEN PORTALIANO ENFRENTA AL MUNDO PLEBEYO, 1830-1851","Pinto Vallejos, Julio","Historia (Santiago); 44(2); 401-442","Historia (Santiago)","Espanhol","2011","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-71942011000200005&lang=pt" 
"S0717-71942011000200006-chl","La ciudad como agente moralizador: la policía y la ciudad de Concepción (Chile), 1850-1880","Rojas Gómez, Mauricio F","Historia (Santiago); 44(2); 443-465","Historia (Santiago)","Espanhol","2011","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-71942011000200006&lang=pt" 
"S0798-05822011000400001-ven","El acceso abierto a la información médica","Nass De Ledo, Ingrid","Revista Venezolana de Oncología; 23(4); 213-213","Revista Venezolana de Oncología","Espanhol","2011","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S0798-05822011000400001&lang=pt" 
"S0798-05822011000400007-ven","Tumor de partes blandas de bajo potencial maligno: caso clínico y revisión de la literatura","Mora, Eddy, Pontillo, Humberto, Caleiras, Eduardo, Peña, Eurídice","Revista Venezolana de Oncología; 23(4); 258-262","Revista Venezolana de Oncología","Espanhol","2011","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S0798-05822011000400007&lang=pt" 
