"S0102-76382015000500001-scl","Overcoming Obstacles","Braile, Domingo M.","Brazilian Journal of Cardiovascular Surgery; 30(5); I-II","Brazilian Journal of Cardiovascular Surgery","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-76382015000500001&lang=pt" 
"S2304-51322015000400011-per","Intubación endotraqueal intraparto en un feto con hernia diafragmática. A propósito de la primera cirugía fetal EXIT (ex-utero intrapartum treatment) en el Perú","Ventura Laveriano, Walter, Huertas Tacchino, Erasmo, Limay Ríos, Oscar, Zárate Girao, Mario, Castillo Urquiaga, Walter, Coaquira Quenta, Verónica, Silva Oporto, Mary, Quispe Villanueva, Marco, Molina-Giraldo, Saulo","Revista Peruana de Ginecología y Obstetricia; 61(4); 417-421","Revista Peruana de Ginecología y Obstetricia","Espanhol","2015","http://www.scielo.org.pe/scielo.php?script=sci_arttext&pid=S2304-51322015000400011&lang=pt" 
"S2304-51322015000400001-per","","Pacheco-Romero, José","Revista Peruana de Ginecología y Obstetricia; 61(4); 351-353","Revista Peruana de Ginecología y Obstetricia","Espanhol","2015","http://www.scielo.org.pe/scielo.php?script=sci_arttext&pid=S2304-51322015000400001&lang=pt" 
"S2304-51322015000400004-per","Cirugía reconstructiva de la pelvis en el prolapso genital severo con uso de prótesis anterior y fijación al ligamento sacroespinoso","Sandoval Diaz, Ither, Hernández Alarcón, Ronald, Torres Arones, Esperanza, Solano Choque, Nisdia","Revista Peruana de Ginecología y Obstetricia; 61(4); 369-377","Revista Peruana de Ginecología y Obstetricia","Espanhol","2015","http://www.scielo.org.pe/scielo.php?script=sci_arttext&pid=S2304-51322015000400004&lang=pt" 
"S1726-46342015000400030-per","La plastinación como método de conservación de tejidos biológicos para docencia e investigación en la anatomía humana","Miranda Solis, Franklin","Revista Peruana de Medicina Experimental y Salud Publica; 32(4); 819-820","Revista Peruana de Medicina Experimental y Salud Publica","Espanhol","2015","http://www.scielo.org.pe/scielo.php?script=sci_arttext&pid=S1726-46342015000400030&lang=pt" 
"S0102-76382015000500579-scl","Partial Left Ventriculectomy: Have Well-Succeeded Cases and Innovations in the Procedure Been Observed in the Last 12 Years?","Domingues, José Sérgio, Vale, Marcos de Paula, Barbosa, Marcos Pinotti","Brazilian Journal of Cardiovascular Surgery; 30(5); 579-585","Brazilian Journal of Cardiovascular Surgery","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-76382015000500579&lang=pt" 
"S0102-76382015000500538-scl","Adjunctive Hyperbaric Oxygen Therapy or Alone Antibiotherapy? Methicillin Resistant Staphylococcus aureus Mediastinitis in a Rat Model","Kurt, Tolga, Vural, Ahmet, Temiz, Ahmet, Ozbudak, Ersan, Yener, Ali Umit, Sacar, Suzan, Sacar, Mustafa","Brazilian Journal of Cardiovascular Surgery; 30(5); 538-543","Brazilian Journal of Cardiovascular Surgery","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-76382015000500538&lang=pt" 
"S1726-46342015000400021-per","La obesidad como factor de riesgo en el desarrollo de cáncer","Herrera-Covarrubias, Deissy, Coria-Avila, Genaro Alfonso, Fernández-Pomares, Cynthia, Aranda-Abreu, Gonzalo E, Manzo Denes, Jorge, Hernández, María Elena","Revista Peruana de Medicina Experimental y Salud Publica; 32(4); 766-776","Revista Peruana de Medicina Experimental y Salud Publica","Espanhol","2015","http://www.scielo.org.pe/scielo.php?script=sci_arttext&pid=S1726-46342015000400021&lang=pt" 
"S0102-86502015001000715-scl","Comparative study of collagen deposition in the colon wall of patients operated for sigmoid diverticular disease","Pantaroto, Mário, Lopes Filho, Gaspar de Jesus, Pinto, Clovis Antonio Lopes, Antico Filho, Armando","Acta Cirurgica Brasileira; 30(10); 715-719","Acta Cirurgica Brasileira","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-86502015001000715&lang=pt" 
"S0102-86502015001000668-scl","Physiological and biochemical measurements before, during and after pregnancy of healthy rats","Corvino, Silvana Barroso, Volpato, Gustavo Tadeu, Macedo, Nathália Cristine Dias, Sinzato, Yuri Karen, Rudge, Marilza Vieira Cunha, Damasceno, Débora Cristina","Acta Cirurgica Brasileira; 30(10); 668-674","Acta Cirurgica Brasileira","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-86502015001000668&lang=pt" 
"S0102-86502015001000660-scl","Improvement of bone repair in diabetic rats subjected to ƛ780 nm low-level laser therapy","Nascimento, Marismar Fernandes do, Almeida, Bernadeth Moda de, Cunha, John Lennon Silva, Valois, Rafael Barreto Vieira, Pinheiro, Juliana Campos, Ribeiro, Maria Amália Gonzaga, Lima, Sonia Oliveira, Albuquerque-Júnior, Ricardo Luiz Cavalcanti de","Acta Cirurgica Brasileira; 30(10); 660-667","Acta Cirurgica Brasileira","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-86502015001000660&lang=pt" 
"S1726-46342015000400020-per","Tratamientos tradicionales utilizados en un área endémica de Leishmaniasis cutánea en el Perú","Pineda-Reyes, Roberto, Llanos-Cuentas, Alejandro, Dancuart, Mauricio","Revista Peruana de Medicina Experimental y Salud Publica; 32(4); 761-765","Revista Peruana de Medicina Experimental y Salud Publica","Espanhol","2015","http://www.scielo.org.pe/scielo.php?script=sci_arttext&pid=S1726-46342015000400020&lang=pt" 
"S1726-46342015000400007-per","Desarrollo de neumoconiosis y trabajo bajo la modalidad de tercerización en trabajadores peruanos del sector minero","Cáceres-Mejía, Brenda, Mayta-Tristán, Percy, Pereyra-Elías, Reneé, Collantes, Héctor, Cáceres-Leturia, Walter","Revista Peruana de Medicina Experimental y Salud Publica; 32(4); 673-679","Revista Peruana de Medicina Experimental y Salud Publica","Espanhol","2015","http://www.scielo.org.pe/scielo.php?script=sci_arttext&pid=S1726-46342015000400007&lang=pt" 
"S1726-46342015000400025-per","Diferencias y similitudes entre las estrategias de gestión integrada para la prevención y control del dengue en Colombia y Perú","Castro-Orozco, Raimundo, Alvis-Guzmán, Nelson, Gómez-Arias, Rubén","Revista Peruana de Medicina Experimental y Salud Publica; 32(4); 801-807","Revista Peruana de Medicina Experimental y Salud Publica","Espanhol","2015","http://www.scielo.org.pe/scielo.php?script=sci_arttext&pid=S1726-46342015000400025&lang=pt" 
"S0100-736X2015001000842-scl","Nanotechnology: meeting the future of Veterinary Parasitology Research","Cruz, Amilcar Arenal, Molento, Marcelo Beltrão","Pesquisa Veterinária Brasileira; 35(10); 842-843","Pesquisa Veterinária Brasileira","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-736X2015001000842&lang=pt" 
