"S0717-34582010000400009-chl","Valorization of raw glycerol for citric acid production by Yarrowia lipolytica yeast","Rywinska, Anita, Rymowicz, Waldemar, Marcinkiewicz, Marta","Electronic Journal of Biotechnology; 13(4); 9-10","Electronic Journal of Biotechnology","Inglês","2010","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-34582010000400009&lang=pt" 
"S0717-34582010000400010-chl","Variety discrimination of Tigridia pavonia (L.f.) DC. assesed by different length RAPD primers","Piña-Escutia, José Luis, Vázquez-García, Luis Miguel, Arzate-Fernández, Amaury Martín","Electronic Journal of Biotechnology; 13(4); 10-11","Electronic Journal of Biotechnology","Inglês","2010","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-34582010000400010&lang=pt" 
"S0717-34582010000400011-chl","Mapping aluminum tolerance loci in cereals: A tool available for crop breeding","Inostroza-Blancheteau, Claudio, Soto, Braulio, Ibáñez, Cristian, Ulloa, Pilar, Aquea, Felipe, Arce-Johnson, Patricio, Reyes-Díaz, Marjorie","Electronic Journal of Biotechnology; 13(4); 11-12","Electronic Journal of Biotechnology","Inglês","2010","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-34582010000400011&lang=pt" 
"S0717-34582010000400012-chl","Simple method to prepare DNA templates from a slice of peanut cotyledonary tissue for Polymerase Chain Reaction","Yu, Shu Tao, Wang, Chuan Tang, Yu, Shan Lin, Wang, Xiu Zhen, Tang, Yue Yi, Chen, Dian Xu, Zhang, Jian Cheng","Electronic Journal of Biotechnology; 13(4); 12-13","Electronic Journal of Biotechnology","Inglês","2010","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-34582010000400012&lang=pt" 
"S1018-130X2010000300002-per","Correlación entre índices de bioimpedancia eléctrica y score Apache II en pacientes con shock séptico","Díaz-De Los Santos, Manuel, Cieza, Javier, Valenzuela, Raúl","Revista Medica Herediana; 21(3); 111-117","Revista Medica Herediana","Espanhol","2010","http://www.scielo.org.pe/scielo.php?script=sci_arttext&pid=S1018-130X2010000300002&lang=pt" 
"S1018-130X2010000300003-per","Factores asociados a la calidad de vida relacionada a la salud en pacientes con cardiopatía coronaria y diabetes mellitus.","Barrantes, Moises","Revista Medica Herediana; 21(3); 118-127","Revista Medica Herediana","Espanhol","2010","http://www.scielo.org.pe/scielo.php?script=sci_arttext&pid=S1018-130X2010000300003&lang=pt" 
"S1018-130X2010000300004-per","Epidemiología de la colonización intestinal con enterococo resistente a vancomicina en pacientes de alto riesgo del Hospital Nacional Edgardo Rebagliati Martins. Lima, Perú.","Flores-Paredes, Wilfredo","Revista Medica Herediana; 21(3); 128-139","Revista Medica Herediana","Espanhol","2010","http://www.scielo.org.pe/scielo.php?script=sci_arttext&pid=S1018-130X2010000300004&lang=pt" 
"S1018-130X2010000300005-per","Aislamiento e identificación de Vibrio parahaemolyticus O3: K6 en pescados y moluscos bivalvos procedentes de un mercado pesquero de Lima, Perú","Aliaga, Rocío, Miranda, Jacqueline, Zevallos, Jesús","Revista Medica Herediana; 21(3); 139-145","Revista Medica Herediana","Espanhol","2010","http://www.scielo.org.pe/scielo.php?script=sci_arttext&pid=S1018-130X2010000300005&lang=pt" 
"S1018-130X2010000300006-per","Efecto in vitro del látex de Ficus insipida sobre la cascada de la coagulación sanguínea.","Concha-Benavente, Fernando","Revista Medica Herediana; 21(3); 146-152","Revista Medica Herediana","Espanhol","2010","http://www.scielo.org.pe/scielo.php?script=sci_arttext&pid=S1018-130X2010000300006&lang=pt" 
"S1018-130X2010000300007-per","El Cuadro de Mando Integral en la ejecución del Plan Estratégico de un hospital general","Martínez, Rocio, Dueñas, Roy, Miyahira, Juan, Dulanto, Luis","Revista Medica Herediana; 21(3); 153-159","Revista Medica Herediana","Espanhol","2010","http://www.scielo.org.pe/scielo.php?script=sci_arttext&pid=S1018-130X2010000300007&lang=pt" 
"S1018-130X2010000300009-per","Seguro de mala práctica médica.","Véliz, José","Revista Medica Herediana; 21(3); 172-173","Revista Medica Herediana","Espanhol","2010","http://www.scielo.org.pe/scielo.php?script=sci_arttext&pid=S1018-130X2010000300009&lang=pt" 
