"S0188-49992016000100035-mex","Análisis costo-beneficio de la calefacción distrital en la zona central de Chile","Carrasco Vidal, Rudy, Jiménez del Río, Jorge, Mardones Poblete, Cristian","Revista internacional de contaminación ambiental; 32(1); 35-45","Revista internacional de contaminación ambiental","Espanhol","2016","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0188-49992016000100035&lang=pt" 
"S0188-49992016000100047-mex","Remoción de mercurio por Phragmites australis empleada como barrera biológica en humedales artificiales inoculados con cepas tolerantes a metales pesados","Amabilis-Sosa, Leonel Ernesto, Siebe, Christina, Moeller-Chávez, Gabriela, Durán-Domínguez-de-Bazúa, María del Carmen","Revista internacional de contaminación ambiental; 32(1); 47-53","Revista internacional de contaminación ambiental","Espanhol","2016","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0188-49992016000100047&lang=pt" 
"S1415-47572016005017101-scl","Genotoxic and mutagenic effects of polluted surface water in the midwestern region of Brazil using animal and plant bioassays","Dourado, Priscila Leocádia Rosa, Rocha, Monyque Palagano da, Roveda, Liriana Mara, Raposo Junior, Jorge Luiz, Cândido, Liliam Sílvia, Cardoso, Claudia Andréa Lima, Morales, Maria Aparecida Marin, Oliveira, Kelly Mari Pires de, Grisolia, Alexeia Barufatti","Genetics and Molecular Biology; (ahead); -","Genetics and Molecular Biology","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-47572016005017101&lang=pt" 
"S1676-06032016000400201-scl","Biodiversity of benthic macroinvertebrates on hard substrates in the Currais Marine Protected Area, in southern Brazil","Bumbeer, Janaína, Cattani, André Pereira, Chierigatti, Nícolas Binneck, Rocha, Rosana Moreira da","Biota Neotropica; 16(4); -","Biota Neotropica","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1676-06032016000400201&lang=pt" 
"S2071-29362016000100009-sza","Profile and anticoagulation outcomes of patients on warfarin therapy in an urban hospital in Cape Town, South Africa","Sonuga, Babatunde O., Hellenberg, Derek A., Cupido, Clint S., Jaeger, Cilia","African Journal of Primary Health Care &amp; Family Medicine; 8(1); 1-8","African Journal of Primary Health Care &amp; Family Medicine","Inglês","2016","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S2071-29362016000100009&lang=pt" 
"S2305-08532016000300002-sza","Reg én geregtigheid - &#039;n Perspektief uit die brief aan Filemon","Tolmie, D. Francois","In die Skriflig; 50(3); 1-7","In die Skriflig","Africaner","2016","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S2305-08532016000300002&lang=pt" 
"S2305-08532016000300001-sza","Narratiewe tersydes in die vertelling van die Openbaring aan Johannes","du Rand, Jan A.","In die Skriflig; 50(3); 1-5","In die Skriflig","Africaner","2016","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S2305-08532016000300001&lang=pt" 
"S2305-08532016000300003-sza","Die boek Esegiël in die Nuwe Testament","van Rooy, Herculaas F. (Herrie)","In die Skriflig; 50(3); 1-8","In die Skriflig","Africaner","2016","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S2305-08532016000300003&lang=pt" 
"S2071-29362016000100016-sza","Patients&#039; perceptions of the triage system in a primary healthcare facility, Cape Town, South Africa","Adeniji, Adeloye Amoo, Mash, Bob","African Journal of Primary Health Care &amp; Family Medicine; 8(1); 1-9","African Journal of Primary Health Care &amp; Family Medicine","Inglês","2016","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S2071-29362016000100016&lang=pt" 
"S2071-29362016000100008-sza","Western Cape Primary Care Assessment Tool (PCAT) study: Measuring primary care organisation and performance in the Western Cape Province, South Africa (2013)","Bresick, Graham, Sayed, Abdul-Rauf, le Grange, Cynthia, Bhagwan, Susheela, Manga, Nayna, Hellenberg, Derek","African Journal of Primary Health Care &amp; Family Medicine; 8(1); 1-12","African Journal of Primary Health Care &amp; Family Medicine","Inglês","2016","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S2071-29362016000100008&lang=pt" 
"S2071-29362016000100011-sza","Rural exposure during medical education and student preference for future practice location - a case of Botswana","Arscott-Mills, Tonya, Kebaabetswe, Poloko, Tawana, Gothusang, Mbuka, Deogratias O., Makgabana-Dintwa, Orabile, Sebina, Kagiso, Kebaeste, Masego, Mokgatlhe, Lucky, Nkomazana, Oathokwa","African Journal of Primary Health Care &amp; Family Medicine; 8(1); 1-6","African Journal of Primary Health Care &amp; Family Medicine","Inglês","2016","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S2071-29362016000100011&lang=pt" 
"S2071-29362016000100003-sza","Perceptions of doctors and nurses at a Ugandan hospital regarding the introduction and use of the South African Triage Scale","Mulindwa, Francis, Blitz, Julia","African Journal of Primary Health Care &amp; Family Medicine; 8(1); 1-7","African Journal of Primary Health Care &amp; Family Medicine","Inglês","2016","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S2071-29362016000100003&lang=pt" 
"S2071-29362016000100005-sza","Assessment of oral health promotion services offered as part of maternal and child health services in the Tshwane Health District, Pretoria, South Africa","Kolisa, Yolanda","African Journal of Primary Health Care &amp; Family Medicine; 8(1); 1-8","African Journal of Primary Health Care &amp; Family Medicine","Inglês","2016","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S2071-29362016000100005&lang=pt" 
"S2071-29362016000100004-sza","Chart review of acute myocardial infarction at a district hospital in KwaZulu-Natal, South Africa","Chetty, Roland, Ross, Andrew","African Journal of Primary Health Care &amp; Family Medicine; 8(1); 1-5","African Journal of Primary Health Care &amp; Family Medicine","Inglês","2016","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S2071-29362016000100004&lang=pt" 
"S2071-29362016000100002-sza","Access to health in city slum dwellers: The case of Sodom and Gomorrah in Accra, Ghana","Owusu-Ansah, Frances E., Tagbor, Harry, Togbe, Mabel Afi","African Journal of Primary Health Care &amp; Family Medicine; 8(1); 1-7","African Journal of Primary Health Care &amp; Family Medicine","Inglês","2016","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S2071-29362016000100002&lang=pt" 
"S2071-29362016000100006-sza","Knowledge of midwives about hypertensive disorders during pregnancy in primary healthcare","Stellenberg, Ethelwynn L., Ngwekazi, Nompumelelo L.","African Journal of Primary Health Care &amp; Family Medicine; 8(1); 1-6","African Journal of Primary Health Care &amp; Family Medicine","Inglês","2016","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S2071-29362016000100006&lang=pt" 
"S2071-29362016000100001-sza","Averting the legacy of kidney disease - focus on childhood","Ingelfinger, Julie R., Kalantar-Zadeh, Kamyar, Schaefer, Franz","African Journal of Primary Health Care &amp; Family Medicine; 8(1); 1-5","African Journal of Primary Health Care &amp; Family Medicine","Inglês","2016","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S2071-29362016000100001&lang=pt" 
"S2071-29362016000100007-sza","Modifiable antenatal risk factors for stillbirth amongst pregnant women in the Omusati region, Namibia","Tshibumbu, Desire D., Blitz, Julia","African Journal of Primary Health Care &amp; Family Medicine; 8(1); 1-6","African Journal of Primary Health Care &amp; Family Medicine","Inglês","2016","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S2071-29362016000100007&lang=pt" 
"S2071-29362016000100013-sza","Insights of private general practitioners in group practice on the introduction of National Health Insurance in South Africa","Moosa, Shabir, Luiz, John, Carmichael, Teresa, Peersman, Wim, Derese, Anselme","African Journal of Primary Health Care &amp; Family Medicine; 8(1); 1-6","African Journal of Primary Health Care &amp; Family Medicine","Inglês","2016","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S2071-29362016000100013&lang=pt" 
"S2071-29362016000100030-sza","Contraceptive practices among women seeking termination of pregnancy in one public hospital in Eastern Cape, South Africa","Oluwole, Ebenezer O., Skaal, Linda","African Journal of Primary Health Care &amp; Family Medicine; 8(1); 1-6","African Journal of Primary Health Care &amp; Family Medicine","Inglês","2016","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S2071-29362016000100030&lang=pt" 
