"S0100-204X2014000900665-scl","Biologia e tabela de vida de fertilidade do pulgão-preto em cultivares de videira","Baronio, Cléber Antonio, Andzeiewski, Simone, Cunha, Uemerson Silva da, Botton, Marcos","Pesquisa Agropecuária Brasileira; 49(9); 665-672","Pesquisa Agropecuária Brasileira","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-204X2014000900665&lang=pt" 
"S0100-204X2014000900683-scl","Imputação múltipla livre de distribuição em tabelas incompletas de dupla entrada","Arciniegas-Alarcón, Sergio, Dias, Carlos Tadeu dos Santos, García-Peña, Marisol","Pesquisa Agropecuária Brasileira; 49(9); 683-691","Pesquisa Agropecuária Brasileira","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-204X2014000900683&lang=pt" 
"S1999-76712014000300010-sza","Isolated non-compaction of the left ventricle","Kshirsagar, V Y, Ahmed, M, Colaco, S M, Patil, S V","South African Journal of Child Health; 8(3); 117-118","South African Journal of Child Health","Inglês","2014","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S1999-76712014000300010&lang=pt" 
"S1999-76712014000300011-sza","Candida perforation of the intestine in an HIV-exposed but uninfected infant","Hoffmann, K S, Green, R J","South African Journal of Child Health; 8(3); 119-121","South African Journal of Child Health","Inglês","2014","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S1999-76712014000300011&lang=pt" 
"S0100-54052014000300001-scl","Efficiency of a yeast-based formulation for the biocontrol of postharvest anthracnose of papayas","Lima, Jaqueline Rabelo de, Viana, Francisco Marto Pinto, Lima, Francisco Aldiel, Pieniz, Vanessa, Gonçalves, Luciana Rocha Barros","Summa Phytopathologica; 40(3); 203-211","Summa Phytopathologica","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-54052014000300001&lang=pt" 
"S0100-54052014000300005-scl","In vitro sensitivity of Fusarium graminearum isolates to fungicides","Avozani, Aveline, Tonin, Rosane Baldiga, Reis, Erlei Melo, Camera, Juliane, Ranzi, Camila","Summa Phytopathologica; 40(3); 231-247","Summa Phytopathologica","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-54052014000300005&lang=pt" 
"S0121-07932014000300003-col","Descripción de un modelo de infección in vitro con virus dengue empleando células mononucleares humanas de sangre periférica","Delgado Tiria, Félix Giovanni, Pérez Acosta, Adriana Marisol, Castellanos, Jaime E","Iatreia; 27(3); 267-277","Iatreia","Espanhol","2014","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0121-07932014000300003&lang=pt" 
"S0121-07932014000300002-col","Formación y medicina: la transición del modelo anatomo-clínico francés al modelo biomédico norteamericano en Colombia","Pineda Cañar, Carlos Andrés","Iatreia; 27(3); 255-266","Iatreia","Espanhol","2014","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0121-07932014000300002&lang=pt" 
"S0121-07932014000300009-col","Encefalopatía espongiforme transmisible humana: reporte de un caso","Duque-Velásquez, Camilo, Garzón Alzate, Ánderson, Villegas Lanau, Andrés, Escobar Velásquez, Laura Marcela, Zea Lopera, Julián, Lopera, Francisco, Rodas González, Juan David","Iatreia; 27(3); 330-336","Iatreia","Espanhol","2014","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0121-07932014000300009&lang=pt" 
"S0100-204X2014000900700-scl","Coeficiente de erodibilidade em sulcos e entressulcosde Argissolos coesos estimado pela cor do solo","Dantas, Jussara Silva, Filho, Marcílio Vieira Martins, Júnior, José Marques, Resende, José Maria do Amaral, Teixeira, Daniel De Bortoli, Barbosa, Ronny Sobreira, Siqueira, Diego Silva","Pesquisa Agropecuária Brasileira; 49(9); 700-707","Pesquisa Agropecuária Brasileira","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-204X2014000900700&lang=pt" 
"S0100-204X2014000900708-scl","Modelagem e quantificação da incerteza espacial do potássio disponível no solo por simulações estocásticas","Oliveira, Ismênia Ribeiro de, Teixeira, Daniel De Bortoli, Panosso, Alan Rodrigo, Júnior, José Marques, Pereira, Gener Tadeu","Pesquisa Agropecuária Brasileira; 49(9); 708-718","Pesquisa Agropecuária Brasileira","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-204X2014000900708&lang=pt" 
"S1999-76712014000300008-sza","Hypoglycaemia in children aged 1 month to 10 years admitted to the Children&#039;s Emergency Centre of Lagos University Teaching Hospital, Nigeria","Oyenusi, E E, Oduwole, A O, Oladipo, O O, Njokanma, O F, Esezobor, C I","South African Journal of Child Health; 8(3); 107-111","South African Journal of Child Health","Inglês","2014","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S1999-76712014000300008&lang=pt" 
"S0121-07932014000300005-col","Reproducibilidad de una prueba para la evaluación funcional del balance dinámico y la agilidad del adulto mayor","Angarita Fonseca, Adriana, Ariza García, Claudia Lucía, Boneth Collante, Milena del Carmen, Parra Patiño, Javier, Rojas Santisteban, Rosa Nathaly, Angarita Carrascal, Yurley Tatiana","Iatreia; 27(3); 290-298","Iatreia","Espanhol","2014","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0121-07932014000300005&lang=pt" 
"S0121-07932014000300004-col","Detección de casos submicroscópicos de Plasmodium spp., utilizando técnicas clásicas y moleculares en pacientes gestantes de Córdoba, Colombia","Blanquiceth, Yurany Patricia, Murillo Gómez, Óscar, Maestre, Amanda Elena, Corredor, Mauricio","Iatreia; 27(3); 278-289","Iatreia","Espanhol","2014","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0121-07932014000300004&lang=pt" 
"S0121-07932014000300007-col","Enfermedades ampollosas autoinmunes del grupo de los pénfigos","Calle Isaza, Juliana, Ávila Gómez, Isabel Cristina, Abreu Vélez, Ana María","Iatreia; 27(3); 309-319","Iatreia","Espanhol","2014","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0121-07932014000300007&lang=pt" 
"S0121-07932014000300006-col","Desensibilización al ácido acetil-salicílico como tratamiento para la enfermedad respiratoria exacerbada por antiinflamatorios no esteroides","Cardona Villa, Ricardo, Díez Zuluaga, Libia Susana, Ramírez Giraldo, Ruth Elena, Sánchez Caraballo, Jorge Mario","Iatreia; 27(3); 299-308","Iatreia","Espanhol","2014","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0121-07932014000300006&lang=pt" 
"S0121-07932014000300001-col","Efectividad de los apósitos de plata en la prevención de la infección del sitio operatorio en heridas contaminadas","Cabrales, Rodolfo Adrián, Cobo, Rafael Bernal, Benítez Patiño, Yina Daniela, Osorio Quintero, María Fernanda, Martínez, José William, Castrillón Upegui, Marta Lía","Iatreia; 27(3); 247-254","Iatreia","Espanhol","2014","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0121-07932014000300001&lang=pt" 
