"S0187-57952013000200008-mex","El Trabajo","Quijano, Aníbal","Argumentos (México, D.F.); 26(72); 145-163","Argumentos (México, D.F.)","Espanhol","2013","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0187-57952013000200008&lang=pt" 
"S0187-57952013000200009-mex","Modalidades de participación social en educación básica","Alaníz Hernández, Claudia","Argumentos (México, D.F.); 26(72); 167-189","Argumentos (México, D.F.)","Espanhol","2013","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0187-57952013000200009&lang=pt" 
"S0187-57952013000200004-mex","Sobre dialéctica, superexplotación y dependencia: Notas acerca de Dialéctica de la dependencia","Osorio, Jaime","Argumentos (México, D.F.); 26(72); 57-73","Argumentos (México, D.F.)","Espanhol","2013","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0187-57952013000200004&lang=pt" 
"S0187-57952013000200005-mex","El capitalismo contemporáneo en el horizonte de la teoría de la dependencia","Sotelo Valencia, Adrián","Argumentos (México, D.F.); 26(72); 77-95","Argumentos (México, D.F.)","Espanhol","2013","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0187-57952013000200005&lang=pt" 
"S0187-57952013000200006-mex","Otras razones del neodesarrollismo (o porqué se desconoció a la teoría marxista de la dependencia)","Correa Prado, Fernando","Argumentos (México, D.F.); 26(72); 99-126","Argumentos (México, D.F.)","Espanhol","2013","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0187-57952013000200006&lang=pt" 
"S0187-57952013000200007-mex","La crisis del neodesarrollismo y la teoría marxista de la dependencia","Domingos Ouriques, Nildo","Argumentos (México, D.F.); 26(72); 129-140","Argumentos (México, D.F.)","Espanhol","2013","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0187-57952013000200007&lang=pt" 
"S0187-57952013000200001-mex","Presentación","Osorio, Jaime","Argumentos (México, D.F.); 26(72); 07-11","Argumentos (México, D.F.)","Espanhol","2013","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0187-57952013000200001&lang=pt" 
"S0187-57952013000200002-mex","En torno a Dialéctica de la dependencia (postscriptum)","Marini, Ruy Mauro","Argumentos (México, D.F.); 26(72); 17-27","Argumentos (México, D.F.)","Espanhol","2013","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0187-57952013000200002&lang=pt" 
"S0187-57952013000200003-mex","El pensamiento de Ruy Mauro Marini y su actualidad para las ciencias sociales","Martins, Carlos Eduardo","Argumentos (México, D.F.); 26(72); 31-53","Argumentos (México, D.F.)","Espanhol","2013","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0187-57952013000200003&lang=pt" 
"S1025-028X2013000200002-cub","Prueba cutánea con extractos alergénicos de pólenes y relación con signos clínicos de rinitis alérgica y asma bronquial en Camagüey, Cuba .","Rodríguez, Olimpio, Célio, Rodolfo, Aboukhair, Feres, Laurrabaquio, Alfredo Martín, Tinoco, Iván Oswaldo, Cuevas, Héctor Ulises, Cruz Suárez, Miguel Ángel, Cruz Marmolejo, Miguel Ángel, Reyes, María del Carmen","Vaccimonitor; 22(2); 9-13","Vaccimonitor","Espanhol","2013","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1025-028X2013000200002&lang=pt" 
"S1025-028X2013000200003-cub","Validación de la técnica de determinación de proteínas totales por el método microcoomassie a doble longitud de onda para la muestra de producto terminado del antígeno de la nucleocápsida del virus de la hepatitis C","Miyares, Maelys, González, Joana, Torres, Dinorah, Muñoz, Lázara, Pestana, Yanelys, Padrón, Sheila, Herrera, Inalvis, Rosales, Ileana, Linares, Marbelis","Vaccimonitor; 22(2); 14-18","Vaccimonitor","Espanhol","2013","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1025-028X2013000200003&lang=pt" 
"S1025-028X2013000200001-cub","Características epidemiológicas y microbiológicas en casos confirmados de enfermedad meningocócica en Cuba, 1998-2007","Rodríguez, Misladys, Pérez, Antonio, Llanes, Rafael, Dickinson, Félix, Cuevas, Iván Edelberto, Pérez, Kleich","Vaccimonitor; 22(2); 1-8","Vaccimonitor","Espanhol","2013","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1025-028X2013000200001&lang=pt" 
"S1025-028X2013000200006-cub","Estrategias de obtención de proteínas recombinantes en Escherichia coli","García, José, Santana, Zeila, Zumalacárregui, Lourdes, Quintana, Marisel, González, Diamilé, Furrazola, Gustavo, Cruz, Oscar","Vaccimonitor; 22(2); 30-39","Vaccimonitor","Espanhol","2013","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1025-028X2013000200006&lang=pt" 
