"S1415-65552010000200001-scl","Editorial","Quintella, Rogério H.","Revista de Administração Contemporânea; 14(2); -","Revista de Administração Contemporânea","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-65552010000200001&lang=pt" 
"S1415-65552010000200002-scl","&quot;Corpo e Alma&quot; nas organizações: um estudo sobre dominação e construção social dos corpos na organização militar","Rosa, Alexandre Reis, Brito, Mozar José de","Revista de Administração Contemporânea; 14(2); 194-211","Revista de Administração Contemporânea","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-65552010000200002&lang=pt" 
"S0186-10422010000100001-mex","","López Herrera, Francisco","Contaduría y administración; (230); 3-6","Contaduría y administración","Espanhol","2010","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0186-10422010000100001&lang=pt" 
"S0186-10422010000100002-mex","Optimal portfolio and consumption decisions under exchange rate and interest rate risks: A jump-diffusion approach","Venegas Martínez, Francisco, Rodríguez Nava, Abigail","Contaduría y administración; (230); 9-24","Contaduría y administración","Inglês","2010","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0186-10422010000100002&lang=pt" 
"S0186-10422010000100003-mex","El efecto enero en las principales bolsas latinoamericanas de valores","López Herrera, Francisco, Rodríguez Benavides, Domingo","Contaduría y administración; (230); 25-46","Contaduría y administración","Espanhol","2010","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0186-10422010000100003&lang=pt" 
"S0186-10422010000100004-mex","El declive del estado de resultados tradicional ante la irrupción actual del excedente limpio: Perspectiva histórica y conceptual","Sousa Fernández, Francisco","Contaduría y administración; (230); 47-76","Contaduría y administración","Espanhol","2010","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0186-10422010000100004&lang=pt" 
"S0186-10422010000100005-mex","La importancia relativa en auditoría: Las nuevas normas internacionales en comparación con la normativa vigente en Iberoamérica","Martínez García, Francisco Javier, Ramírez Cacho, Sergio Iván, Montoya del Corte, Javier, Fernández Laviada, Ana","Contaduría y administración; (230); 77-103","Contaduría y administración","Espanhol","2010","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0186-10422010000100005&lang=pt" 
"S0186-10422010000100006-mex","Tratamiento contable de las stock options según la normativa contable internacional","Merino Madrid, Elena, Banegas Ochovo, Regino, Santos Peñalver, Jesús Fernando","Contaduría y administración; (230); 105-129","Contaduría y administración","Espanhol","2010","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0186-10422010000100006&lang=pt" 
"S0186-10422010000100007-mex","Las franquicias en México en 1999 y 2007","Alba Aldave, Ma. Cristina","Contaduría y administración; (230); 131-146","Contaduría y administración","Espanhol","2010","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0186-10422010000100007&lang=pt" 
"S0213-91112010000200002-esp","Factores relacionados con el acoso escolar (bullying) en los adolescentes de Barcelona","Garcia Continente, Xavier, Pérez Giménez, Anna, Nebot Adell, Manel","Gaceta Sanitaria; 24(2); 103-108","Gaceta Sanitaria","Espanhol","2010","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0213-91112010000200002&lang=pt" 
"S0213-91112010000200016-esp","En respuesta a la carta de Gispert y Bosser","Pérez, Glòria, Font-Ribera, Laia, Espelt, Albert, Salvador, Joaquín, Borrell, Carme","Gaceta Sanitaria; 24(2); 178-179","Gaceta Sanitaria","Espanhol","2010","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0213-91112010000200016&lang=pt" 
"S0210-48062010000400011-esp","Histiocitoma fibroso maligno de vejiga: Revisión bibliográfica","Povo-Martín, I., Gallego-Vilar, D., Bosquet-Sanz, M., Miralles-Aguado, J., Gimeno-Argente, V., Rodrigo-Aliaga, M., Gallego-Gómez, J.","Actas Urológicas Españolas; 34(4); 378-385","Actas Urológicas Españolas","Espanhol","2010","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0210-48062010000400011&lang=pt" 
"S0210-48062010000400012-esp","Papiloma invertido urotelial: nuestra experiencia clínica","Gómez García, I., Rubio Hidalgo, E., López García Moreno, A., Buendía González, E., García Bethancourt, N., Bolufer, E., Sampietro Crespo, A., Oladre, J.L., Gómez Rodríguez, A.","Actas Urológicas Españolas; 34(4); 386-389","Actas Urológicas Españolas","Espanhol","2010","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0210-48062010000400012&lang=pt" 
"S0210-48062010000400008-esp","Efectividad y satisfacción con el tratamiento en pacientes con disfunción eréctil en España: Estudio EDOS","Martín-Morales, A., Gutiérrez Hernández, P.R., Meijide Rico, F., Arrondo Arrondo, J.L., Turbí Disla, C.","Actas Urológicas Españolas; 34(4); 356-364","Actas Urológicas Españolas","Espanhol","2010","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0210-48062010000400008&lang=pt" 
"S0210-48062010000400015-esp","Rotura de cuerpos cavernosos y de uretra durante la actividad sexual","Las Heras Alonso, M., Puig Giró, R., Las Heras Alonso, H., Guajardo Guajardo, J.","Actas Urológicas Españolas; 34(4); 394-395","Actas Urológicas Españolas","Espanhol","2010","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0210-48062010000400015&lang=pt" 
"S0210-48062010000400018-esp","Hernia vesical inguino-escrotal gigante","Navarro Gil, J., Sánchez Zalabardo, J.M., Murillo Pérez, C., López López, J.A., Valdivia Uría, J.G.","Actas Urológicas Españolas; 34(4); 398-398","Actas Urológicas Españolas","Espanhol","2010","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0210-48062010000400018&lang=pt" 
"S0210-48062010000400004-esp","Patrón de presentación del cáncer de próstata avanzado en pacientes menores de cincuenta años","Astigueta, J.C., Abad, M.A., Morante, C., Pow-Sang, M.R., Destefano, V., Montes, J.","Actas Urológicas Españolas; 34(4); 327-332","Actas Urológicas Españolas","Espanhol","2010","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0210-48062010000400004&lang=pt" 
"S0210-48062010000400013-esp","Carcinoma de células renales bilateral y oncocitomatosis renal sincrónicos","Martín Martín, S., Calvo González, R., García Lagarto, E., Fernández Del Busto, E.","Actas Urológicas Españolas; 34(4); 390-392","Actas Urológicas Españolas","Espanhol","2010","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0210-48062010000400013&lang=pt" 
