"S0102-64451993000200006-scl","O direito à  vida e a ética da saúde","Berlinguer, Giovanni","Lua Nova: Revista de Cultura e Política; (30); 122-143","Lua Nova: Revista de Cultura e Política","Português","1993","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-64451993000200006&lang=pt" 
"S0034-75901993000400001-scl","Editorial","Gonçalves, Marilson Alves","Revista de Administração de Empresas; 33(4); 01-01","Revista de Administração de Empresas","Português","1993","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-75901993000400001&lang=pt" 
"S0034-75901993000400005-scl","Rumo à prática empresarial sustentável","Souza, Maria Tereza Saraiva de","Revista de Administração de Empresas; 33(4); 40-52","Revista de Administração de Empresas","Português","1993","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-75901993000400005&lang=pt" 
"S0034-75901993000400002-scl","A política de dividendos como geradora de economia fiscal e do desenvolvimento do mercado de capitais: uma proposta criativa","Procianoy, Jairo Laser, Poli, Beatriz Trois Cunha","Revista de Administração de Empresas; 33(4); 06-15","Revista de Administração de Empresas","Português","1993","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-75901993000400002&lang=pt" 
"S0034-75901993000400004-scl","Marketing global: conceito ou mito?","Salles, Carlos Alcides","Revista de Administração de Empresas; 33(4); 32-39","Revista de Administração de Empresas","Português","1993","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-75901993000400004&lang=pt" 
"S0034-75901993000400003-scl","Franchising estratégico: como obter alavancagens e sinergias por meio da taxa inicial e dos royalties","Bernard, Daniel Alberto","Revista de Administração de Empresas; 33(4); 18-31","Revista de Administração de Empresas","Português","1993","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-75901993000400003&lang=pt" 
"S0034-75901993000400006-scl","Resolução de equações booleanas: aplicação a um problema de decisão empresarial qualitativa","Del Picchia, Walter","Revista de Administração de Empresas; 33(4); 54-65","Revista de Administração de Empresas","Português","1993","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-75901993000400006&lang=pt" 
"S0034-75901993000400007-scl","Reforma administrativa nos anos 90: o caso da prefeitura municipal de São Paulo","Keinert, Tania Margarete Mezzomo","Revista de Administração de Empresas; 33(4); 66-81","Revista de Administração de Empresas","Português","1993","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-75901993000400007&lang=pt" 
"S0034-75901993000400008-scl","A administraçao publica para a democracia: alguns aspectos estratégicos - I","Nalda García, José Constantino","Revista de Administração de Empresas; 33(4); 82-93","Revista de Administração de Empresas","Português","1993","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-75901993000400008&lang=pt" 
"S0034-75901993000400009-scl","Caos: a criação de uma nova ciência? as aplicações e implicações da Teoria do Caos na administração de empresas","Wood Jr, Thomaz","Revista de Administração de Empresas; 33(4); 94-105","Revista de Administração de Empresas","Português","1993","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-75901993000400009&lang=pt" 
"S0034-75901993000400010-scl","Folhas ao vento: análise de um conglomerado jornalístico no Brasil","Almeida, Maria Luisa Nabinger de","Revista de Administração de Empresas; 33(4); 106-107","Revista de Administração de Empresas","Português","1993","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-75901993000400010&lang=pt" 
"S0034-75901993000400011-scl","O trabalho criativo-papel construtivo dos negócios numa sociedade em transformação","Freitas, Maria Ester de","Revista de Administração de Empresas; 33(4); 107-108","Revista de Administração de Empresas","Português","1993","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-75901993000400011&lang=pt" 
"S0034-75901993000400012-scl","Contabilidade social: uma introdução à macroeconomia","Kon, Anita","Revista de Administração de Empresas; 33(4); 108-110","Revista de Administração de Empresas","Português","1993","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-75901993000400012&lang=pt" 
"S0103-84781993000200008-scl","QUEBRA DE DORMÊNCIA EM SEMENTES DE CROTALARIA","Antoniolli, Zaida Inês, Bellé, Rogério Antônio, Giracca, Ecila Maria Nunes, Thomas, Paulo Sérgio","Ciência Rural; 23(2); 165-168","Ciência Rural","Português","1993","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84781993000200008&lang=pt" 
"S0103-84781993000200009-scl","EFEITOS DAS IRRADIAÇÕES &quot;LASER&quot; ARSENETO DE GÁLIO SOBRE O HEMOGRAMA DE CÃES SUBMETIDOS À OSTEOTOMIA","Kosachenco, Beatriz Guilhembernard, Lopes, Sônia Terezinha dos Anjos, Schimitt, Isabela, Fialho, Sérgio Amaro Guimarães, Lopes, Rosana","Ciência Rural; 23(2); 169-172","Ciência Rural","Português","1993","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84781993000200009&lang=pt" 
