"S0101-74382006000200005-scl","Um algoritmo evolutivo híbrido para a formação de células de manufatura em sistemas de produção","Trindade, Áthila Rocha, Ochi, Luiz Satoru","Pesquisa Operacional; 26(2); 255-294","Pesquisa Operacional","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-74382006000200005&lang=pt" 
"S0101-74382006000200008-scl","Uma abordagem estatística para a previsão de potência reativa em sistemas elétricos","Christo, Eliane da Silva, Souza, Reinaldo Castro","Pesquisa Operacional; 26(2); 361-381","Pesquisa Operacional","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-74382006000200008&lang=pt" 
"S0101-74382006000200009-scl","Estimação da cota inferior para a confiabilidade de sistemas por árvores de falhas","Firmino, Paulo Renato Alves, Droguett, Enrique López","Pesquisa Operacional; 26(2); 383-402","Pesquisa Operacional","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-74382006000200009&lang=pt" 
"S0101-74382006000200010-scl","Métodos exatos baseados em relaxações lagrangiana e surrogate para o problema de carregamento de paletes do produtor","Oliveira, Lilian Kátia de, Morabito, Reinaldo","Pesquisa Operacional; 26(2); 403-432","Pesquisa Operacional","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-74382006000200010&lang=pt" 
"S0101-74382006000200001-scl","O problema de corte de placas defeituosas","Vianna, Andréa Carla Gonçalves, Arenales, Marcos Nereu","Pesquisa Operacional; 26(2); 185-202","Pesquisa Operacional","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-74382006000200001&lang=pt" 
"S0100-39842006000400004-scl","Estudo da circulação hepatomesentérica pela angiografia por ressonância magnética com gadolínio: comparação entre doses simples e dupla no estudo de pacientes esquistossomóticos","Caldana, Rogério Pedreschi, Bezerra, Alexandre Sérgio de Araújo, D&#039;Ippolito, Giuseppe, Szejnfeld, Jacob","Radiologia Brasileira; 39(4); 243-251","Radiologia Brasileira","Inglês, Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-39842006000400004&lang=pt" 
"S0100-39842006000400005-scl","Angiografia por ressonância magnética na avaliação das artérias renais: achados de imagem","Nacif, Marcelo Souto, Santos, Alair Augusto Sarmet Moreira Damas dos, Marchiori, Edson","Radiologia Brasileira; 39(4); 253-258","Radiologia Brasileira","Inglês, Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-39842006000400005&lang=pt" 
"S0100-39842006000400006-scl","Proposta para padronização do relatório de tomografia computadorizada nos aneurismas da aorta abdominal","Torlai, Fabiola Goda, Meirelles, Gustavo S. Portes, Miranda Jr., Fausto, Fonseca, José Honório A.P. da, Ajzen, Sérgio, D&#039;Ippolito, Giuseppe","Radiologia Brasileira; 39(4); 259-262","Radiologia Brasileira","Inglês, Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-39842006000400006&lang=pt" 
"S0100-39842006000400009-scl","Persistência do forame de Huschke: um estudo tomográfico","Reis, Henrique Nogueira, Carvalho, Antonio Carlos Pires, Leite, Horácio Faig, Mello, Rossana Corbo Ramalho de, Xavier, Sergio Salles","Radiologia Brasileira; 39(4); 273-276","Radiologia Brasileira","Inglês, Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-39842006000400009&lang=pt" 
"S0100-39842006000400010-scl","Biópsia pulmonar percutânea guiada por tomografia computadorizada: dados de um hospital","Carazzai, Emílio Humberto, Andreosi, Maristela, Gonzalez, Fábio Mota, Gonzalez, Sandra de Quadros Uzêda, Tornin, Olger de Souza, Rossi, Marcelo D&#039;Andrea","Radiologia Brasileira; 39(4); 277-282","Radiologia Brasileira","Inglês, Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-39842006000400010&lang=pt" 
"S0100-39842006000400011-scl","Avaliação de processos inflamatórios na articulação temporomandibular empregando leucócitos autólogos marcados com tecnécio-99m em modelo animal","Brasileiro, Cláudia Borges, Cardoso, Valbert Nascimento, Ruckert, Bianca, Campos, Tarcísio Passos Ribeiro de","Radiologia Brasileira; 39(4); 283-286","Radiologia Brasileira","Inglês, Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-39842006000400011&lang=pt" 
"S0100-39842006000400012-scl","Mamografia digital: perspectiva atual e aplicações futuras","Freitas, Andréa Gonçalves de, Kemp, Cláudio, Louveira, Maria Helena, Fujiwara, Sandra Maria, Campos, Leandro Ferracini","Radiologia Brasileira; 39(4); 287-296","Radiologia Brasileira","Inglês, Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-39842006000400012&lang=pt" 
"S0100-39842006000400014-scl","Ultra-sonografia tridimensional do colo uterino na gestação: perspectivas","Brandão, Rosieny Souza, Murta, Carlos Geraldo Viana, Moron, Antonio Fernandes, Mattar, Rosiane, Pires, Claudio Rodrigues, Guerzet, Eduardo Almeida","Radiologia Brasileira; 39(4); 305-308","Radiologia Brasileira","Inglês, Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-39842006000400014&lang=pt" 
"S0100-39842006000400008-scl","Características tomográficas da displasia fibrosa craniofacial: estudo retrospectivo de 14 casos","Botelho, Renato Assayag, Tornin, Olger de Souza, Yamashiro, Ilka, Menezes, Marcelo Carneiro, Furlan, Sérgio, Ridelenski, Maurício, Yamashiro, Rubens, Chagas, José Francisco Sales, Souza, Ricardo Pires de","Radiologia Brasileira; 39(4); 269-272","Radiologia Brasileira","Inglês, Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-39842006000400008&lang=pt" 
"S0100-39842006000400007-scl","Esclerose: uma opção de tratamento para os nódulos tireoidianos císticos","Alcântara-Jones, Daysi Maria de, Araújo, Leila Maria Batista, Almeida, Alessandro de Moura, Jones, Daniel de Alcântara, Lavinas, Julia Mandaro, Cardoso, Lázaro José Góes, Passos, Marize Carvalho","Radiologia Brasileira; 39(4); 263-268","Radiologia Brasileira","Inglês, Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-39842006000400007&lang=pt" 
"S0101-74382006000200002-scl","Modelagem conjunta da média e dispersão de Nelder e Lee como alternativa aos métodos de Taguchi","Pinto, Edmilson Rodrigues, Leon, Antônio C. M. Ponce de","Pesquisa Operacional; 26(2); 203-224","Pesquisa Operacional","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-74382006000200002&lang=pt" 
"S0101-74382006000200007-scl","Proposta e avaliação de heurísticas grasp para o problema da diversidade máxima","Silva, Geiza Cristina da, Ochi, Luiz Satoru, Martins, Simone Lima","Pesquisa Operacional; 26(2); 321-360","Pesquisa Operacional","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-74382006000200007&lang=pt" 
"S1519-69842006000500010-scl","Study of a community of flies at different altitudes in the Serra of Caldas Novas Park, Goiás, Brazil","Marchiori, C. H.","Brazilian Journal of Biology; 66(3); 849-851","Brazilian Journal of Biology","Inglês","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-69842006000500010&lang=pt" 
"S1519-69842006000500001-scl","Editorial note","","Brazilian Journal of Biology; 66(3); -","Brazilian Journal of Biology","Inglês","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-69842006000500001&lang=pt" 
"S1519-69842006000500008-scl","Protected cerrado fragments grow up and lose even metapopulational birds in central São Paulo, Brazil","Willis, Edwin O.","Brazilian Journal of Biology; 66(3); 829-837","Brazilian Journal of Biology","Inglês","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-69842006000500008&lang=pt" 
"S1519-69842006000500005-scl","Diet and foraging of the endemic lizard Cnemidophorus littoralis (Squamata, Teiidae) in the restinga de Jurubatiba, Macaé, RJ","Menezes, V. A., Amaral, V. C., Sluys, M. V., Rocha, C. F. D.","Brazilian Journal of Biology; 66(3); 803-807","Brazilian Journal of Biology","Inglês","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-69842006000500005&lang=pt" 
"S1676-24442006000400002-scl","Programação diversificada","Fernandes, Octavio","Jornal Brasileiro de Patologia e Medicina Laboratorial; 42(4); -","Jornal Brasileiro de Patologia e Medicina Laboratorial","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1676-24442006000400002&lang=pt" 
"S1676-24442006000400001-scl","Nossa capa","","Jornal Brasileiro de Patologia e Medicina Laboratorial; 42(4); -","Jornal Brasileiro de Patologia e Medicina Laboratorial","Inglês, Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1676-24442006000400001&lang=pt" 
"S1676-24442006000400003-scl","Aspectos gerais e diagnóstico clinicolaboratorial da intoxicação por paraquat","Schmitt, Gabriela Cristina, Paniz, Clóvis, Grotto, Denise, Valentini, Juliana, Schott, Karen Lilian, Pomblum, Valdeci Juarez, Garcia, Solange Cristina","Jornal Brasileiro de Patologia e Medicina Laboratorial; 42(4); 235-243","Jornal Brasileiro de Patologia e Medicina Laboratorial","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1676-24442006000400003&lang=pt" 
"S1676-24442006000400006-scl","Utilidade de regras booleanas aplicadas à liberação de resultados de exames hormonais e marcadores tumorais","Melo, Murilo Rezende, Melo, Keli Cardoso de, Faria, Cláudia Dutra Costantin","Jornal Brasileiro de Patologia e Medicina Laboratorial; 42(4); 257-264","Jornal Brasileiro de Patologia e Medicina Laboratorial","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1676-24442006000400006&lang=pt" 
"S1676-24442006000400007-scl","Avaliação dos intervalos de referência de lípides e lipoproteínas para crianças e adolescentes: associação das dislipidemias e sobrepeso em escolares de 4 a 19 anos de idade de Maracaí (São Paulo)","Seki, Mario, Bonamett, Ana Maria, Matsuo, Tiemi, Seki, Marisa Okabe, Andreghetti, Mariana de Rezende, Carrilho, Alexandre José Faria","Jornal Brasileiro de Patologia e Medicina Laboratorial; 42(4); 265-270","Jornal Brasileiro de Patologia e Medicina Laboratorial","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1676-24442006000400007&lang=pt" 
"S1676-24442006000400008-scl","Expressão das proteínas BCL-2 e BAX em tumores astrocíticos humanos","Faria, Mário Henrique Girão, Patrocínio, Régia Maria do Socorro Vidal do, Moraes Filho, Manoel Odorico de, Rabenhorst, Silvia Helena Barem","Jornal Brasileiro de Patologia e Medicina Laboratorial; 42(4); 271-278","Jornal Brasileiro de Patologia e Medicina Laboratorial","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1676-24442006000400008&lang=pt" 
"S1519-566X2006000400004-scl","Small-scale elevational variation in the abundance of Eufriesea violacea (Blanchard) (Hymenoptera: Apidae)","Uehara-Prado, Marcio, Garófalo, Carlos A.","Neotropical Entomology; 35(4); 446-451","Neotropical Entomology","Inglês","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-566X2006000400004&lang=pt" 
