"S1519-69842014000200501-scl","Loss of desiccation tolerance in Copaifera langsdorffii Desf. seeds during germination","Pereira, WVS., Faria, JMR., Tonetti, OAO, Silva, EAA.","Brazilian Journal of Biology; 74(2); 501-508","Brazilian Journal of Biology","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-69842014000200501&lang=pt" 
"S1519-69842014000200444-scl","Increased lactate threshold after five weeks of treadmill aerobic training in rats","Brito Vieira, WH., Halsberghe, MJE., Schwantes, MLB., Perez, SEA., Baldissera, V., Prestes, J., Farias, DL., Parizotto, NA.","Brazilian Journal of Biology; 74(2); 444-449","Brazilian Journal of Biology","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-69842014000200444&lang=pt" 
"S1519-69842014000200521-scl","Investigations on periphytic algae: comparing distinct years in the presence and absence of submerged macrophytes","Neif, EM., Behrend, RDL., Rodrigues, L.","Brazilian Journal of Biology; 74(2); 521-522","Brazilian Journal of Biology","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-69842014000200521&lang=pt" 
"S1519-69842014000200420-scl","Water quality and communities associated with macrophytes in a shallow water-supply reservoir on an aquaculture farm","Sipaúba-Tavares, LH., Dias, SG.","Brazilian Journal of Biology; 74(2); 420-428","Brazilian Journal of Biology","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-69842014000200420&lang=pt" 
"S1519-69842014000200408-scl","Does water level affect benthic macro-invertebrates of a marginal lake in a tropical river-reservoir transition zone?","Zerlin, RA., Henry, R.","Brazilian Journal of Biology; 74(2); 408-419","Brazilian Journal of Biology","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-69842014000200408&lang=pt" 
"S1519-69842014000200371-scl","Morphological variation in Staurastrum rotula (Zygnemaphyceae, Desmidiales) in the deepest natural Brazilian lake: essence or accident?","Barbosa, LG., Araujo, GJM., Barbosa, FAR., Bicudo, CEM.","Brazilian Journal of Biology; 74(2); 371-381","Brazilian Journal of Biology","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-69842014000200371&lang=pt" 
"S1519-69842014000200363-scl","Chironomidae larvae (Diptera) of Neotropical floodplain: overlap niche in different habitats","Butakka, CMM., Ragonha, FH., Takeda, AM.","Brazilian Journal of Biology; 74(2); 363-370","Brazilian Journal of Biology","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-69842014000200363&lang=pt" 
"S1519-69842014000200355-scl","Circumscribing campo rupestre – megadiverse Brazilian rocky montane savanas","Alves, RJV., Silva, NG., Oliveira, JA., Medeiros, D.","Brazilian Journal of Biology; 74(2); 355-362","Brazilian Journal of Biology","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-69842014000200355&lang=pt" 
"S1519-69842014000200349-scl","Species composition, richness and nestedness of lizard assemblages from Restinga habitats along the brazilian coast","Rocha, CFD., Vrcibradic, D., Kiefer, MC., Menezes, VA., Fontes, AF., Hatano, FH., Galdino, CAB., Bergallo, HG., Van Sluys, M.","Brazilian Journal of Biology; 74(2); 349-354","Brazilian Journal of Biology","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-69842014000200349&lang=pt" 
"S0100-879X2014000500432-scl","Effects of simvastatin/ezetimibe on microparticles, endothelial progenitor cells and platelet aggregation in subjects with coronary heart disease under antiplatelet therapy","Camargo, L.M., França, C.N., Izar, M.C., Bianco, H.T., Lins, L.S., Barbosa, S.P., Pinheiro, L.F., Fonseca, F.A.H.","Brazilian Journal of Medical and Biological Research; 47(5); 432-437","Brazilian Journal of Medical and Biological Research","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-879X2014000500432&lang=pt" 
"S0100-879X2014000500426-scl","Cardiorespiratory fitness, pulmonary function and C-reactive protein levels in nonsmoking individuals with diabetes","Francisco, C.O., Catai, A.M., Moura-Tonello, S.C.G., Lopes, S.L.B., Benze, B.G., Del Vale, A.M., Leal, A.M.O.","Brazilian Journal of Medical and Biological Research; 47(5); 426-431","Brazilian Journal of Medical and Biological Research","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-879X2014000500426&lang=pt" 
"S0100-879X2014000500369-scl","Transduction motif analysis of gastric cancer based on a human signaling network","Liu, G., Li, D.Z., Jiang, C.S., Wang, W.","Brazilian Journal of Medical and Biological Research; 47(5); 369-375","Brazilian Journal of Medical and Biological Research","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-879X2014000500369&lang=pt" 
"S0100-879X2014000500361-scl","Global microRNA profiles and signaling pathways in the development of cardiac hypertrophy","Feng, H.J., Ouyang, W., Liu, J.H., Sun, Y.G., Hu, R., Huang, L.H., Xian, J.L., Jing, C.F., Zhou, M.J.","Brazilian Journal of Medical and Biological Research; 47(5); 361-368","Brazilian Journal of Medical and Biological Research","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-879X2014000500361&lang=pt" 
"S0100-879X2014000500411-scl","Effects of different frequencies of transcutaneous electrical nerve stimulation on venous vascular reactivity","Franco, O.S., Paulitsch, F.S., Pereira, A.P.C., Teixeira, A.O., Martins, C.N., Silva, A.M.V., Plentz, R.D.M., Irigoyen, M.C., Signori, L.U.","Brazilian Journal of Medical and Biological Research; 47(5); 411-418","Brazilian Journal of Medical and Biological Research","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-879X2014000500411&lang=pt" 
"S0100-879X2014000500419-scl","Aspirin plus calcium supplementation to prevent superimposed preeclampsia: a randomized trial","Souza, E.V., Torloni, M.R., Atallah, A.N., dos Santos, G.M.S., Kulay Jr, L., Sass, N.","Brazilian Journal of Medical and Biological Research; 47(5); 419-425","Brazilian Journal of Medical and Biological Research","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-879X2014000500419&lang=pt" 
"S0100-879X2014000500376-scl","Mesenteric lymph reperfusion exacerbates spleen injury caused by superior mesenteric artery occlusion shock","Li, L.L., Zhang, C.H., Liu, J.C., Yang, L.N., Niu, C.Y., Zhao, Z.G.","Brazilian Journal of Medical and Biological Research; 47(5); 376-383","Brazilian Journal of Medical and Biological Research","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-879X2014000500376&lang=pt" 
"S0100-879X2014000500403-scl","Ultrasound method applied to characterize healthy femoral diaphysis of Wistar rats in vivo","Fontes-Pereira, A., Matusin, D.P., Rosa, P., Schanaider, A., von Krüger, M.A., Pereira, W.C.A.","Brazilian Journal of Medical and Biological Research; 47(5); 403-410","Brazilian Journal of Medical and Biological Research","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-879X2014000500403&lang=pt" 
"S0100-879X2014000500384-scl","Evaluation of Toll-like, chemokine, and integrin receptors on monocytes and neutrophils from peripheral blood of septic patients and their correlation with clinical outcomes","Silva, S.C., Baggio-Zappia, G.L., Brunialti, M.K.C., Assunçao, M.S.C., Azevedo, L.C.P., Machado, F.R., Salomao, R.","Brazilian Journal of Medical and Biological Research; 47(5); 384-393","Brazilian Journal of Medical and Biological Research","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-879X2014000500384&lang=pt" 
"S0100-879X2014000500355-scl","Oxidative stress and cellular immunity in patients with recurrent aphthous ulcers","Avci, E., Akarslan, Z.Z., Erten, H., Coskun-Cevher, S.","Brazilian Journal of Medical and Biological Research; 47(5); 355-360","Brazilian Journal of Medical and Biological Research","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-879X2014000500355&lang=pt" 
"S0100-879X2014000500398-scl","Therapeutic concentration of morphine reduces oxidative stress in glioma cell line","Almeida, M.B., Costa-Malaquias, A., Nascimento, J.L.M., Oliveira, K.R., Herculano, A.M., Crespo-López, M.E.","Brazilian Journal of Medical and Biological Research; 47(5); 398-402","Brazilian Journal of Medical and Biological Research","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-879X2014000500398&lang=pt" 
"S0100-879X2014000500394-scl","Single nucleotide polymorphisms predisposing to asthma in children of Mauritian Indian and Chinese Han ethnicity","Ramphul, K., Lv, J., Hua, L., Liu, Q.H., Fang, D.Z., Ji, R.X., Bao, Y.X.","Brazilian Journal of Medical and Biological Research; 47(5); 394-397","Brazilian Journal of Medical and Biological Research","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-879X2014000500394&lang=pt" 
"S0102-311X2014000501221-spa","A autora responde","Portela, Margareth Crisóstomo","Cadernos de Saúde Pública; 30(5); 1221-1222","Cadernos de Saúde Pública","Português","2014","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0102-311X2014000501221&lang=pt" 
"S0102-311X2014000501120-spa","Carta às Editoras referente ao editorial publicado no volume 30, número 1","Azevedo, Jorge de","Cadernos de Saúde Pública; 30(5); 1120-1120","Cadernos de Saúde Pública","Português","2014","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0102-311X2014000501120&lang=pt" 
"S0185-39292014000200010-mex","1750-1850: La independencia de México a la luz de cien años. Problemáticas y desenlaces de una larga tradición","Ríos Zúñiga, Rosalina","Relaciones (Zamora); 35(138); 253-262","Relaciones (Zamora)","Espanhol","2014","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0185-39292014000200010&lang=pt" 
"S0185-39292014000200011-mex","Trama y urdimbre de una tradición: Los sarapes de Guadalupe, Zacatecas","Terán Fuentes, Mariana","Relaciones (Zamora); 35(138); 263-267","Relaciones (Zamora)","Espanhol","2014","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0185-39292014000200011&lang=pt" 
"S0185-39292014000200013-mex","Tijuana la Horrible: Entre la historia y el mito","Santos Gómez, Hugo","Relaciones (Zamora); 35(138); 272-277","Relaciones (Zamora)","Espanhol","2014","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0185-39292014000200013&lang=pt" 
"S0185-39292014000200014-mex","Muros entre los hombres","González Velázquez, Eduardo","Relaciones (Zamora); 35(138); 277-282","Relaciones (Zamora)","Espanhol","2014","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0185-39292014000200014&lang=pt" 
"S0185-39292014000200012-mex","La calle de Amberes: la gay street de la ciudad de México","Ortiz Aguirre, Víctor M.","Relaciones (Zamora); 35(138); 267-271","Relaciones (Zamora)","Espanhol","2014","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0185-39292014000200012&lang=pt" 
"S0102-311X2014000501124-spa","Improvising medicine: an african oncology ward in an emerging cancer epidemic. Livingston J. London: Duke University press; 2012. 248 p.","Castiel, Luis David","Cadernos de Saúde Pública; 30(5); 1124-1124","Cadernos de Saúde Pública","Espanhol","2014","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0102-311X2014000501124&lang=pt" 
"S0102-311X2014000501123-spa","Medicina financeira: a ética estilhaçada. Sobrinho Lv. Rio de Janeiro: Editora Garamond; 2013. 336 P.","Ramírez-Contreras, Maria Guadalupe","Cadernos de Saúde Pública; 30(5); 1123-1124","Cadernos de Saúde Pública","Português","2014","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0102-311X2014000501123&lang=pt" 
"S0185-39292014000200015-mex","Interceder, proteger y consolar: El culto guadalupano en Zacatecas","Escobedo Delgado, Martín","Relaciones (Zamora); 35(138); 282-289","Relaciones (Zamora)","Espanhol","2014","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0185-39292014000200015&lang=pt" 
"S0102-311X2014000500908-spa","Assuring access to quality antiretroviral medicines: the WHO Prequalification of Medicines Program and access to HIV treatment","Hoen, Ellen ‘t","Cadernos de Saúde Pública; 30(5); 908-909","Cadernos de Saúde Pública","Inglês","2014","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0102-311X2014000500908&lang=pt" 
"S0102-311X2014000500905-spa","Contra a cultura do corta &amp; cola","Carvalho, Marilia Sá, Travassos, Claudia, Coeli, Cláudia Medina","Cadernos de Saúde Pública; 30(5); 905-905","Cadernos de Saúde Pública","Inglês, Português, Espanhol","2014","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0102-311X2014000500905&lang=pt" 
