"S0102-311X1990000200011-spa","Grande Carajás: planejamento da destruição","Aragão, Mário B.","Cadernos de Saúde Pública; 6(2); 230-232","Cadernos de Saúde Pública","Português","1990","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0102-311X1990000200011&lang=pt" 
"S0102-311X1990000200001-spa","A Crise no Setor Público e o Futuro da Pesquisa em Saúde","Costa, Nilson do Rosário","Cadernos de Saúde Pública; 6(2); 115-116","Cadernos de Saúde Pública","Português","1990","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0102-311X1990000200001&lang=pt" 
"S0102-311X1990000200003-scl","Planejamento estratégico em saúde: uma discussão da abordagem de Mário Testa","Giovanella, Ligia","Cadernos de Saúde Pública; 6(2); 129-153","Cadernos de Saúde Pública","Português","1990","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-311X1990000200003&lang=pt" 
"S0102-311X1990000200005-scl","Qualidade da atenção em rede hierarquizada: a interface serviço/paciente","Madureira, Paulo Roberto de, Capitani, Eduardo Mello De","Cadernos de Saúde Pública; 6(2); 158-174","Cadernos de Saúde Pública","Português","1990","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-311X1990000200005&lang=pt" 
"S0102-311X1990000200008-scl","Infecção hospitalar: comparação entre dois métodos de vigilância epidemiológica","Chor, Dora, Klein, Carlos Henrique, Marzochi, Keyla Belizia Feldman","Cadernos de Saúde Pública; 6(2); 201-217","Cadernos de Saúde Pública","Português","1990","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-311X1990000200008&lang=pt" 
"S0102-311X1990000200003-spa","Planejamento estratégico em saúde: uma discussão da abordagem de Mário Testa","Giovanella, Ligia","Cadernos de Saúde Pública; 6(2); 129-153","Cadernos de Saúde Pública","Português","1990","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0102-311X1990000200003&lang=pt" 
"S0102-311X1990000200013-scl","","","Cadernos de Saúde Pública; 6(2); 234-235","Cadernos de Saúde Pública","Português","1990","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-311X1990000200013&lang=pt" 
"S0102-311X1990000200012-scl","","Santos, Ricardo Ventura","Cadernos de Saúde Pública; 6(2); 232-233","Cadernos de Saúde Pública","Português","1990","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-311X1990000200012&lang=pt" 
"S0102-311X1990000200001-scl","A Crise no Setor Público e o Futuro da Pesquisa em Saúde","Costa, Nilson do Rosário","Cadernos de Saúde Pública; 6(2); 115-116","Cadernos de Saúde Pública","Português","1990","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-311X1990000200001&lang=pt" 
"S0102-311X1990000200010-scl","O Tempo e a Ordem: sobre a Homeopatia","Avila-Pires, Fernando Dias de","Cadernos de Saúde Pública; 6(2); 225-229","Cadernos de Saúde Pública","Português","1990","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-311X1990000200010&lang=pt" 
"S0102-311X1990000200009-scl","Compromisso social: uma nova ética na administração pública","Buss, Paulo Marchiori","Cadernos de Saúde Pública; 6(2); 218-224","Cadernos de Saúde Pública","Português","1990","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-311X1990000200009&lang=pt" 
