"S1984-02922012000100013-scl","Como Perseu se defendeu de Medusa?","Freitas, Rose Lumertz de, Viola, Carolina Gubert","Fractal : Revista de Psicologia; 24(1); 193-202","Fractal : Revista de Psicologia","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1984-02922012000100013&lang=pt" 
"S0080-62342012000200015-scl","Fatores interferentes nas ações da equipe da Estratégia Saúde da Família ao portador de transtorno mental","Pini, Jéssica dos Santos, Waidman, Maria Angélica Pagliarini","Revista da Escola de Enfermagem da USP; 46(2); 372-379","Revista da Escola de Enfermagem da USP","Inglês, Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0080-62342012000200015&lang=pt" 
"S1516-14392012000200003-scl","Microstructural characterization of as-cast hf-b alloys","Gigolotti, João Carlos Jânio, Suzuki, Paulo Atsushi, Nunes, Carlos Angelo, Coelho, Gilberto Carvalho","Materials Research; 15(2); 185-190","Materials Research","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-14392012000200003&lang=pt" 
"S1516-14392012000200009-scl","Correlation between small punch and CVN impact tests for evaluation of cryogenic fracture characteristics of isothermally-aged nitrogen-containing austenitic stainless steels","Saucedo-Muñoz, Maribel Leticia, Hashida, Toshiyuki, Shoji, Tetsuo, Lopez-Hirata, Victor Manuel","Materials Research; 15(2); 218-223","Materials Research","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-14392012000200009&lang=pt" 
"S1516-14392012000200012-scl","Study on effects of wood fiber content on physical, mechanical, and acoustical properties of wood-fiber-filled gypsum composites","Ramezani, Hamed, Shahdab, Sina, Nouri, Ali","Materials Research; 15(2); 236-241","Materials Research","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-14392012000200012&lang=pt" 
"S1516-14392012000200014-scl","Characterization of Brazilian Bentonite Organoclays as sorbents of petroleum-derived fuels","Bertagnolli, Caroline, Silva, Meuris Gurgel Carlos da","Materials Research; 15(2); 253-259","Materials Research","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-14392012000200014&lang=pt" 
"S1516-14392012000200015-scl","Cathodic cage nitriding of AISI 409 ferritic stainless steel with the addition of CH4","Sousa, Rômulo Ribeiro Magalhães de, Araújo, Francisco Odolberto de, Costa, José Alzamir Pereira da, Oliveira, Antonio Maia de, Melo, Mineia Sampaio, Alves Junior, Clodomiro","Materials Research; 15(2); 260-265","Materials Research","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-14392012000200015&lang=pt" 
"S1516-14392012000200022-scl","Grain refinement of commercial purity Magnesium processed by Ecap (Equal Channel Angular Pressing)","Poggiali, Flávia Spitale Jacques, Figueiredo, Roberto Braga, Aguilar, Maria Teresa Paulino, Cetlin, Paulo Roberto","Materials Research; 15(2); 312-316","Materials Research","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-14392012000200022&lang=pt" 
"S1516-14392012000200024-scl","Experimental study of impact energy absorption in aluminium square tubes with thermal triggers","Peixinho, Nuno, Soares, Delfim, Vilarinho, Candida, Pereira, Pedro, Dimas, Dina","Materials Research; 15(2); 323-332","Materials Research","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-14392012000200024&lang=pt" 
"S1413-35552012000200001-scl","Novas normas editoriais da RBF","Grossi, Débora B., Mancini, Marisa C., Catai, Aparecida M.","Brazilian Journal of Physical Therapy; 16(2); 05-06","Brazilian Journal of Physical Therapy","Inglês, Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-35552012000200001&lang=pt" 
"S1413-35552012000200014-scl","Treinamento da potência muscular: uma nova perspectiva na abordagem fisioterápica da doença de Parkinson","Lima, Lidiane O., Rodrigues-de-Paula, Fátima","Brazilian Journal of Physical Therapy; 16(2); 173-174","Brazilian Journal of Physical Therapy","Inglês, Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-35552012000200014&lang=pt" 
"S1413-35552012000200011-scl","Age-graded reductions in quadriceps muscle strength and peak aerobic capacity in COPD","Spruit, Martijn A., Franssen, Frits M. E., Rutten, Erica P. A., Wagers, Scott S., Wouters, Emiel F. M.","Brazilian Journal of Physical Therapy; 16(2); 148-156","Brazilian Journal of Physical Therapy","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-35552012000200011&lang=pt" 
"S1413-35552012000200005-scl","Efeitos da ELTGOL e do Flutter® nos volumes pulmonares dinâmicos e estáticos e na remoção de secreção de pacientes com bronquiectasia","Guimarães, Fernando S., Moço, Vanessa J. R., Menezes, Sara L. S., Dias, Cristina M., Salles, Raquel E. B., Lopes, Agnaldo J.","Brazilian Journal of Physical Therapy; 16(2); 108-113","Brazilian Journal of Physical Therapy","Inglês, Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-35552012000200005&lang=pt" 
"S1413-35552012000200008-scl","Effects of an educational back care program on Brazilian schoolchildren&#039;s knowledge regarding back pain prevention","Foltran, Fabiana A., Moreira, Roberta F. C., Komatsu, Mariana O., Falconi, Mariana F., Sato, Tatiana O.","Brazilian Journal of Physical Therapy; 16(2); 128-133","Brazilian Journal of Physical Therapy","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-35552012000200008&lang=pt" 
"S0100-72032012000400006-scl","Gravidez e disfunção lacrimal","Skare, Thelma Larocca, Gehlen, Marcelo Luiz, Silveira, Danddara Morena Gonçalves, Uema, Mariana Mika de Sousa","Revista Brasileira de Ginecologia e Obstetrícia; 34(4); 170-174","Revista Brasileira de Ginecologia e Obstetrícia","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-72032012000400006&lang=pt" 
"S0100-72032012000400008-scl","Correlação entre a idade e a contagem dos folículos antrais em mulheres inférteis","Castro, Eduardo Camelo de, Florêncio, Rodopiano de Souza, Monteiro Filho, Gercino, Amaral, Waldemar Naves do","Revista Brasileira de Ginecologia e Obstetrícia; 34(4); 184-188","Revista Brasileira de Ginecologia e Obstetrícia","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-72032012000400008&lang=pt" 
"S1413-81232012000400002-spa","O papel da avaliação para a tomada de decisão na gestão de serviços de saúde","Tanaka, Oswaldo Yoshimi, Tamaki, Edson Mamoru","Ciência &amp; Saúde Coletiva; 17(4); 821-828","Ciência &amp; Saúde Coletiva","Português","2012","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232012000400002&lang=pt" 
