"S0102-67202013000100001-scl","Porque e como avaliar o egresso do curso de medicina?","Ribas Filho, Jurandir Marcondes, Paiva, Eleuses Vieira de","ABCD. Arquivos Brasileiros de Cirurgia Digestiva (São Paulo); 26(1); 01-01","ABCD. Arquivos Brasileiros de Cirurgia Digestiva (São Paulo)","Inglês, Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-67202013000100001&lang=pt" 
"S0102-67202013000100017-scl","Pólipo fibrovascular gigante do esôfago: desafio diagnóstico","Madeira, Filipe P., Justo, Jonatan William R., Wietzycoski, Cacio R., Burttet, Lucas M., Kruel, Cleber Dario Pinto, Rosa, André Pereira da","ABCD. Arquivos Brasileiros de Cirurgia Digestiva (São Paulo); 26(1); 71-73","ABCD. Arquivos Brasileiros de Cirurgia Digestiva (São Paulo)","Inglês, Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-67202013000100017&lang=pt" 
"S0102-67202013000100011-scl","Perfil evolutivo das varizes esofágicas pós esplenectomia associada à ligadura da veia gástrica esquerda e escleroterapia na hipertensão portal esquistossomótica","Batista-Neto, João, Tognetti, Luciano Becker, Ribeiro, Laércio Tenório, Balwani, Maria do Carmo, Muritiba, Tadeu, Alves, Elton Elton Correa","ABCD. Arquivos Brasileiros de Cirurgia Digestiva (São Paulo); 26(1); 49-53","ABCD. Arquivos Brasileiros de Cirurgia Digestiva (São Paulo)","Inglês, Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-67202013000100011&lang=pt" 
"S0102-67202013000100013-scl","Hernioplastia laparoscópica totalmente extraperitoneal com tela 3-D sem fixação: técnica de Dulucq","Meyer, Alberto, Dulucq, Jean-louis, Mahajna, Ahmad","ABCD. Arquivos Brasileiros de Cirurgia Digestiva (São Paulo); 26(1); 59-61","ABCD. Arquivos Brasileiros de Cirurgia Digestiva (São Paulo)","Inglês, Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-67202013000100013&lang=pt" 
"S0102-67202013000100015-scl","Cistoadenocarcinoma biliar extra-hepático mimetizando tumor de Klatskin","Pais-Costa, Sergio Renato, Martins, Sandro Jose, Araujo, Sergio Luiz Melo, Lima, Olímpia Alves Teixeira, Paes, Marcio Almeida, Guimaraes, Marcio Lobo","ABCD. Arquivos Brasileiros de Cirurgia Digestiva (São Paulo); 26(1); 66-68","ABCD. Arquivos Brasileiros de Cirurgia Digestiva (São Paulo)","Inglês, Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-67202013000100015&lang=pt" 
"S1984-70332013000100001-scl","Development of cold and drought tolerant short-season maize germplasm for fuel and feed utilization","Carena, Marcelo J","Crop Breeding and Applied Biotechnology; 13(1); 1-8","Crop Breeding and Applied Biotechnology","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1984-70332013000100001&lang=pt" 
"S1984-70332013000100007-scl","Application of LW7 marker for identification of progenies with male sterility gene in sweet sorghum population","Bunphan, Darika, Jaisil, Prasit, Sanitchon, Jirawat","Crop Breeding and Applied Biotechnology; 13(1); 59-66","Crop Breeding and Applied Biotechnology","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1984-70332013000100007&lang=pt" 
"S1984-70332013000100011-scl","IPR 99 - Dwarf arabica coffee cultivar resistant to coffee ringspot virus","Sera, Tumoru, Sera, Gustavo Hiroshi, Fazuoli, Luiz Carlos, Bettencourt, Aníbal Jardim","Crop Breeding and Applied Biotechnology; 13(1); 91-94","Crop Breeding and Applied Biotechnology","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1984-70332013000100011&lang=pt" 
"S1984-70332013000100012-scl","IPR 103 - Rustic dwarf arabic coffee cultivar more adapted to hot regions and poor soils","Sera, Tumoru, Sera, Gustavo Hiroshi, Fazuoli, Luiz Carlos","Crop Breeding and Applied Biotechnology; 13(1); 95-98","Crop Breeding and Applied Biotechnology","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1984-70332013000100012&lang=pt" 
"S0102-67202013000100018-scl","Textiloma na cavidade abdominal: 35 anos depois","Soares, Francisco Venditto, Vicentini, Luciano, Dell&#039;Aringa, Alfredo Rafael, Silva, Luís Carlos de Paula e","ABCD. Arquivos Brasileiros de Cirurgia Digestiva (São Paulo); 26(1); 74-75","ABCD. Arquivos Brasileiros de Cirurgia Digestiva (São Paulo)","Inglês, Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-67202013000100018&lang=pt" 
"S0102-67202013000100016-scl","Manejo de hemorragia digestiva alta com diagnóstico de linfangioma cavernoso","Monção, Carlos Rafael Lima","ABCD. Arquivos Brasileiros de Cirurgia Digestiva (São Paulo); 26(1); 69-70","ABCD. Arquivos Brasileiros de Cirurgia Digestiva (São Paulo)","Inglês, Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-67202013000100016&lang=pt" 
