"S0718-34292006000300009-chl","CALPODES ETHLIUS (STOLL, 1782) (LEPIDOPTERA: HESPERIIDAE): PRIMER REGISTRO DE DISTRIBUCIÓN PARA EL EXTREMO NORTE DE CHILE","Vargas, Héctor A, H.H. Mielke, Olaf, Casagrande, Mirna M","Idesia (Arica); 24(3); 69-70","Idesia (Arica)","Espanhol","2006","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-34292006000300009&lang=pt" 
"S0716-078X2006000400001-chl","Comunidades de escorpiones (Arachnida: Scorpiones) del desierto costero transicional de Chile","AGUSTO, PABLO, MATTONI, CAMILO I, PIZARRO-ARAYA, JAIME, CEPEDA-PIZARRO, JORGE, LÓPEZ-CORTÉS, FRANCISCO","Revista chilena de historia natural; 79(4); 407-421","Revista chilena de historia natural","Espanhol","2006","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0716-078X2006000400001&lang=pt" 
"S0716-078X2006000400002-chl","Variabilidad genética y estructura poblacional del tunicado Pyura chilensis Molina, 1782, en la costa de Chile","ASTORGA, MARCELA P, ORTIZ, JUAN C","Revista chilena de historia natural; 79(4); 423-434","Revista chilena de historia natural","Espanhol","2006","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0716-078X2006000400002&lang=pt" 
"S0716-078X2006000400003-chl","Phylogenetic relationships of Chilean leptodactylids: a molecular approach based on mitochondrial genes 12S and 16S","CORREA, CLAUDIO, VELOSO, ALBERTO, ITURRA, PATRICIA, MÉNDEZ, MARCO A","Revista chilena de historia natural; 79(4); 435-450","Revista chilena de historia natural","Inglês","2006","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0716-078X2006000400003&lang=pt" 
"S0716-078X2006000400004-chl","Wind effects on leaf morphology for the mangrove Conocarpus erecta at an oceanic island from the Mexican Pacific Ocean","DE LA BARRERA, ERICK, WALTER, HARTMUT S","Revista chilena de historia natural; 79(4); 451-463","Revista chilena de historia natural","Inglês","2006","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0716-078X2006000400004&lang=pt" 
"S0716-078X2006000400005-chl","Morfometría y fecundidad de Profilicollis bullocki Mateo, Córdova &amp; Guzmán 1982 (Acanthocephala: Polymorphidae) en especies simpátricas de aves costeras de Chile","RIQUELME, CLAUDIA, GEORGE-NASCIMENTO, MARIO, BALBOA, LUIS","Revista chilena de historia natural; 79(4); 465-474","Revista chilena de historia natural","Espanhol","2006","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0716-078X2006000400005&lang=pt" 
"S0716-078X2006000400006-chl","Hábitos alimentarios de Dosidicus gigas (D&#039; Orbigny, 1835) (Cephalopoda: Teuthoidea) frente a la costa centro-sur de Chile","ULLOA, PATRICIO, FUENTEALBA, MARTA, RUIZ, VÍCTOR","Revista chilena de historia natural; 79(4); 475-479","Revista chilena de historia natural","Espanhol","2006","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0716-078X2006000400006&lang=pt" 
"S0716-078X2006000400007-chl","Comparative study of shell choice by the southern endemic hermit crab Loxopagurus loxochelis from Brazil and Argentina","BIAGI, RENATA, MEIRELES, ANDREA L, SCELZO, MARCELO A, MANTELATTO, FERNANDO L","Revista chilena de historia natural; 79(4); 481-487","Revista chilena de historia natural","Inglês","2006","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0716-078X2006000400007&lang=pt" 
"S0716-078X2006000400008-chl","Seasonal changes in the photosynthetic performance of two evergreen Nothofagus species in south central Chile","ZÚÑIGA, RAFAEL, ALBERDI, MIREN, REYES-DÍAZ, MARJORIE, OLIVARES, ERICK, HESS, SUSAN, BRAVO, LEÓN A, CORCUERA, LUIS J","Revista chilena de historia natural; 79(4); 489-504","Revista chilena de historia natural","Inglês","2006","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0716-078X2006000400008&lang=pt" 
"S0716-078X2006000400009-chl","Enzyme activities of phytoplankton in the South Shetland Islands (Antarctica) in relation to nutrients and primary production","IRIARTE, JOSÉ L, GONZÁLEZ, RODRIGO R, QUIÑONES, RENATO A, KANG, SUNG-HO, SHIM, JAE H, VALENZUELA, CYNTHIA P","Revista chilena de historia natural; 79(4); 505-516","Revista chilena de historia natural","Inglês","2006","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0716-078X2006000400009&lang=pt" 
"S0716-078X2006000400010-chl","Variabilidad estacional de cadmio en un sistema de surgencia costera del norte de Chile (Bahía Mejillones del Sur, 23° S)","VALDÉS, JORGE, ROMÁN, DOMINGO, DÁVILA, PAOLA, ORTLIEB, LUC, GUÍÑEZ, MARCOS","Revista chilena de historia natural; 79(4); 517-535","Revista chilena de historia natural","Espanhol","2006","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0716-078X2006000400010&lang=pt" 
"S0716-078X2006000400011-chl","","","Revista chilena de historia natural; 79(4); 537-538","Revista chilena de historia natural","Espanhol","2006","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0716-078X2006000400011&lang=pt" 
"S0370-41062006000600001-chl","Premio Nobel de Fisiología o Medicina 2006: Descubrimiento del RNA de interferencia","López L, Marcelo, Ramdohr L, Pablo","Revista chilena de pediatría; 77(6); 553-556","Revista chilena de pediatría","Espanhol","2006","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0370-41062006000600001&lang=pt" 
"S0370-41062006000600003-chl","Caracterización de la ventilación mecánica no invasiva pediátrica hospitalaria","Valenzuela V, Jorge, Donoso F, Alejandro, León B, José, Díaz R, Franco, Cruces R, Pablo","Revista chilena de pediatría; 77(6); 568-576","Revista chilena de pediatría","Espanhol","2006","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0370-41062006000600003&lang=pt" 
"S0370-41062006000600004-chl","Factores de riesgo y seguimiento clínico en prematuros menores de 1 000 gramos","Salas N, Rodrigo, Sanhueza U, Lucía, Maggi C, Leonardo","Revista chilena de pediatría; 77(6); 577-588","Revista chilena de pediatría","Espanhol","2006","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0370-41062006000600004&lang=pt" 
"S0370-41062006000600006-chl","Estudio de concordancia entre nivel plasmático de proteína C reactiva (PCR) y uso de antibióticos en una unidad de pediatría","Riedemann G, Francisco, Duffau T, Gastón","Revista chilena de pediatría; 77(6); 594-598","Revista chilena de pediatría","Espanhol","2006","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0370-41062006000600006&lang=pt" 
