"S1888-75462015000400023-esp","Estudios del perfil bioquímico de jugadores de fútbol profesional","Fernández-Gere, A., Barcos-Molina, M.A., Latorre, J.A., Martínez-Bebía, M., Mariscal-Arcas, M.","Revista Andaluza de Medicina del Deporte; 8(4); 181-181","Revista Andaluza de Medicina del Deporte","Espanhol","2015","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1888-75462015000400023&lang=pt" 
"S1888-75462015000400015-esp","Fibromatosis plantar o enfermedad de Ledderhose, como causa de dolor plantar","Beas-Jiménez, JdD., Centeno-Prada, R.A., García-Antúnez, C., Sánchez López, M.D., Yang Lai, R.","Revista Andaluza de Medicina del Deporte; 8(4); 178-178","Revista Andaluza de Medicina del Deporte","Espanhol","2015","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1888-75462015000400015&lang=pt" 
"S1888-75462015000400035-esp","Epidemiology and prevention strategies for the musculoskeletal injuries in the paddle-tennis senior players","Castillo-Lozano, R.","Revista Andaluza de Medicina del Deporte; 8(4); 188-188","Revista Andaluza de Medicina del Deporte","Inglês","2015","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1888-75462015000400035&lang=pt" 
"S1729-519X2015000600002-cub","Profesora Dra. Martha Ester Larrea Fabra. Paradigma de una mujer científica","de la Llera Domínguez, Gerardo","Revista Habanera de Ciencias Médicas; 14(6); 724-730","Revista Habanera de Ciencias Médicas","Espanhol","2015","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1729-519X2015000600002&lang=pt" 
"S1888-75462015000400016-esp","Valores encontrados en electrocardiogramas en niños futbolistas de una escuela de fútbol","Yang Lai, R.M., Centeno-Prada, R.A., Beas-Jiménez, JdD., García-Antúnez, C.","Revista Andaluza de Medicina del Deporte; 8(4); 178-179","Revista Andaluza de Medicina del Deporte","Espanhol","2015","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1888-75462015000400016&lang=pt" 
"S1888-75462015000400018-esp","Estrés oxidativo en judokas de élite tras realizar un test específico","Casals, C., Escobar-Molina, R., Barranco-Ruiz, Y., Franchini, E., Carratalá, V., Huertas, J.R.","Revista Andaluza de Medicina del Deporte; 8(4); 179-179","Revista Andaluza de Medicina del Deporte","Espanhol","2015","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1888-75462015000400018&lang=pt" 
"S0104-42302015000600488-scl","Update on cesarean delivery and prematurity","Simões, Ricardo, Cavalli, Ricardo Carvalho, Bernardo, Wanderley M., Salomão, Antônio J., Baracat, Edmund C.","Revista da Associação Médica Brasileira; 61(6); 488-488","Revista da Associação Médica Brasileira","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-42302015000600488&lang=pt" 
"S1729-519X2015000600003-cub","Dr. Julio Martínez Páez: paradigma de médico, revolucionario y artista","Fernández Arias, Marlene","Revista Habanera de Ciencias Médicas; 14(6); 731-736","Revista Habanera de Ciencias Médicas","Espanhol","2015","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1729-519X2015000600003&lang=pt" 
"S1021-20192015000400001-sza","Delay and queue lengths at stop/go control during half-width construction","Venter, L, Bester, C J","Journal of the South African Institution of Civil Engineering; 57(4); 2-11","Journal of the South African Institution of Civil Engineering","Inglês","2015","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S1021-20192015000400001&lang=pt" 
"S1888-75462015000400036-esp","Entrenamiento de fuerza mediante una periodización ondulante en jugadores de pádel","González Castellanos, J.","Revista Andaluza de Medicina del Deporte; 8(4); 188-188","Revista Andaluza de Medicina del Deporte","Espanhol","2015","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1888-75462015000400036&lang=pt" 
"S0104-42302015000600500-scl","Nutritional practices and postnatal growth restriction in preterm newborns","Lima, Adriana Martins de, Goulart, Ana Lucia, Bortoluzzo, Adriana Bruscato, Kopelman, Benjamin Israel","Revista da Associação Médica Brasileira; 61(6); 500-506","Revista da Associação Médica Brasileira","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-42302015000600500&lang=pt" 
