"S1517-86922000000500005-scl","Aptidão física, saúde e qualidade de vida relacionada à saúde em adultos","Araújo, Denise Sardinha Mendes Soares de, Araújo, Claudio Gil Soares de","Revista Brasileira de Medicina do Esporte; 6(5); 194-203","Revista Brasileira de Medicina do Esporte","Português","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-86922000000500005&lang=pt" 
"S1516-35982000000500002-scl","Efeito de períodos de cultivo e densidades de estocagem sobre o desempenho do catfish (Ictalurus punctatus) nas condições climáticas do litoral de Santa Catarina","Gomes, Santo Zacarias, Schlindwein, Antônio Pedro","Revista Brasileira de Zootecnia; 29(5); 1266-1272","Revista Brasileira de Zootecnia","Português","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-35982000000500002&lang=pt" 
"S1516-35982000000500003-scl","Respostas da Tilápia do Nilo (Oreochromis niloticus) à atratividade e palatabilidade de ingredientes utilizados na alimentação de peixes","Pereira-da- Silva, Elyara Maria, Pezzato, Luiz Edivaldo","Revista Brasileira de Zootecnia; 29(5); 1273-1280","Revista Brasileira de Zootecnia","Português","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-35982000000500003&lang=pt" 
"S1516-35982000000500001-scl","Indução à ovulação pelo uso de LHRH análogo e fertilização artificial em rã-touro (Rana catesbeiana)","Agostinho, Claudio Angelo, Wechsler, Francisco Stefano, Nictheroy, Paulo Eduardo de Oliveira, Pinheiro, Daniela Felipe","Revista Brasileira de Zootecnia; 29(5); 1261-1265","Revista Brasileira de Zootecnia","Português","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-35982000000500001&lang=pt" 
"S1516-35982000000500006-scl","Introdução e avaliação de clones de capim-elefante (Pennisetum purpureum Schum.) em Campos dos Goytacazes, RJ","Daher, Rogério Figueiredo, Vázquez, Hernan Maldonado, Pereira, Antônio Vander, Fernandes, Alberto Magno","Revista Brasileira de Zootecnia; 29(5); 1296-1301","Revista Brasileira de Zootecnia","Português","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-35982000000500006&lang=pt" 
"S1516-35982000000500005-scl","Oferta de forragem de capim-elefante anão &#039;Mott&#039; e o rendimento animal","Almeida, Edison Xavier de, Maraschin, Gerzy Ernesto, Harthmann, Oscar Emilio Ludtke, Ribeiro Filho, Henrique Mendonça Nunes, Setelich, Elena Apesteguia","Revista Brasileira de Zootecnia; 29(5); 1288-1295","Revista Brasileira de Zootecnia","Português","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-35982000000500005&lang=pt" 
"S1516-35982000000500010-scl","Intervalo de partos em rebanho Nelore na Amazônia Oriental","Cavalcante, Francisco Aloísio, Martins Filho, Raimundo, Campello, Claudio Cabral, Lobo, Raimundo Nonato Braga, Martins, Gabrimar Araujo","Revista Brasileira de Zootecnia; 29(5); 1327-1331","Revista Brasileira de Zootecnia","Português","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-35982000000500010&lang=pt" 
"S1516-35982000000500012-scl","Estudo comparativo de sete diferentes modelos estatísticos para a característica ganho de peso em bovinos de corte","Fernandes, Henrique Dorneles, Ferreira, Gilka Barbosa","Revista Brasileira de Zootecnia; 29(5); 1340-1348","Revista Brasileira de Zootecnia","Português","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-35982000000500012&lang=pt" 
"S1516-35982000000500014-scl","Avaliação de esquemas de seleção alternativos para bovinos Zebus de dupla aptidão","Lôbo, Raimundo Nonato Braga, Madalena, Fernando Enrique, Penna, Vânia Maldini","Revista Brasileira de Zootecnia; 29(5); 1361-1370","Revista Brasileira de Zootecnia","Português","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-35982000000500014&lang=pt" 
"S1516-35982000000500024-scl","Uso de rações à base de aminoácidos digestíveis para poedeiras","Silva, José Humberto Vilar da, Mukami, Flordivina, Albino, Luiz Fernando Teixeira","Revista Brasileira de Zootecnia; 29(5); 1446-1451","Revista Brasileira de Zootecnia","Português","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-35982000000500024&lang=pt" 
"S1516-35982000000500023-scl","Efeito do carbonato de cálcio na qualidade da casca dos ovos durante a muda forçada","Silva, José Humberto Vilar da, Santos, Valdeci José dos","Revista Brasileira de Zootecnia; 29(5); 1440-1445","Revista Brasileira de Zootecnia","Português","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-35982000000500023&lang=pt" 
