"S1516-84842006000100016-scl","Hemoglobinas anormais em sangue de cordão umbilical","Campos, Lízia Maria F. R., Dias, Francisca L., Mendes, Marcel","Revista Brasileira de Hematologia e Hemoterapia; 28(1); 67-69","Revista Brasileira de Hematologia e Hemoterapia","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-84842006000100016&lang=pt" 
"S1516-84842006000100015-scl","Metodologias laboratoriais para o diagnóstico de hemoglobinas variantes","Chinelato-Fernandes, Ana R., Domingos, Claudia R. B.","Revista Brasileira de Hematologia e Hemoterapia; 28(1); 65-67","Revista Brasileira de Hematologia e Hemoterapia","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-84842006000100015&lang=pt" 
"S1516-84842006000100014-scl","Virus SEN: epidemiologia e sua relação com doenças hepáticas","Failace, Rogério, Sabino, Ester C., Mendrone Junior, Alfredo","Revista Brasileira de Hematologia e Hemoterapia; 28(1); 60-64","Revista Brasileira de Hematologia e Hemoterapia","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-84842006000100014&lang=pt" 
"S1516-84842006000100018-scl","Regression of extramedullary hematopoiesis with hydroxyurea therapy in ß-thalassemia intermedia","Vicari, Perla, Figueiredo, Maria Stella","Revista Brasileira de Hematologia e Hemoterapia; 28(1); 71-72","Revista Brasileira de Hematologia e Hemoterapia","Inglês","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-84842006000100018&lang=pt" 
"S1516-84842006000100021-scl","Alterações cromossômicas e freqüência do rearranjo gênico BCR/ABL ao diagnóstico, tratamento com mesilato de imatinibe e após transplante de medula óssea em leucemia mielóide crônica","Vendrame-Goloni, Cristina B.","Revista Brasileira de Hematologia e Hemoterapia; 28(1); 79-80","Revista Brasileira de Hematologia e Hemoterapia","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-84842006000100021&lang=pt" 
"S1676-26492006000100001-scl","","Cendes, Fernando","Journal of Epilepsy and Clinical Neurophysiology; 12(1); 5-5","Journal of Epilepsy and Clinical Neurophysiology","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1676-26492006000100001&lang=pt" 
"S1676-26492006000100002-scl","","Nunes, Magda Lahorgue","Journal of Epilepsy and Clinical Neurophysiology; 12(1); 6-6","Journal of Epilepsy and Clinical Neurophysiology","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1676-26492006000100002&lang=pt" 
"S1676-26492006000100003-scl","Desempenho cognitivo de pacientes com epilepsia do lobo temporal e epilepsia mioclônica juvenil: avaliação por meio da Escala WAIS-III","Noffs, Maria Helena da Silva, Yazigi, Latife, Pascalicchio, Tatiana Frascareli, Caboclo, Luís Otávio Sales Ferreira, Yacubian, Elza Márcia Targas","Journal of Epilepsy and Clinical Neurophysiology; 12(1); 7-12","Journal of Epilepsy and Clinical Neurophysiology","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1676-26492006000100003&lang=pt" 
"S1676-26492006000100005-scl","As fosfatases alcalinas, transaminases e gama-glutamil-transferase séricas em pacientes epilépticos tratados com carbamazepina","Santos, Helder Jacobina, Andrade Filho, Antonio de Souza, Sanches, Olivia Lordelo, Spolador, Tiago, Rodrigues, Luís Erlon Araújo","Journal of Epilepsy and Clinical Neurophysiology; 12(1); 17-23","Journal of Epilepsy and Clinical Neurophysiology","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1676-26492006000100005&lang=pt" 
"S1676-26492006000100008-scl","Clinical features of Psychogenic Nonepileptic Seizures (PNES): analysis of a Brazilian series","De Paola, Luciano, Silvado, Carlos, Mäder, Maria Joana, Minhoto, Gisele R., Werneck, Lineu C.","Journal of Epilepsy and Clinical Neurophysiology; 12(1); 37-40","Journal of Epilepsy and Clinical Neurophysiology","Inglês","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1676-26492006000100008&lang=pt" 
"S1516-84842006000100013-scl","Lipoproteína(a) e inibição da fibrinólise na doença arterial coronariana","Lima, Luciana M., Carvalho, Maria G., Sabino, Adriano P., Sousa, Marinez O.","Revista Brasileira de Hematologia e Hemoterapia; 28(1); 53-59","Revista Brasileira de Hematologia e Hemoterapia","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-84842006000100013&lang=pt" 
