"S0104-11692007000100026-scl","Nursing history: reflections on teaching and research at undergraduate level","Oguisso, Taka, Freitas, Genival Fernandes de","Revista Latino-Americana de Enfermagem; 15(1); 174-176","Revista Latino-Americana de Enfermagem","Inglês, Português, Espanhol","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-11692007000100026&lang=pt" 
"S0036-46652007000100015-scl","Influence of groups of T. cruzi TcI, TcII and Z3 in the diagnostic performance of Chagas disease in Brazil and Panamá","Espinosa, Zuleima del C. Caballero","Revista do Instituto de Medicina Tropical de São Paulo; 49(1); 48-48","Revista do Instituto de Medicina Tropical de São Paulo","Inglês","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0036-46652007000100015&lang=pt" 
"S0036-46652007000100014-scl","Comparison of polymerase chain reaction with microscopic examination to detect Trypanosoma cruzi in Triatoma infestans digestive tract samples","Braz, Lucia Maria de Almeida","Revista do Instituto de Medicina Tropical de São Paulo; 49(1); 40-40","Revista do Instituto de Medicina Tropical de São Paulo","Inglês","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0036-46652007000100014&lang=pt" 
"S0036-46652007000100013-scl","Study on residual morbidity from schistosomiasis by means of ultrasonography in the municipality of Bananal, São Paulo, Brazil","Espírito Santo, Maria Cristina Carvalho do","Revista do Instituto de Medicina Tropical de São Paulo; 49(1); 36-36","Revista do Instituto de Medicina Tropical de São Paulo","Inglês","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0036-46652007000100013&lang=pt" 
"S0100-69912007000100016-scl","Retirada de fasciola hepatica da via biliar principal por coledocoscopia","Coral, Roberto Pelegrini, Mastalir, Eduardo T., Mastalir, Fabiane Pinto","Revista do Colégio Brasileiro de Cirurgiões; 34(1); 69-71","Revista do Colégio Brasileiro de Cirurgiões","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-69912007000100016&lang=pt" 
"S0100-69912007000100015-scl","Cisto de úraco em adultos simulando abdômen agudo","Vieira Júnior, Emanuel da Silva, Abreu, Rone Antônio Alves de, Speranzini, Manlio Basilio","Revista do Colégio Brasileiro de Cirurgiões; 34(1); 67-68","Revista do Colégio Brasileiro de Cirurgiões","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-69912007000100015&lang=pt" 
"S0100-69912007000100002-scl","XXVII Congresso Brasileiro de Cirurgia: cirurgia e conhecimento na era da tecnologia","Ribeiro, Mário","Revista do Colégio Brasileiro de Cirurgiões; 34(1); 2-2","Revista do Colégio Brasileiro de Cirurgiões","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-69912007000100002&lang=pt" 
"S1677-55382007000100027-scl","Pediatric urology","Snow, Brent W.","International braz j urol; 33(1); 122-124","International braz j urol","Inglês","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1677-55382007000100027&lang=pt" 
"S1677-55382007000100025-scl","Urological oncology","Bohle, Andreas","International braz j urol; 33(1); 117-119","International braz j urol","Inglês","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1677-55382007000100025&lang=pt" 
"S1677-55382007000100024-scl","Reconstructive urology","Sievert, Karl-Dietrich, Stenzl, Arnulf","International braz j urol; 33(1); 115-117","International braz j urol","Inglês","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1677-55382007000100024&lang=pt" 
"S1677-55382007000100021-scl","Urogenital trauma","Brandes, Steven B.","International braz j urol; 33(1); 108-109","International braz j urol","Inglês","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1677-55382007000100021&lang=pt" 
