"S0100-879X2016001000607-scl","Impact of acute undernutrition on growth, ileal morphology and nutrient transport in a murine model","Sampaio, I.C., Medeiros, P.H.Q.S., Rodrigues, F.A.P., Cavalcante, P.A., Ribeiro, S.A., Oliveira, J.S., Prata, M.M.G., Costa, D.V.S., Fonseca, S.G.C., Guedes, M.M., Soares, A.M., Brito, G.A.C., Havt, A., Moore, S.R., Lima, A.A.M.","Brazilian Journal of Medical and Biological Research; 49(10); -","Brazilian Journal of Medical and Biological Research","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-879X2016001000607&lang=pt" 
"S1807-76922016000300302-scl","The Wonderful, Magnanimous, Spectacular and Possible World of Traveling Circuses in Brazil","Aguiar, Ana Rosa Camillo, Carrieri, Alexandre de Pádua, Souza, Eloisio Moulin de","BAR - Brazilian Administration Review; 13(3); -","BAR - Brazilian Administration Review","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1807-76922016000300302&lang=pt" 
"S0104-59702016005007102-scl","O cerrado goiano na literatura de Bernardo Élis sob o olhar da história ambiental","Silva, Sandro Dutra e, Bandeira, Aurea Marchetti, Tavares, Giovana Galvão, Murari, Luciana","História, Ciências, Saúde-Manguinhos; (ahead); -","História, Ciências, Saúde-Manguinhos","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-59702016005007102&lang=pt" 
"S0375-15892016000300009-sza","Effects of stocking density on growth performance, carcass grade and immunity of pigs housed in sawdust fermentative pigsties","Kim, K.H., Cho, E.S., Kim, K.S., Kim, J.E., Seol, K.H., Sa, S.J., Kim, Y.M., Kim, Y.H.","South African Journal of Animal Science; 46(3); 294-301","South African Journal of Animal Science","Inglês","2016","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0375-15892016000300009&lang=pt" 
"S1806-83242016000100301-scl","Trend of traumatic crown injuries and associated factors in preschool children","AGOSTINI, Bernardo Antonio, PINTO, Lisara Tosatto, KOEHLER, Mariangélica, EMMANUELLI, Bruno, PIOVESAN, Chaiana, ARDENGHI, Thiago Machado","Brazilian Oral Research; 30(1); -","Brazilian Oral Research","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1806-83242016000100301&lang=pt" 
"S1011-76012016000100008-sza","Religious Intolerance: The Case of Principals in Multi-faith Schools","Ntho-Ntho, Maitumeleng Albertina, Nieuwenhuis, Jan Frederik","Journal for the Study of Religion; 29(1); 167-186","Journal for the Study of Religion","Inglês","2016","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S1011-76012016000100008&lang=pt" 
"S1806-83242016000100292-scl","Impact of mandibular conventional denture and overdenture on quality of life and masticatory efficiency","CARDOSO, Rachel Gomes, MELO, Laércio Almeida de, BARBOSA, Gustavo Augusto Seabra, CALDERON, Patrícia dos Santos, GERMANO, Adriano Rocha, MESTRINER JUNIOR, Wilson, CARREIRO, Adriana da Fonte Porto","Brazilian Oral Research; 30(1); -","Brazilian Oral Research","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1806-83242016000100292&lang=pt" 
"S1011-76012016000100004-sza","Religious Violence in Contemporary Nigeria: Implications and Options for Peace and Stability Order","Sulaiman, Kamal-deen Olawale","Journal for the Study of Religion; 29(1); 85-103","Journal for the Study of Religion","Inglês","2016","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S1011-76012016000100004&lang=pt" 
"S1806-83242016000100293-scl","Bacterial diversity of symptomatic primary endodontic infection by clonal analysis","NÓBREGA, Letícia Maria Menezes, MONTAGNER, Francisco, RIBEIRO, Adriana Costa, MAYER, Márcia Alves Pinto, GOMES, Brenda Paula Figueiredo de Almeida","Brazilian Oral Research; 30(1); -","Brazilian Oral Research","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1806-83242016000100293&lang=pt" 
"S1806-83242016000100302-scl","Marginal and internal fit of zirconia copings obtained using different digital scanning methods","PEDROCHE, Lorena Oliveira, BERNARDES, Sérgio Rocha, LEÃO, Moira Pedroso, KINTOPP, Cibele Cândida de Almeida, CORRER, Gisele Maria, ORNAGHI, Bárbara Pick, GONZAGA, Carla Castiglia","Brazilian Oral Research; 30(1); -","Brazilian Oral Research","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1806-83242016000100302&lang=pt" 
"S0100-879X2016001000706-scl","Analyzing gene expression profiles in dilated cardiomyopathy via bioinformatics methods","Wang, Liming, Zhu, L., Luan, R., Wang, L., Fu, J., Wang, X., Sui, L.","Brazilian Journal of Medical and Biological Research; 49(10); -","Brazilian Journal of Medical and Biological Research","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-879X2016001000706&lang=pt" 
"S0104-11692016000100417-scl","The impact of the use of different types of gloves and bare hands for preparation of clean surgical instruments","Bruna, Camila Quartim de Moraes, Souza, Rafael Queiroz de, Massaia, Irineu Francisco Silva, Cruz, Áurea Silveira, Graziano, Kazuko Uchikawa","Revista Latino-Americana de Enfermagem; 24(); -","Revista Latino-Americana de Enfermagem","Inglês, Espanhol, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-11692016000100417&lang=pt" 
"S1414-81452016000300101-scl","O conhecimento em enfermagem e a natureza dos seus saberes","Queirós, Paulo Joaquim Pina","Escola Anna Nery; 20(3); -","Escola Anna Nery","Inglês, Espanhol, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-81452016000300101&lang=pt" 
"S1414-81452016000300203-scl","Úlcera por pressão após a alta hospitalar e o cuidado em domicílio","Moro, Jaísa Valéria, Caliri, Maria Helena Larcher","Escola Anna Nery; 20(3); -","Escola Anna Nery","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-81452016000300203&lang=pt" 
"S1414-81452016000300201-scl","Perspectivas metodológicas para o uso da teoria fundamentada nos dados na pesquisa em enfermagem e saúde","Santos, Jose Luis Guedes dos, Erdmann, Alacoque Lorenzini, Sousa, Francisca Georgina Macedo de, Lanzoni, Gabriela Marcelino de Melo, Melo, Ana Lúcia Schaefer Ferreira de, Leite, Josete Luzia","Escola Anna Nery; 20(3); -","Escola Anna Nery","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-81452016000300201&lang=pt" 
"S1414-81452016000300205-scl","Grau de dependência dos pacientes em relação à equipe de enfermagem: uma ferramenta de gestão","Silva, Karen Schein da, Echer, Isabel Cristina, Magalhães, Ana Maria Müller de","Escola Anna Nery; 20(3); -","Escola Anna Nery","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-81452016000300205&lang=pt" 
"S1414-81452016000300701-scl","A bricolage na pesquisa em educação em enfermagem: Relato de experiência","Campos, Leonara Raddai Gunther de, Ribeiro, Mara Regina Rosa","Escola Anna Nery; 20(3); -","Escola Anna Nery","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-81452016000300701&lang=pt" 
"S1414-81452016000300210-scl","Avaliação de um programa admissional para a equipe de enfermagem","Sapatini, Talita Fernanda, Gasparino, Renata Cristina, Polli, Lucas, Oliveira, André Silva de","Escola Anna Nery; 20(3); -","Escola Anna Nery","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-81452016000300210&lang=pt" 
"S0104-07072016000200316-scl","TEACHER ARCHETYPES: PERCEPTIONS OF NURSING STUDENTS","Silva, Luiz Anildo Anacleto da, Soder, Rafael Marcelo, Schimdt, Sandra Márcia, Noal, Helena Carolina, Arboit, Éder Luís, Marco, Vera Regina De","Texto &amp; Contexto - Enfermagem; 25(2); -","Texto &amp; Contexto - Enfermagem","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-07072016000200316&lang=pt" 
"S0104-07072016000200318-scl","HEALTHCARE MANAGEMENT OF TUBERCULOSIS: INTEGRATING A TEACHING HOSPITAL INTO PRIMARY HEALTH CARE","Coelho, Ana Paula Cunha, Larocca, Liliana Muller, Chaves, Maria Marta Nolasco, Felix, Jorge Vinicius Cestari, Bernardino, Elizabeth, Alessi, Sandra Mara","Texto &amp; Contexto - Enfermagem; 25(2); -","Texto &amp; Contexto - Enfermagem","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-07072016000200318&lang=pt" 
"S0104-07072016000200317-scl","WATER BIRTH IN A MATERNITY hospital OF THE SUPPLEMENTARY HEALTH SECTOR IN SANTA CATARINA, BRAZIL: A CROSS-SECTIONAL STUDY","Scheidt, Tânia Regina, Brüggemann, Odaléa Maria","Texto &amp; Contexto - Enfermagem; 25(2); -","Texto &amp; Contexto - Enfermagem","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-07072016000200317&lang=pt" 
