"S1676-06032008000300002-scl","Cirripedia Balanomorpha del estuario del Río Paripe (Isla de Itamaracá, Pernambuco, Brasil)","Farrapeira, Cristiane Maria Rocha","Biota Neotropica; 8(3); 31-39","Biota Neotropica","Espanhol","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1676-06032008000300002&lang=pt" 
"S1676-06032008000300006-scl","Branqueamento de corais nos recifes da Bahia e sua relação com eventos de anomalias térmicas nas águas superficiais do oceano","Leão, Zelinda Margarida Andrade Nery, Kikuchi, Ruy Kenji Papa de, Oliveira, Marília de Dirceu Machado de","Biota Neotropica; 8(3); 69-82","Biota Neotropica","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1676-06032008000300006&lang=pt" 
"S1676-06032008000300008-scl","Germinação de espécies arbóreas de floresta estacional decidual do vale do rio Paranã em Goiás após três tipos de armazenamento por até 15 meses","Lima, Victor Vinícius Ferreira de, Vieira, Daniel Luís Mascia, Sevilha, Anderson Cássio, Salomão, Antonieta Nassif","Biota Neotropica; 8(3); 89-97","Biota Neotropica","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1676-06032008000300008&lang=pt" 
"S1676-06032008000300010-scl","História natural de Leptodactylus mystacinus e Leptodactylus fuscus (Anura: Leptodactylidae) no Cerrado do Brasil Central","De-Carvalho, Crizanto Brito, Freitas, Evellyn Borges de, Faria, Renato Gomes, Batista, Renato de Carvalho, Batista, Cássio de Carvalho, Coelho, Welington Araújo, Bocchiglieri, Adriana","Biota Neotropica; 8(3); 105-115","Biota Neotropica","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1676-06032008000300010&lang=pt" 
"S1676-06032008000300012-scl","Bioacústica e sítio de vocalização em taxocenoses de anuros de área aberta no noroeste paulista","Silva, Rodrigo Augusto, Martins, Itamar Alves, Rossa-Feres, Denise de Cerqueira","Biota Neotropica; 8(3); 123-134","Biota Neotropica","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1676-06032008000300012&lang=pt" 
"S1676-06032008000300017-scl","Echinodermata da Baía de Todos os Santos e da Baía de Aratu (Bahia, Brasil)","Manso, Cynthia Lara de Castro, Alves, Orane Falcão de Souza, Martins, Luciana Ribeiro","Biota Neotropica; 8(3); 179-196","Biota Neotropica","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1676-06032008000300017&lang=pt" 
"S1676-06032008000300020-scl","Composição e ameaças à conservação dos anfíbios anuros do Parque Estadual de Itapeva, município de Torres, Rio Grande do Sul, Brasil","Colombo, Patrick, Kindel, Andreas, Vinciprova, Giovanni, Krause, Ligia","Biota Neotropica; 8(3); 229-240","Biota Neotropica","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1676-06032008000300020&lang=pt" 
"S1516-31802008000500002-scl","Predictors of quality of life among patients on dialysis in southern Brazil","Bohlke, Maristela, Nunes, Diego Leite, Marini, Stela Scaglioni, Kitamura, Cleison, Andrade, Marcia, Von-Gysel, Maria Paula Ost","Sao Paulo Medical Journal; 126(5); 252-256","Sao Paulo Medical Journal","Inglês","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-31802008000500002&lang=pt" 
"S0213-61632008000300002-esp","Depression in the elderly community: I. Prevalence by different diagnostic criteria and clinical profile","Cámara, Concepción de la, Saz, Pedro, López-Antón, Raúl, Ventura, Tirso, Día, José Luis, Lobo, Antonio","The European Journal of Psychiatry; 22(3); 131-140","The European Journal of Psychiatry","Inglês","2008","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0213-61632008000300002&lang=pt" 
"S1677-54492008000300011-scl","Linfangiogênese e genética dos linfedemas: revisão da literatura","Andrade, Mauro","Jornal Vascular Brasileiro; 7(3); 256-261","Jornal Vascular Brasileiro","Inglês, Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1677-54492008000300011&lang=pt" 
"S1676-06032008000300001-scl","O que ganhamos &#039;confundindo&#039; riqueza de espécies e equabilidade em um índice de diversidade?","Melo, Adriano Sanches","Biota Neotropica; 8(3); 21-27","Biota Neotropica","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1676-06032008000300001&lang=pt" 
"S1676-06032008000300019-scl","Aves da Estação Ecológica de Itirapina, estado de São Paulo, Brasil","Motta-Junior, José Carlos, Granzinolli, Marco Antonio Monteiro, Develey, Pedro Ferreira","Biota Neotropica; 8(3); 207-227","Biota Neotropica","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1676-06032008000300019&lang=pt" 
"S1676-06032008000300014-scl","Dieta e comportamento alimentar de Malacoctenus delalandii (Perciformes: Labrisomidae)","Pereira, Pedro Henrique Cipresso, Jacobucci, Giuliano Buzá","Biota Neotropica; 8(3); 141-149","Biota Neotropica","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1676-06032008000300014&lang=pt" 
"S1676-06032008000300015-scl","The phytoplankton biodiversity of the coast of the state of São Paulo, Brazil","Villac, Maria Célia, Cabral-Noronha, Valéria Aparecida de Paula, Pinto, Thatiana de Oliveira","Biota Neotropica; 8(3); 151-173","Biota Neotropica","Inglês","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1676-06032008000300015&lang=pt" 
"S1516-93322008000300002-scl","Prof. Dr. Paulo Suyoshi Minami (1940-2008)","Sato, Sunao","Revista Brasileira de Ciências Farmacêuticas; 44(3); VII-VIII","Revista Brasileira de Ciências Farmacêuticas","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-93322008000300002&lang=pt" 
