"S0123-59232011000100002-col","POLÍTICAS ACTIVAS DE EMPLEO PARA CALI-COLOMBIA","GONZÁLEZ ESPITIA, CARLOS GIOVANNI, MORA RODRÍGUEZ, JHON JAMES","Estudios Gerenciales; 27(118); 13-42","Estudios Gerenciales","Espanhol","2011","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0123-59232011000100002&lang=pt" 
"S1657-95342011000100015-col","Epidemiology of nosocomial bacteria resistant to antimicrobials","Cabrera, Cristina E., Gómez, Romel F, Zuñiga, Andrés E., Corral, Raúl H., López, Bertha, Chávez, Mónica","Colombia Médica; 42(1); 117-125","Colombia Médica","Inglês","2011","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S1657-95342011000100015&lang=pt" 
"S1657-95342011000100014-col","Osteoporosis in childhood: related factors and prevention","González-Jiménez, Emilio, Álvarez-Ferre, Judit","Colombia Médica; 42(1); 111-116","Colombia Médica","Inglês","2011","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S1657-95342011000100014&lang=pt" 
"S1657-95342011000100013-col","Porphyria and pregnancy. Case report","Martínez, Noemí, Nieto, Aníbal, Guzmán, María, Heron, Soraya, Zapico, Álvaro","Colombia Médica; 42(1); 107-110","Colombia Médica","Inglês","2011","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S1657-95342011000100013&lang=pt" 
"S1657-95342011000100012-col","Characterization of patients with pre-diabetes in first-level health care service institutions Cali, Colombia","Figueroa, Fabio N., Morales, Jessica, Melgarejo, Aralí, Forero, Jousetp, Gabriel, Motoa, León, Jaime A, Londoño, Andrés C, Salazar, Blanca C","Colombia Médica; 42(1); 98-106","Colombia Médica","Inglês","2011","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S1657-95342011000100012&lang=pt" 
"S1657-95342011000100011-col","Polimorfismos de 17 marcadores STR del cromosoma-Y en una muestra poblacional del altiplano cundiboyacense","Rojas, Korina María, Roa, Martha, Briceño, Ignacio, Guaneme, Carolina, Gómez, Alberto","Colombia Médica; 42(1); 88-97","Colombia Médica","Espanhol","2011","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S1657-95342011000100011&lang=pt" 
"S1657-95342011000100010-col","Bioavalaibility and pharmacokinetic comparison of two formulations of metformin 850 mg tablets in healthy Colombian volunteers","Holguín, Gloria, Cuesta, Fanny, Archbold, Rosendo, Restrepo, Margarita, Parra, Sergio, Peña, Lina, Montoya, Blanca, Ríos, Juan Carlos, Toro, Victoria Eugenia, Ruiz, Adriana","Colombia Médica; 42(1); 81-87","Colombia Médica","Inglês","2011","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S1657-95342011000100010&lang=pt" 
"S1657-95342011000100008-col","Effects of treatment with leptin-like peptides on factors related to body fat control in Wistar rats fed a high-fat diet","Poveda, Elpidia, Ruiz, Francisco, Castillo, María Carlina","Colombia Médica; 42(1); 61-71","Colombia Médica","Inglês","2011","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S1657-95342011000100008&lang=pt" 
"S0185-27602011000100001-mex","Los egresados de una licenciatura en enseñanza del inglés: una primera mirada","Ramírez-Romero, José Luis","Revista de la educación superior; 40(157); 9-29","Revista de la educación superior","Espanhol","2011","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0185-27602011000100001&lang=pt" 
"S0185-27602011000100010-mex","Las universidades públicas mexicanas bajo la mira: surge el LAISUM como espacio de resignificación","Rodríguez Aguilar, Melissa, Estrada Mondaca, Alhucema","Revista de la educación superior; 40(157); 211-218","Revista de la educación superior","Espanhol","2011","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0185-27602011000100010&lang=pt" 
"S0185-27602011000100011-mex","Homo academicus","Martínez Álvarez, Domingo Balam","Revista de la educación superior; 40(157); 219-226","Revista de la educación superior","Espanhol","2011","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0185-27602011000100011&lang=pt" 
