"S0718-22442005000100002-chl","BALLENAS Y DELFINES EN EL MUNDO SELK`NAM: UNA APROXIMACIÓN ETNOGRÁFICA","MASSONE M, MAURICIO, PRIETO I, ALFREDO","Magallania (Punta Arenas); 33(1); 25-35","Magallania (Punta Arenas)","Espanhol","2005","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-22442005000100002&lang=pt" 
"S0718-22442005000100003-chl","RASGOS ESQUELETALES DE ADAPTACIÓN AL CLIMA Y A LA ACTIVIDAD ENTRE LOS HABITANTES ABORÍGENES DE TIERRA DEL FUEGO","PEARSON, OSBJORN M, MILLONES, MARIO","Magallania (Punta Arenas); 33(1); 37-50","Magallania (Punta Arenas)","Espanhol","2005","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-22442005000100003&lang=pt" 
"S0718-22442005000100004-chl","RECOLECTORES DE MOLUSCOS TEMPRANOS EN EL SURESTE DE LA ISLA DE CHILOÉ: UNA PRIMERA MIRADA","LEGOUPIL, DOMINIQUE","Magallania (Punta Arenas); 33(1); 51-61","Magallania (Punta Arenas)","Espanhol","2005","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-22442005000100004&lang=pt" 
"S0718-22442005000100005-chl","UN &quot;NUEVO-VIEJO&quot; INTEGRANTE DEL ELENCO DE INSTRUMENTOS ÓSEOS DE PATAGONIA: LOS MACHACADORES ÓSEOS","HADJUK, ADÁN, LEZCANO, MAXIMILIANO J","Magallania (Punta Arenas); 33(1); 63-80","Magallania (Punta Arenas)","Espanhol","2005","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-22442005000100005&lang=pt" 
"S0718-22442005000100006-chl","VARIACIÓN MORFOMÉTRICA EN RESTOS ÓSEOS DE GUANACO DE SITIOS ARQUEOLÓGICOS DE PATAGONIA AUSTRAL CONTINENTAL Y DE LA ISLA GRANDE DE TIERRA DEL FUEGO","L`HEUREUX, GABRIELA L","Magallania (Punta Arenas); 33(1); 81-94","Magallania (Punta Arenas)","Espanhol","2005","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-22442005000100006&lang=pt" 
"S0718-22442005000100007-chl","TAFONOMÍA DE LA INTERACCIÓN ENTRE PUMAS Y GUANACOS EN EL PARQUE NACIONAL TORRES DEL PAINE, CHILE","BORRERO, LUIS A, MARTIN, FABIANA M, VARGAS, JOSÉ","Magallania (Punta Arenas); 33(1); 95-114","Magallania (Punta Arenas)","Espanhol","2005","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-22442005000100007&lang=pt" 
"S0718-22442005000100008-chl","ESTRATEGIAS TECNOLÓGICAS Y CONJUNTO LÍTICO DEL CONTEXTO PALEOINDIO DE CUEVA LAGO SOFÍA 1, ÚLTIMA ESPERANZA, MAGALLANES","JACKSON S, DONALD, PRIETO I, ALFREDO","Magallania (Punta Arenas); 33(1); 115-120","Magallania (Punta Arenas)","Espanhol","2005","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-22442005000100008&lang=pt" 
"S0718-22442005000100009-chl","DOCUMENTOS PARA LA HISTORIA DE MAGALLANES RECUERDOS E IMPRESIONES DE DOS INMIGRANTES ALEMANES EN MAGALLANES","Martinic B, Mateo","Magallania (Punta Arenas); 33(1); 121-146","Magallania (Punta Arenas)","Espanhol","2005","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-22442005000100009&lang=pt" 
"S0102-09352005000400012-scl","Valor nutricional do milho termicamente processado, usado na ração pré-inicial para frangos de corte","Freitas, E.R., Sakomura, N.K., Neme, R., Barbosa, N.A.A.","Arquivo Brasileiro de Medicina Veterinária e Zootecnia; 57(4); 510-517","Arquivo Brasileiro de Medicina Veterinária e Zootecnia","Português","2005","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-09352005000400012&lang=pt" 
"S0102-09352005000400001-scl","Surto de varíola bovina causada pelo vírus Vaccinia na região da Zona da Mata Mineira","Lobato, Z.I.P., Trindade, G.S., Frois, M.C.M., Ribeiro, E.B.T., Dias, G.R.C., Teixeira, B.M., Lima, F.A., Almeida, G.M.F., Kroon, E.G.","Arquivo Brasileiro de Medicina Veterinária e Zootecnia; 57(4); 423-429","Arquivo Brasileiro de Medicina Veterinária e Zootecnia","Português","2005","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-09352005000400001&lang=pt" 
"S0102-09352005000400005-scl","Histomorfometria e histoquímica da tuba uterina e do útero de ratas púberes e pré-púberes induzidas ao hipertireoidismo","Oliveira, T.S., Nunes, V.A., Nascimento, E.F., Serakides, R.","Arquivo Brasileiro de Medicina Veterinária e Zootecnia; 57(4); 448-456","Arquivo Brasileiro de Medicina Veterinária e Zootecnia","Português","2005","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-09352005000400005&lang=pt" 
