"S0718-84712015000100019-chl","Georgios Kanarakis (Editor): El aporte diacrònico del griego a otras lenguas","Castillo Didier, Miguel","Byzantion nea hellás; (34); 359-361","Byzantion nea hellás","Espanhol","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-84712015000100019&lang=pt" 
"S0718-84712015000100018-chl","Roberto A. Soto: Bizancio: Teoría política y retórica Los &quot;Espejos de Príncipe&quot; bizantinos de tradición isocrática","Castillo Didier, Miguel","Byzantion nea hellás; (34); 357-358","Byzantion nea hellás","Espanhol","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-84712015000100018&lang=pt" 
"S0718-84712015000100008-chl","EL ECO EN LA PRENSA Y DOCUMENTACIÓN DIPLOMÁTICA ESPAÑOLAS DE LOS PROCESOS A LOS RESPONSABLES DE LA DERROTA GRIEGA EN ASIA MENOR","Álvarez de Frutos, Pedro","Byzantion nea hellás; (34); 161-202","Byzantion nea hellás","Espanhol","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-84712015000100008&lang=pt" 
"S0718-84712015000100013-chl","CHRISTOS GIANNARÁS: SEIS BOCETOS FILOSÓFICOS. APORTÉ AL ARTE. (Traducción del prólogo a la segunda edición)","Xamist, Federico José","Byzantion nea hellás; (34); 309-321","Byzantion nea hellás","Espanhol","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-84712015000100013&lang=pt" 
"S1699-695X2015000300013-esp","¿Cuándo sospechar una parálisis periódica?: a propósito de un caso","Gómez Rodríguez, Sara, Modroño Móstoles, Naiara, Pavón de Paz, Isabel, Torán Ranero, Clara Eduardina, Pérez Blanco, Carmen","Revista Clínica de Medicina de Familia; 8(3); 261-264","Revista Clínica de Medicina de Familia","Espanhol","2015","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1699-695X2015000300013&lang=pt" 
"S1699-695X2015000300012-esp","Papiloma en úvula","Buller Viqueira, Eva, Cabello Pulido, Juana, Buller Viqueira, Esperanza","Revista Clínica de Medicina de Familia; 8(3); 257-260","Revista Clínica de Medicina de Familia","Espanhol","2015","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1699-695X2015000300012&lang=pt" 
"S1699-695X2015000300009-esp","Tumor adiposo con síntomas de alarma","Berzal-Cantalejo, María Fernanda, Herranz-Torrubiano, Ana María, Cuenca-González, Concepción","Revista Clínica de Medicina de Familia; 8(3); 246-250","Revista Clínica de Medicina de Familia","Espanhol","2015","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1699-695X2015000300009&lang=pt" 
"S1699-695X2015000300002-esp","Atención Primaria: la apuesta necesaria","González Hidalgo, Enrique, Villena Ferrer, Alejandro, Párraga Martínez, Ignacio","Revista Clínica de Medicina de Familia; 8(3); 182-184","Revista Clínica de Medicina de Familia","Espanhol","2015","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1699-695X2015000300002&lang=pt" 
"S1699-695X2015000300010-esp","Esclerosis Lateral Amiotrófica, presentación atípica","Manzano Juárez, Amparo, González Céspedes, María Dolores, Rocha Honor, Eddy, Sánchez Beteta, María Pilar","Revista Clínica de Medicina de Familia; 8(3); 251-253","Revista Clínica de Medicina de Familia","Espanhol","2015","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1699-695X2015000300010&lang=pt" 
"S1699-695X2015000300011-esp","Síndrome de la cimitarra","Buller Viqueira, Eva, Soler Cifuentes, Gema, Soler Cifuentes, David","Revista Clínica de Medicina de Familia; 8(3); 254-256","Revista Clínica de Medicina de Familia","Espanhol","2015","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1699-695X2015000300011&lang=pt" 
"S1699-695X2015000300008-esp","Ateroembolia de colesterol","Tarjuelo Gutiérrez, Laura, Ponce García, Isabel, Rodríguez Tebar, Fabiola, Moreno de la Rosa, Lorena, Jordán Castillo, Rafael","Revista Clínica de Medicina de Familia; 8(3); 242-245","Revista Clínica de Medicina de Familia","Espanhol","2015","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1699-695X2015000300008&lang=pt" 
