"S1405-91932015000100001-mex","Las características jurídicas del neoliberalismo","Cárdenas Gracia, Jaime","Cuestiones constitucionales; (32); 3-44","Cuestiones constitucionales","Espanhol","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1405-91932015000100001&lang=pt" 
"S1405-91932015000100006-mex","Hacia una defensa pública de calidad: El nuevo diseño institucional de las defensorías públicas en las entidades federativas de la República mexicana","Fix-Fierro, Héctor, Suárez Ávila, Alberto Abad","Cuestiones constitucionales; (32); 157-200","Cuestiones constitucionales","Espanhol","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1405-91932015000100006&lang=pt" 
"S1405-91932015000100008-mex","La división de poderes en la emergencia económica en Argentina","Ylarri, Juan Santiago","Cuestiones constitucionales; (32); 235-262","Cuestiones constitucionales","Espanhol","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1405-91932015000100008&lang=pt" 
"S0185-16672015000200011-mex","La productividad manufacturera en Argentina, Brasil y México: una estimación de la Ley de Kaldor-Verdoorn, 1950-2010","Borgoglio, Ludano, Odisio, Juan","Investigación económica; 74(292); 185-211","Investigación económica","Espanhol","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0185-16672015000200011&lang=pt" 
"S0185-092X2015000100001-mex","Respuesta inelástica de marcos de acero con interacción inercial suelo - estructura","Fernández Sola, Luciano Roberto, Tapia Hernández, Edgar, Dávalos Chávez, David","Ingeniería sísmica; (92); 1-21","Ingeniería sísmica","Espanhol","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0185-092X2015000100001&lang=pt" 
"S0185-16672015000200008-mex","Mexico&#039;s manufacturing competitiveness in the US market: A short-term analysis","Calderón Villarreal, Cuauhtémoc, Cuevas Ahumada, Víctor M.","Investigación económica; 74(292); 91-114","Investigación económica","Inglês","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0185-16672015000200008&lang=pt" 
"S0185-16672015000200005-mex","Una lectura crítica de &#039;la lectura crítica&#039; de la Ley de Thirlwall","Pérez Caldentey, Esteban","Investigación económica; 74(292); 47-65","Investigación económica","Espanhol","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0185-16672015000200005&lang=pt" 
"S0185-16672015000200003-mex","La Ley de Thirlwall: una lectura crítica","Clavijo Cortes, Pedro Hugo, Ros Bosch, Jaime","Investigación económica; 74(292); 11-40","Investigación económica","Espanhol","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0185-16672015000200003&lang=pt" 
"S0102-36162015000300274-scl","Use of risedronate for consolidation and callus formation in Colles fractures in postmenopausal women: SOLID study","Oliveira, Lindomar Guimarães, Eis, Sérgio Ragi, Mota Neto, Henrique, Moraes, Frederico Barra de, Pires, Luiz Antônio Silveira Simões, Vasconcelos, José Wanderley","Revista Brasileira de Ortopedia; 50(3); 274-282","Revista Brasileira de Ortopedia","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-36162015000300274&lang=pt" 
"S0102-36162015000300254-scl","Hip salvage surgery in cerebral palsy cases: a systematic review","Souza, Rafael Carboni de, Mansano, Marcelo Valentim, Bovo, Miguel, Yamada, Helder Henzo, Rancan, Daniela Regina, Fucs, Patricia Maria de Moraes Barros, Svartman, Celso, Assumpção, Rodrigo Montezuma César de","Revista Brasileira de Ortopedia; 50(3); 254-259","Revista Brasileira de Ortopedia","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-36162015000300254&lang=pt" 
"S0102-36162015000300245-scl","Hip arthroscopy","Cabrita, Henrique Antônio Berwanger de Amorim, Trindade, Christiano Augusto de Castro, Gurgel, Henrique Melo de Campos, Leal, Rafael Demura, Marques, Ricardo da Fonseca de Souza","Revista Brasileira de Ortopedia; 50(3); 245-253","Revista Brasileira de Ortopedia","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-36162015000300245&lang=pt" 
"S0102-36162015000300290-scl","Total knee arthroplasty with mobile tibial weight-bearing: clinical evaluation after a minimum of five years of postoperative follow-up","Guglielmetti, Luiz Gabriel Betoni, Costa, Pedro Pereira da, Cury, Ricardo de Paula Leite, Oliveira, Victor Marques de, Severino, Nilson Roberto, Camargo, Osmar Pedro Arbix de","Revista Brasileira de Ortopedia; 50(3); 290-294","Revista Brasileira de Ortopedia","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-36162015000300290&lang=pt" 
"S0102-36162015000300295-scl","Distal femoral cut in total knee arthroplasty in a Brazilian population","Costa, Marcos Areias Vieira, Mozella, Alan de Paula, Cobra, Hugo Alexandre de Araujo Barros","Revista Brasileira de Ortopedia; 50(3); 295-299","Revista Brasileira de Ortopedia","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-36162015000300295&lang=pt" 
"S0102-36162015000300300-scl","Reconstruction of the anterior cruciate ligament: comparison of analgesia using intrathecal morphine, intra-articular morphine and intra-articular levobupivacaine","Pinheiro, Leandro Queiroz, Neri Junior, Edmundo, Fernandes, Reginaldo Mendonça, Cardozo, Rodrigo Tavares, Rezende, Priscila Rodrigues","Revista Brasileira de Ortopedia; 50(3); 300-304","Revista Brasileira de Ortopedia","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-36162015000300300&lang=pt" 
"S0102-36162015000300318-scl","Rotator cuff injury in patients over the age of 65 years: evaluation of function, integrity and strength","Veado, Marco Antonio de Castro, Prata, Eric Fontes, Gomes, David Correia","Revista Brasileira de Ortopedia; 50(3); 318-323","Revista Brasileira de Ortopedia","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-36162015000300318&lang=pt" 
"S0102-36162015000300324-scl","Low-term results from non-conventional partial arthroplasty for treating rotator cuff arthroplasthy","Tenor Júnior, Antônio Carlos, Lima, José Alano Benevides de, Vasconcelos, Iúri Tomaz de, Costa, Miguel Pereira da, Brasil Filho, Rômulo, Ribeiro, Fabiano Rebouças","Revista Brasileira de Ortopedia; 50(3); 324-330","Revista Brasileira de Ortopedia","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-36162015000300324&lang=pt" 
"S0102-36162015000300331-scl","Analysis on the serum levels of the biomarker CTX-II in professional indoor soccer players over the course of one season","Severino, Rodrigo Miziara, Jorge, Pedro Baches, Martinelli, Mauro Olivo, Lima, Marcos Vaz de, Severino, Nilson Roberto, Duarte Junior, Aires","Revista Brasileira de Ortopedia; 50(3); 331-335","Revista Brasileira de Ortopedia","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-36162015000300331&lang=pt" 
"S0102-36162015000300336-scl","Parsonage-Turner syndrome","Santos, Ricardo Barreto Monteiro dos, Santos, Saulo Monteiro dos, Leal, Flávio José Câmara Carneiro, Lins, Otávio Gomes, Magalhães, Carmem, Fittipaldi, Ricardo Bruno Mertens","Revista Brasileira de Ortopedia; 50(3); 336-341","Revista Brasileira de Ortopedia","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-36162015000300336&lang=pt" 
"S0102-36162015000300342-scl","Radiographic study on the tibial insertion of the posterior cruciate ligament","Gali, Julio Cesar, Esquerdo, Paulo, Almagro, Marco Antonio Pires, Silva, Phelipe Augusto Cintra da","Revista Brasileira de Ortopedia; 50(3); 342-347","Revista Brasileira de Ortopedia","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-36162015000300342&lang=pt" 
"S0185-25232015000100018-mex","Justicia e interpretación en sociedades plurilingües: el caso de Yucatán en el siglo XVI","Cunill, Caroline","Estudios de historia novohispana; (52); 18-28","Estudios de historia novohispana","Espanhol","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0185-25232015000100018&lang=pt" 
"S1413-41522015000200315-scl","Influência do biodiesel de soja na biodegradação anaeróbia do benzeno e tolueno","Schambeck, Cássio Moraes, Ramos, Débora Toledo, Chiaranda, Helen Simone, Mezzari, Melissa Paola, Fernandes, Marilda, Corseuil, Henry Xavier","Engenharia Sanitaria e Ambiental; 20(2); 315-321","Engenharia Sanitaria e Ambiental","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-41522015000200315&lang=pt" 
"S1413-41522015000200159-scl","Inativação de cistos de Giardia duodenalis por peroxidação e peroxidação assistida por radiação ultravioleta","Guimarães, Jose Roberto, Santos, Luciana Urbano dos, Franco, Regina Maura Bueno, Guadagnini, Regiane Aparecida","Engenharia Sanitaria e Ambiental; 20(2); 159-164","Engenharia Sanitaria e Ambiental","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-41522015000200159&lang=pt" 
