"S1130-01082008000100008-esp","Metástasis adrenal de carcinoma pulmonar","Rodríguez-Hermosa, J. I., Roig, J., Ortuño, P., Quiles, A. M., Recasens, M., Codina-Cazador, A.","Revista Española de Enfermedades Digestivas; 100(1); 45-46","Revista Española de Enfermedades Digestivas","Espanhol","2008","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1130-01082008000100008&lang=pt" 
"S1516-31802008000100001-scl","Evidence-based healthcare for all: a new era?","Atallah, Álvaro Nagib","Sao Paulo Medical Journal; 126(1); 3-3","Sao Paulo Medical Journal","Inglês","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-31802008000100001&lang=pt" 
"S1516-31802008000100013-scl","Comments on the manuscript &quot;Hepatorenal syndrome: an update&quot;","Soper, Charles","Sao Paulo Medical Journal; 126(1); 67-67","Sao Paulo Medical Journal","Inglês","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-31802008000100013&lang=pt" 
"S1516-31802008000100007-scl","Divergences in antihypertensive therapy in special situations in nephrology","Lemos, Marcelo Montebello, Pedrosa, Alessandra Coelho, Tavares, Alze Pereira, Góes, Miguel Ângelo, Draibe, Sérgio Antônio, Sesso, Ricardo","Sao Paulo Medical Journal; 126(1); 34-40","Sao Paulo Medical Journal","Inglês","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-31802008000100007&lang=pt" 
"S0100-736X2008000100001-scl","Patogênese, sinais clínicos e patologia das doenças causadas por plantas hepatotóxicas em ruminantes e eqüinos no Brasil","Santos, Julio Cesar A., Riet-Correa, Franklin, Simões, Sara V.D., Barros, Cláudio S.L.","Pesquisa Veterinária Brasileira; 28(1); 1-14","Pesquisa Veterinária Brasileira","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-736X2008000100001&lang=pt" 
"S0100-736X2008000100002-scl","Toxoplasma gondii: estudo soro-epidemiológico de suínos da região Sudoeste do Estado do Paraná","Millar, Patricia R., Daguer, Heitor, Vicente, Regiane T., Costa, Tatiana da, Sobreiro, Leila G., Amendoeira, Maria Regina R.","Pesquisa Veterinária Brasileira; 28(1); 15-18","Pesquisa Veterinária Brasileira","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-736X2008000100002&lang=pt" 
"S0100-736X2008000100003-scl","Spontaneous poisoning by larvae of Perreyia flavipes (Pergidae) in sheep","Raymundo, Djeison Lutier, Bezerra Junior, Pedro Soares, Bandarra, Paulo Mota, Pedroso, Pedro Miguel Ocampos, Oliveira, Eduardo Conceição de, Pescador, Caroline Argenta, Driemeier, David","Pesquisa Veterinária Brasileira; 28(1); 19-22","Pesquisa Veterinária Brasileira","Inglês","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-736X2008000100003&lang=pt" 
"S0100-736X2008000100007-scl","Experimental poisoning by Senecio brasiliensis in calves: quantitative and semi-quantitative study on changes in the hepatic extracellular matrix and sinusoidal cells","Torres, Márcia Bersane A.M., Coelho, Kunie I.R.","Pesquisa Veterinária Brasileira; 28(1); 43-50","Pesquisa Veterinária Brasileira","Inglês","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-736X2008000100007&lang=pt" 
"S0100-736X2008000100008-scl","Trypanosoma vivax infection dynamics in a cattle herd maintained in a transition area between Pantanal lowlands and highlands of Mato Grosso do Sul, Brazil","Martins, Charles F., Madruga, Cláudio R., Koller, Wilson W., Araújo, Flábio R., Soares, Cleber O., Kessler, Raul H., Melo, Elaine S.P., Rios, Laura R., Almeida, Robson C.F., Lima Jr, Manoel S.C., Barros, Antonio Thadeu M., Marques, Luiz C.","Pesquisa Veterinária Brasileira; 28(1); 51-56","Pesquisa Veterinária Brasileira","Inglês","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-736X2008000100008&lang=pt" 
"S0100-736X2008000100009-scl","Intoxicação experimental por Sida carpinifolia (Malvaceae) em bovinos","Furlan, Fernando H., Lucioli, Joelma, Veronezi, Luciane O., Traverso, Sandra D., Gava, Aldo","Pesquisa Veterinária Brasileira; 28(1); 57-62","Pesquisa Veterinária Brasileira","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-736X2008000100009&lang=pt" 
"S0100-736X2008000100011-scl","Transmission of porcine circovirus 2 (PCV2) by semen and viral distribution in different piglet tissues","Gava, Danielle, Zanella, Eraldo L., Morés, Nelson, Ciacci-Zanella, Janice R.","Pesquisa Veterinária Brasileira; 28(1); 70-76","Pesquisa Veterinária Brasileira","Inglês","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-736X2008000100011&lang=pt" 
